,id,claim
138,78516,"Doug Petrie made a cameo in Dr. Horrible's Sing-Along Blog as ""Professor Normal""."
139,1219,The Vandals were an East Germanic tribe or group of tribes.
140,58352,Woodrow Wilson formed the belief system Wilsonianism.
146,135212,Joni Mitchell released an album.
147,126173,"Half Girlfriend's principal photography began on June 16, 2016."
148,121548,Cyprus is a place where tourists go.
150,149016,The 2003 NCAA Division I Men's Basketball Tournament was widely viewed.
153,219704,France is the owner of Corsica.
154,23835,Carol Danvers appeared in 35 comic books published by Marvel Comics.
155,182902,The cinematography of Far from the Madding Crowd was by an English cinematographer.
156,27273,Key & Peele has been nominated for a Writers Guild Award and an Oscar.
157,48936,Reanimation is not a remix album.
159,11145,Benzodiazepine is a medication.
160,12952,See You on the Other Side is a silent item.
162,72519,The Times switched to a compact format in response to commuter complaints.
165,144391,The year 1990 saw the release of the movie Ghost.
166,22726,"In Kentucky, the electric chair has been kept in operation except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution."
168,62587,Anne Boleyn was maid of honour to the Queen of England.
170,185999,Kyra Sedgwick received a Golden Globe Award.
176,46023,Shannon Lee is a martial artist.
177,150321,Lorelai Gilmore has a mother who appears on the show.
178,86043,Superhuman abilities may result from lever enhancement by genetic modification.
179,58952,"Deepika Padukone's acting career includes comedies, dramas, and romances."
181,59890,Natasha Lyonne was born in 1979.
183,225819,Chinatown was directed by someone.
184,25005,ASAP Rocky has directed music videos for himself and Danny Brown.
185,132806,Barbarella is not non-fiction.
186,56960,"In the 1970's, Samsung entered the shipbuilding industries."
189,185780,Logie Awards had many guest celebrities.
192,154815,There have been more than 4 and a half million copies of The Fame sold.
194,146837,The Catcher in the Rye deals with issues.
197,214790,The 2007 Toronto International Film Festival featured The Tracey Fragments.
199,67244,The current Duke of York is a person.
201,43515,Jenny McCarthy began her career in 1993.
206,11656,Freddie Highmore starred in the television series Bates Motel.
207,138328,Jenny McCarthy modeled for Maxim magazine.
209,207340,Military deception is a form of strategic use of data.
211,15542,Sky UK is a telecommunications company.
214,193556,Bala has received the National Film Award for Best Producer.
215,27702,"In the southwestern United States is Phoenix, Arizona."
216,145339,Emmanuel Macron worked as a banker.
217,104073,Sherilyn Fenn named her cat after Boxing Helena.
223,75778,Brown University's main campus is located in the College Hill Historic District of Providence.
226,198553,Catherine Hardwicke has done production design for television shows.
227,35703,Stomp the Yard stars an American actress born in 1981.
228,54930,The Icelandic Coast Guard is a service and it is significant to modern infrastructure.
229,226458,Chadwick Boseman portrayed a film character.
230,50202,Designated Survivor (TV series) was founded on ABC.
239,224137,Celebrity Rehab with Dr. Drew is a TV show.
242,72751,Jamie Lee Curtis had a starring role in John Carpenter's Halloween.
245,155865,The basis for The Beguiled is a novel with a setting in the American South.
248,114278,Georgians came about from an ancient realm on the shore of the Black Sea.
249,127883,Nate Diaz competed in Japan for Pancrase.
250,139529,"Shape of You was the top song on the singles charts of the UK, Australia, and Canada."
252,183417,"Simi Valley, California, reported that its median household income was $87,894 in the 2012 U.S. Census."
254,182701,Nina Jacobson worked for Buena Vista Motion Pictures Group until July.
255,194432,The Indiana Pacers were established as an ABA member.
256,57008,"Nymphomaniac (film) is part of the ""Depression Trilogy"" along with Antichrist."
257,215272,PBS is a television program distributor.
259,3597,Ice-T began his career as a rapper in the 1980s.
261,46755,Little Dorrit was later published in serial form.
265,78534,Benjamin Franklin was an author.
266,13876,Brazilian jiu-jitsu includes grappling.
268,127090,Jenny McCarthy is a model.
272,185184,You Only Live Twice is the first Bond movie with the director Lewis Gilbert.
273,46262,Henry III assumed the throne at nine years old in the middle of the First Barons' War.
274,19865,Yemen's temporary capital is Aden.
276,92851,John Frusciante incorporated experimental rock into his music.
279,108739,James Brolin has had roles in situational comedies.
281,198545,Catherine Hardwicke is an award-winning film director.
282,136062,"In 2008, Touch My Body was released."
284,130978,Kaya Scodelario was nominated for two BAFTA.
286,93878,"Warren Beatty was the co-writer, producer, and director of an epic drama movie."
287,118195,Warren Beatty was a co-writer on Heaven Can Wait.
288,121461,Ekta Kapoor worked on an Indian historical romance film that premiered in 2008.
289,114514,Personality is affected by the development of task performance.
290,138595,Aphrodite performs with the god of blacksmiths.
291,102312,Daenerys Targaryen's older brother and only living relative is named Viserys.
293,149489,The United States dollar is used in the Caribbean in two British Overseas Territories.
295,168931,The Boeing 767 is used for international flights.
296,53478,Pink was born in 1979.
298,144169,Music videos have been directed by ASAP Rocky for Danny Brown.
301,127133,The Dodo has been depicted with brownish-grey hair.
302,24779,"In 2015, among Americans, 30% of adults had consumed alcoholic drink in the last year."
305,50486,The Atlanta metropolitan area covers 39 counties.
308,139831,Brie Larson and Destin Daniel worked together.
314,168086,Jean-Jacques Dessalines ruled over a territory.
315,149063,Raven-Symoné is an entertainer.
316,111151,Hinduism contains the Yoga philosophy.
320,124189,"On May 19, 1945, Ian Gillan was born."
321,45310,The Africa Cup of Nations had its schedule changed in 2013 to avoid conflict with the World Cup.
324,106392,Michael Hutchence died in a hotel room in Sydney.
328,219676,Corsica contains Haute-Corse.
329,152955,I Want to Know What Love Is is a single.
333,108420,There are one or more seasons of Heroes.
334,141268,There is a drama called Exit the King.
341,171503,"Jiang Wen was born on January 5, 1963."
342,102019,"Around the world, medical school vary in the nature of medical programs."
346,92472,UNESCO's City of Literature program is separate from its Creative Cities Network.
347,133233,Touch My Body was released in 2008.
349,74224,"The Last Song (film) began filming on Monday, June 14th, 2009."
350,197632,There was a contribution to the discovery of the remains of King Richard III by the University of Leicester.
351,152165,I (film) was released in German.
353,5917,Heath Ledger aspired to be a film producer.
357,189885,"Augustus Prew was born in Westminster, London."
359,225723,David Lloyd George served as a prime minister.
360,129426,"In 2016, Sausage Party was released."
361,160337,"Jarhead, a 2005 American biographical war drama, was directed by the award-winning auteur Sam Mendes."
362,76354,Ice-T's Rhyme Pays was his first commercial full length record.
363,227773,Lyon is the third-largest city in France.
364,29550,The Invisible Man was a science fiction horror film.
365,69436,SpongeBob SquarePants is a media franchise.
366,57989,Arjit Singh is an Indian male musician.
367,33235,The Walking Dead (comic book) inspired The Walking Dead: Torn Apart.
368,227114,Blank Space is on a top 100 list in numerous countries.
371,125440,Stomp the Yard has Meagan Good in a minor role.
372,30961,Georges Gilles de la Tourette described symptoms of Tourette's syndrome.
377,197636,There was a contribution of the identification of the remains of King Richard III by the University of Leicester.
378,156694,"South Island is referred to as the ""mainland."""
379,93901,DodgeBall: A True Underdog Story has Vince Vaughn and Ben Stiller in starring roles.
386,92586,Firefox is one of the most popular web browsers.
387,32534,Japan is in Asia.
388,56959,Samsung entered the shipbuilding industries in the 1970's.
389,194565,Kyle Maclachlan has won an award called Golden Globe for Best Actor.
392,38947,Two and a Half Men starred a person.
394,66473,Watchmen is a film set in an alternate history in the year 1985.
395,121472,Golf is played in a place.
396,113279,The Hit is a 1984 film.
397,32939,Louis Malle produced films.
400,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.
401,11276,Ekta Kapoor worked on a sitcom.
403,48607,Pakistan's economy is 42nd largest in nominal gross domestic product.
409,126218,The New England Patriots won five Super Bowls as of 2015.
411,6650,The Icelandic Coast Guard is responsible for something.
412,162832,Islamabad contains Quaid-i-Azam University.
416,104930,"The Stanford prison experiment was funded by an organization that coordinates, executes, and promotes the science and technology programs of the U.S. Army and Marine Corps."
420,114251,Road House is a movie.
422,82587,Aphrodite is a goddess in Greek mythology.
426,11253,Solanum has horse nettles.
429,92196,Taarak Mehta Ka Ooltah Chashmah is from India where it is most popular.
431,38046,Ricardo Montalbán acted in film and television.
437,153736,Ron Howard directed The Paper.
438,139427,Tom Kenny stars in The SpongeBob SquarePants Movie.
439,68742,John Frusciante is a musician.
440,89309,The Mormon population has grown significantly since 1980.
443,73017,The Challenge XXX: Dirty 30 is the thirtieth season of a TV series.
444,140523,Sands Hotel and Casino started as a casino with 200 employees.
446,123031,No Strings Attached was released in a country of the Northern Hemisphere.
448,67544,Laura Robson participated in the International Tennis Federation.
449,22409,Faye Resnick is an interior designer.
452,52112,MSG is an odor enhancer.
455,209354,Alexandria serves 80% of Egypt's imports and exports.
457,16378,Scandal is an American band.
459,62117,Aestheticism values aesthetics over socio-political themes.
463,169934,"For the last five consecutive FIFA World Cups, Japan national football team qualified."
464,195494,William Howard Taft declined offers of appointment to the Supreme Court of France.
465,46937,Skopje was a city.
467,222168,Rehab won an Ivor Novello Award in 2000.
468,203039,Akon has had more than ten songs certified as 1 × platinum in digital sales.
469,74924,Globalism is a group of ideologies that advocate the concept of globalization in the 21st century.
470,220950,A former Soviet nation was part of the Group of 15.
472,211858,See.SZA.Run is an EP.
473,32535,Japan is located in Asia.
475,111662,Producing jazz records is a career of Fred Seibert.
477,216793,Timur decisively defeated the Christian Knights Hospitaller at the Siege of Smyrna.
479,102990,Quay had its first public showing in 2015.
480,111074,Kaya Scodelario is an entertainer.
481,53197,Eugene Ionesco wrote Exit the King.
486,14366,"Michael Hutchence died on November 22nd, 1997."
488,43120,Python supports multiple programming paradigms and is highly usable.
493,49398,Hannah and Her Sisters is an American comedy-drama.
495,87019,Theresa May served.
496,71187,John Goodman did not star in 10 Cloverfield Lane.
