,id,claim
146,89156,Doxycycline may cause teeth to change color in children.
147,45310,The Africa Cup of Nations had its schedule changed in 2013 to avoid conflict with the World Cup.
148,67544,Laura Robson participated in the International Tennis Federation.
149,22409,Faye Resnick is an interior designer.
150,93901,DodgeBall: A True Underdog Story has Vince Vaughn and Ben Stiller in starring roles.
151,106392,Michael Hutchence died in a hotel room in Sydney.
152,104562,Yvonne Strahovski was involved in an ABC period drama.
153,156694,"South Island is referred to as the ""mainland."""
154,7581,Adidas designs boots.
155,197636,There was a contribution of the identification of the remains of King Richard III by the University of Leicester.
156,178219,Move (Little Mix song) was released in October of 2013.
157,219676,Corsica contains Haute-Corse.
158,158017,Two of Mozart's sons were alive after his death.
159,70280,Scandinavia does not include the remote Norwegian islands of Svalbard and Jan Mayen as of 2002.
160,67148,Richard Fortus has recorded a studio album with a band.
161,152955,I Want to Know What Love Is is a single.
162,211856,See.SZA.Run incorporates contemporary suburban genres.
163,5599,San Francisco Bay Area is home to approximately 10 million people.
164,32534,Japan is in Asia.
165,92586,Firefox is one of the most popular web browsers.
166,61233,Half Girlfriend was partially filmed in Delhi.
167,56959,Samsung entered the shipbuilding industries in the 1970's.
168,184285,Vera Wang is an American Fashion Designer.
169,108420,There are one or more seasons of Heroes.
170,105645,Prices for stocks can be shown in Google Search.
171,62117,Aestheticism values aesthetics over socio-political themes.
172,194565,Kyle Maclachlan has won an award called Golden Globe for Best Actor.
173,38947,Two and a Half Men starred a person.
174,96584,Donald Duck wears a shirt.
175,46023,Shannon Lee is a martial artist.
176,101407,Benjamin Franklin had indefatigable campaigning for colonial unity and was regarded.
177,150321,Lorelai Gilmore has a mother who appears on the show.
178,121472,Golf is played in a place.
179,219704,France is the owner of Corsica.
180,113279,The Hit is a 1984 film.
181,66473,Watchmen is a film set in an alternate history in the year 1985.
182,49169,"In 2004, Spider-Man 2 was released."
183,32939,Louis Malle produced films.
184,58952,"Deepika Padukone's acting career includes comedies, dramas, and romances."
185,169934,"For the last five consecutive FIFA World Cups, Japan national football team qualified."
186,211022,Resident Evil is loosely based on a novel series.
187,59890,Natasha Lyonne was born in 1979.
188,145339,Emmanuel Macron worked as a banker.
189,225819,Chinatown was directed by someone.
190,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.
191,25005,ASAP Rocky has directed music videos for himself and Danny Brown.
192,11145,Benzodiazepine is a medication.
193,54298,"In states still employing the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method."
194,132806,Barbarella is not non-fiction.
195,127402,Mandy Moore is a writer.
196,56960,"In the 1970's, Samsung entered the shipbuilding industries."
197,222749,Practical Magic is an American romantic drama film.
198,11276,Ekta Kapoor worked on a sitcom.
199,224137,Celebrity Rehab with Dr. Drew is a TV show.
200,185780,Logie Awards had many guest celebrities.
201,26808,Antigua and Barbuda was named in April of 1493.
202,75778,Brown University's main campus is located in the College Hill Historic District of Providence.
203,221137,Ted Cruz is an American male.
204,144391,The year 1990 saw the release of the movie Ghost.
205,16079,Solanum contains plants with ornamental flowers.
206,6650,The Icelandic Coast Guard is responsible for something.
207,72751,Jamie Lee Curtis had a starring role in John Carpenter's Halloween.
208,162832,Islamabad contains Quaid-i-Azam University.
209,46755,Little Dorrit was later published in serial form.
210,22726,"In Kentucky, the electric chair has been kept in operation except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution."
211,146214,Ned Stark worked with a cast in a film.
212,1219,The Vandals were an East Germanic tribe or group of tribes.
213,78516,"Doug Petrie made a cameo in Dr. Horrible's Sing-Along Blog as ""Professor Normal""."
214,143242,Castlevania was developed for the Nintendo Wii.
215,141268,There is a drama called Exit the King.
216,198553,Catherine Hardwicke has done production design for television shows.
217,155865,The basis for The Beguiled is a novel with a setting in the American South.
218,35703,Stomp the Yard stars an American actress born in 1981.
219,62587,Anne Boleyn was maid of honour to the Queen of England.
220,58352,Woodrow Wilson formed the belief system Wilsonianism.
221,54930,The Icelandic Coast Guard is a service and it is significant to modern infrastructure.
