,Player Name,birth_place
224,Jamal Murray,"Kitchener, Ontario"
225,KJ McDaniels,"Birmingham, Alabama"
226,Jeff Green,"Cheverly, Maryland"
227,PJ Hairston,"Greenville, North Carolina"
228,Sasha Vujacic,"Maribor, SR Slovenia, SFR Yugoslavia"
229,Nick Calathes,"Cassadaga, Florida"
230,Dewayne Dedmon,"Fayetteville, North Carolina"
231,David Lee,"St. Louis, Missouri"
232,Shawne Williams,"Memphis, Tennessee"
233,Furkan Aldemir,"Konak, İzmir, Turkey"
234,John Jenkins,"Portsmouth, England"
235,Cole Aldrich,"Burnsville, Minnesota"
236,Brandon Rush,"Kansas City, Missouri"
237,Nikola Mirotic,"Titograd, SR Montenegro, SFR Yugoslavia"
238,Ronnie Price,"Fort Worth, Texas"
239,Chris Paul,"Winston-Salem, North Carolina"
240,Willie Cauley-Stein,"Spearville, Kansas"
241,D'Angelo Russell,New York City
242,Johnny O'Bryant III,"Cleveland, Mississippi"
243,DeMar DeRozan,"Compton, California"
244,Andre Iguodala,"Springfield, Illinois"
245,Danilo Gallinari,Sant'Angelo Lodigiano
246,Dwight Buycks,"Milwaukee, Wisconsin"
247,Elton Brand,"Cortlandt Manor, New York"
248,Cleanthony Early,"Middletown, New York"
249,Gordon Hayward,"Indianapolis, Indiana"
250,Mike Scott,"Hesston, Kansas"
251,Gary Neal,"Baltimore, Maryland"
252,Ben Gordon,"London, England"
253,Miles Plumlee,"Fort Wayne, Indiana"
254,Sam Dekker,"Sheboygan, Wisconsin"
255,Marcelo Huertas,"Santa Catarina, Brazil"
256,Gigi Datome,"Sassari, Italy"
257,Jordan Hill,"Atlanta, Georgia"
258,Tyler Ulis,"Southfield, Michigan"
259,Meyers Leonard,"Robinson, Illinois"
260,Kirk Hinrich,"Sioux City, Iowa"
261,Paul Zipser,"Heidelberg, Germany"
262,Wayne Ellington,"Wynnewood, Pennsylvania"
263,Luis Scola,"Buenos Aires, Argentina"
264,Michael Carter-Williams,"Hamilton, Massachusetts"
265,Klay Thompson,"Los Angeles, California"
266,Kosta Koufos,"Canton, Ohio"
267,Dorell Wright,"Sudbury, Massachusetts"
268,Mike Muscala,"St. Louis, Missouri"
269,Andrea Bargnani,"Rome, Italy"
270,Kobe Bryant,"Philadelphia, Pennsylvania"
271,Serge Ibaka,"Brazzaville, Republic of the Congo"
272,Courtney Lee,"Indianapolis, Indiana"
273,Gal Mekel,"Petah Tikva, Israel"
274,Terrence Ross,"Portland, Oregon"
275,Jarell Martin,"Baton Rouge, Louisiana"
276,Randy Foye,"Newark, New Jersey"
277,Juan Hernangomez,"Madrid, Spain"
278,Brandon Bass,"Baton Rouge, Louisiana"
279,Anthony Tolliver,"Springfield, Missouri"
280,Jimmy Butler,"Tomball, Texas"
281,JJ Redick,"Cookeville, Tennessee"
282,DeJuan Blair,"Pittsburgh, Pennsylvania"
283,Jerome Jordan,"Kingston, Jamaica"
284,Lance Thomas,"Brooklyn, New York"
285,Nate Wolters,"St. Cloud, Minnesota"
286,Michael Kidd-Gilchrist,"Philadelphia, Pennsylvania"
287,Bojan Bogdanovic,"Mostar, Bosnia and Herzegovina"
288,JJ Hickson,"Atlanta, Georgia"
289,Kay Felder,"Detroit, Michigan"
290,Tim Frazier,"Houston, Texas"
291,Marco Belinelli,San Giovanni in Persiceto
292,Aaron Gordon,"San Jose, California"
293,Ben McLemore,"St. Louis, Missouri"
294,Rodney Stuckey,"Seattle, Washington"
295,Robert Sacre,"Baton Rouge, Louisiana"
296,Landry Fields,"Long Beach, California"
297,Trey Lyles,"Saskatoon, Saskatchewan"
298,Jonas Valanciunas,"Utena, Lithuania"
299,James Ennis III,"Ventura, California"
300,Tim Hardaway Jr.,"Miami, Florida"
301,Nicolas Brussino,"Cañada de Gómez, Argentina"
302,Lance Stephenson,"Brooklyn, New York"
303,Bryce Dejean-Jones,"New Orleans, Louisiana"
304,Mario Hezonja,"Ragusa, Croatia"
305,Amir Johnson,Los Angeles
306,Luc Mbah a Moute,"Yaoundé, Cameroon"
307,Cody Zeller,"Washington, Indiana"
308,Stanley Johnson,Los Angeles
309,Kyle Lowry,"Philadelphia, Pennsylvania"
310,Jakob Poeltl,"Vienna, Austria"
311,Alec Burks,"Grandview, Missouri"
312,Jorge Gutierrez,"Chihuahua, Mexico"
313,Matthew Dellavedova,"Maryborough, Victoria"
314,Seth Curry,"Charlotte, North Carolina"
315,LeBron James,"Akron, Ohio"
316,Trevor Ariza,"Miami, Florida"
317,Gerald Henderson,"Caldwell, New Jersey"
318,Buddy Hield,"Freeport, Bahamas"
319,CJ Miles,"Dallas, Texas"
320,Tyson Chandler,"Hanford, California"
321,Wilson Chandler,"Benton Harbor, Michigan"
322,Justin Anderson,"Montross, Virginia"
323,Kris Humphries,"Minneapolis, Minnesota"
324,Bernard James,"Savannah, Georgia"
325,Tim Duncan,"Saint Croix, U.S. Virgin Islands"
326,Mario Chalmers,"Anchorage, Alaska"
327,Gerald Green,"Houston, Texas"
328,Salah Mejri,Jendouba
329,Damien Inglis,"Casseneuil, France"
330,Ty Lawson,"Clinton, Maryland"
331,Bobby Portis,"Little Rock, Arkansas"
332,Mason Plumlee,"Fort Wayne, Indiana"
333,Luke Babbitt,"Cincinnati, Ohio"
334,Russell Westbrook,"Long Beach, California"
335,Mike Conley,"Fayetteville, Arkansas"
336,Rasual Butler,"Philadelphia, Pennsylvania"
337,Mo Williams,"Jackson, Mississippi"
338,Jared Dudley,"San Diego, California"
339,Isaiah Thomas,"Tacoma, Washington"
340,Joe Young,"Houston, Texas"
341,Cheick Diallo,"Kayes, Mali"
342,Mike Dunleavy,"Fort Worth, Texas"
343,Andrew Harrison,"San Antonio, Texas"
344,Thaddeus Young,"New Orleans, Louisiana"
345,Travis Wear,"Long Beach, California"
346,James Young,"St. Louis, Missouri"
347,Kevin Seraphin,"Cayenne, French Guiana"
348,Ricky Ledo,"Clifton, New Jersey"
349,Chris Andersen,"Long Beach, California"
350,Marreese Speights,"St. Petersburg, Florida"
351,Dahntay Jones,"Hamilton, New Jersey"
352,Willy Hernangomez,"Madrid, Spain"
353,Steve Blake,"Hollywood, Florida"
354,Darrell Arthur,"Dallas, Texas"
355,John Lucas III,"Washington, D.C."
356,Noah Vonleh,"Salem, Massachusetts"
357,TJ Warren,"Durham, North Carolina"
358,Marcin Gortat,"Łódź, Poland"
359,Jordan Clarkson,"Tampa, Florida"
360,Thabo Sefolosha,"Vevey, Switzerland"
361,Julius Randle,"Dallas, Texas"
362,Nik Stauskas,"Mississauga, Ontario"
363,Devin Booker,"Grand Rapids, Michigan"
364,Glenn Robinson III,"Gary, Indiana"
365,Damjan Rudez,"Zagreb, Croatia"
366,Frank Kaminsky,"Winfield, Illinois"
367,Kentavious Caldwell-Pope,"New Orleans, Louisiana"
368,Kyle Korver,"Paramount, California"
369,Maurice Harkless,New York City
370,Dorian Finney-Smith,"Portsmouth, Virginia"
371,Nick Young,"St. Louis, Missouri"
372,Semaj Christon,"Cincinnati, Ohio"
373,Kris Dunn,"New London, Connecticut"
374,Iman Shumpert,"Berkeley, California"
375,Andrew Nicholson,"St. Catharines, Ontario"
376,Otto Porter,"St. Louis, Missouri"
377,Alex Stepheson,Los Angeles
378,Kyle Singler,"Medford, Oregon"
379,Richard Jefferson,"Los Angeles, California"
380,Damian Lillard,"Oakland, California"
381,Jrue Holiday,"Chatsworth, California"
382,Boris Diaw,"Cormeilles-en-Parisis, France"
383,JaVale McGee,"Flint, Michigan"
384,Marvin Williams,"Bremerton, Washington"
385,Carlos Boozer,"Aschaffenburg, Germany"
386,Trevor Booker,"Newberry, South Carolina"
387,Norman Powell,"San Diego, California"
388,Rondae Hollis-Jefferson,"Chester, Pennsylvania"
389,Lou Williams,"Memphis, Tennessee"
390,Dennis Schroder,"Brauweiler, Germany"
391,Justin Holiday,"Mission Hills, California"
392,Ryan Anderson,"Sacramento, California"
393,Tomas Satoransky,"Prague, Czechoslovakia"
394,Isaiah Whitehead,"Brooklyn, New York"
395,Tyler Zeller,"Visalia, California"
396,Spencer Dinwiddie,Los Angeles
397,Kemba Walker,"The Bronx, New York"
398,Steve Novak,"Libertyville, Illinois"
399,Malcolm Delaney,"Baltimore, Maryland"
400,Jaylen Brown,"Atlanta, Georgia"
401,Shabazz Muhammad,"Long Beach, California"
402,Joel Embiid,"Yaoundé, Cameroon"
403,Andre Drummond,"Mount Vernon, New York"
404,Andre Roberson,"Las Cruces, New Mexico"
405,Draymond Green,"Saginaw, Michigan"
406,Jimmer Fredette,"Casper, Wyoming"
407,Glenn Robinson,"Gary, Indiana"
408,Nick Johnson,I don't have information on the birthplace of Nick Johnson.
409,Tyler Johnson,"Apalachicola, Florida"
410,Jabari Brown,"Oakland, California"
411,Jarrett Jack,"Fort Washington, Maryland"
412,Ersan Ilyasova,"Eskişehir, Turkey"
413,Markieff Morris,"Philadelphia, Pennsylvania"
414,Victor Oladipo,"Upper Marlboro, Maryland"
415,Tony Snell,"Watts, California"
416,Alexis Ajinca,Saint-Étienne
417,Anthony Davis,"Chicago, Illinois"
418,Kevin Love,"Santa Monica, California"
419,Wesley Johnson,"Corsicana, Texas"
420,Matt Barnes,"Santa Clara, California"
421,Willie Reed,"Greenbelt, Maryland"
422,Robert Covington,"Bellwood, Illinois"
423,Alexey Shved,"Belgorod, Russia"
424,Paul Pierce,"Oakland, California"
425,Jose Calderon,"Villanueva de la Serena, Spain"
426,Mitch McGary,"Cronulla, Australia"
427,JaKarr Sampson,"Cleveland, Ohio"
428,Drew Gooden,"Grand Rapids, Michigan"
429,Rudy Gobert,"Saint-Quentin, France"
430,Lucas Nogueira,"Colatina, Brazil"
431,Caris LeVert,"Columbus, Ohio"
432,Devyn Marble,"Southfield, Michigan"
433,Charlie Villanueva,"Dar es Salaam, Tanzania"
434,Ron Baker,"Hattiesburg, Mississippi"
435,Josh Smith,I don't have information on the birthplace of Josh Smith.
436,Steven Adams,"Rotorua, New Zealand"
437,Patrick Patterson,"Washington, D.C."
438,Metta World Peace,"Queens, New York"
439,Ramon Sessions,"Myrtle Beach, South Carolina"
440,Alex Abrines,Palma de Mallorca
441,Bismack Biyombo,"Lubumbashi, Zaire (now Democratic Republic of the Congo)"
442,Kristaps Porzingis,"Liepāja, Latvia"
443,Jeff Teague,"Indianapolis, Indiana"
444,Luol Deng,"Wau, Sudan"
445,Brandon Knight,"Miami, Florida"
446,Carmelo Anthony,"Brooklyn, New York"
447,Zach Randolph,"Marion, Indiana"
448,Avery Bradley,"Tacoma, Washington"
449,Georgios Papagiannis,"Marousi, Athens, Greece"
450,Alan Williams,"Phoenix, Arizona"
451,Goran Dragic,"Ljubljana, Slovenia"
452,Leandro Barbosa,"São Paulo, Brazil"
453,Elliot Williams,"Memphis, Tennessee"
454,Pascal Siakam,"Douala, Cameroon"
455,Danny Green,"North Babylon, New York"
456,Monta Ellis,"Jackson, Mississippi"
457,Al Horford,Puerto Plata
458,DeMarcus Cousins,"Mobile, Alabama"
459,George Hill,"Indianapolis, Indiana"
460,Brandon Davies,"Philadelphia, Pennsylvania"
461,DeMarre Carroll,"Birmingham, Alabama"
462,Trey Burke,"Columbus, Ohio"
463,Jahlil Okafor,"Fort Smith, Arkansas"
464,Richaun Holmes,"Brooklyn, New York"
465,Jason Smith,"Calgary, Alberta, Canada"
466,Derrick Favors,"Atlanta, Georgia"
467,Zach LaVine,"Renton, Washington"
468,Nikola Vucevic,"Morges, Switzerland"
469,Rakeem Christmas,"Irvington, New Jersey"
470,Kyle O'Quinn,"Queens, New York"
471,Derrick Williams,"Birmingham, Alabama"
472,Devin Harris,"Milwaukee, Wisconsin"
473,Tiago Splitter,"Joinville, Brazil"
474,Chris Johnson,"Orlando, Florida"
475,Ish Smith,"Charlotte, North Carolina"
476,Jeff Withey,"San Diego, California"
477,James Anderson,"Burnley, England"
478,Jared Sullinger,"Columbus, Ohio"
479,Dante Cunningham,"Clinton, Mississippi"
480,JR Smith,"Freehold, New Jersey"
481,Jordan Farmar,"Los Angeles, California"
482,Alonzo Gee,"Riverside, California"
483,Jeremy Evans,"Crosby, Texas"
484,Ricky Rubio,"El Masnou, Spain"
485,Henry Walker,"Monroe, Louisiana"
486,Joffrey Lauvergne,"Mulhouse, France"
487,Greivis Vasquez,"Caracas, Venezuela"
488,Jeremy Lamb,"Norcross, Georgia"
489,Dwight Powell,"Toronto, Ontario"
490,JaMychal Green,"Montgomery, Alabama"
491,Udonis Haslem,"Miami, Florida"
492,Nick Collison,"Orange City, Iowa"
493,Shelvin Mack,"Jacksonville, Florida"
494,Roy Hibbert,New York City
495,Nate Robinson,"Seattle, Washington"
496,Joakim Noah,New York City
497,Shabazz Napier,"Brooklyn, New York"
498,Dion Waiters,"Philadelphia, Pennsylvania"
499,James Johnson,I don't have information on the birthplace of James Johnson. Can you provide more context or details about which James Johnson you are referring to? There may be multiple individuals with that name.
