"player_name","_col_1"
"Rakeem Christmas","American"
"Kyle O'Quinn","American"
"Devin Harris","American"
"Tiago Splitter","Brazil"
"Chris Johnson","American"
"Jeff Withey","American"
"Jared Sullinger","American"
"Dante Cunningham","American"
"JR Smith","American"
"Jordan Farmar","American"
"Jeremy Evans","American"
"Henry Walker","American"
"Greivis Vasquez","Belgian"
"Nick Collison","American"
"Shelvin Mack","American"
"Roy Hibbert","American"
"Joakim Noah","American"
"Dion Waiters","American"
"James Johnson","American"
"Bryce Cotton","Australian"
"Jerryd Bayless","American"
"Enes Kanter","Turkish"
"Jannero Pargo","American"
"Chris Kaman","American"
"Boban Marjanovic","Serbian"
"TJ McConnell","American"
"Myles Turner","American"
"Donatas Motiejunas","Lithuanian"
"Nikola Pekovic","Serbian"
"Jonathan Gibson","American"
"Lavoy Allen","American"
"Phil Pressey","American"
"Terrence Jones","American"
"Chris Douglas-Roberts","American"
"Mirza Teletovic","Bosnian"
"James Jones","American"
"Dragan Bender","Croatian"
"Toney Douglas","United States"
"RJ Hunter","American"
"Nerlens Noel","American"
"Donald Sloan","American"
"David West","American"
"Tayshaun Prince","American"
"Jason Thompson","American"
"Tyreke Evans","American"
"Michael Beasley","American"
"Omri Casspi","Israeli"
"C.J. Watson","American"
"Samuel Dalembert","Haitian"
"Skal Labissiere","Haitian"
"Quincy Pondexter","American"
"Jameer Nelson","American"
"Jordan Crawford","American"
"Thomas Robinson","American"
"Justin Hamilton","American"
"Raymond Felton","American"
