,Player Name,nationality
127,Karl-Anthony Towns,American
129,Corey Brewer,United States
130,Sonny Weems,United States
132,Ryan Hollins,United States
133,Jason Richardson,United States
134,Nikola Jokic,Serbian
138,Kevin Garnett,American
139,Chasson Randle,United States
144,Kyrie Irving,Australia
146,Tony Parker,French
147,Ian Clark,England
148,Nene,Brazil
149,Ryan Kelly,American
151,Festus Ezeli,Nigerian
153,Evan Fournier,French
154,Channing Frye,United States
155,Kenneth Faried,United States
156,Dante Exum,Australia
157,Andrew Bogut,Australia
158,Brandan Wright,United States
161,Ivica Zubac,Croatia
162,O.J. Mayo,American
163,Brian Roberts,United States
164,Caron Butler,United States
165,Arron Afflalo,United States
168,Pablo Prigioni,Argentina
170,James Michael McAdoo,American
171,Tyler Ennis,Canada
172,Pierre Jackson,United States
174,Giannis Antetokounmpo,Greek
177,Thon Maker,Australia
178,Elijah Millsap,United States
181,Sheldon McClellan,United States
182,Jonathon Simmons,Australia
184,Zaza Pachulia,Georgia
185,Beno Udrih,Slovenia
187,Chandler Parsons,United States
191,Will Bynum,United States
193,Kostas Papanikolaou,Greece
196,Jeremy Lin,Taiwanese
197,Marcus Thornton,United States
199,Darren Collison,United States
201,Manu Ginobili,Argentina
204,Reggie Evans,United States
207,T.J. McConnell,Canada
210,Vince Carter,American
211,Jabari Parker,American
213,Amar'e Stoudemire,United States
215,Robbie Hummel,United States
216,Tyler Hansbrough,United States
217,Matt Bonner,Canada
218,Archie Goodwin,American
219,Kenyon Martin,United States
221,Lou Amundson,United States
222,Nemanja Bjelica,Serbian
223,Andre Miller,United States
225,KJ McDaniels,United States
227,PJ Hairston,United States
228,Sasha Vujacic,Serbian
229,Nick Calathes,Greek
232,Shawne Williams,United States
233,Furkan Aldemir,Turkey
235,Cole Aldrich,United States
236,Brandon Rush,United States
237,Nikola Mirotic,Serbian
238,Ronnie Price,United States
240,Willie Cauley-Stein,United States
246,Dwight Buycks,United States
248,Cleanthony Early,United States
250,Mike Scott,American
251,Gary Neal,United States
252,Ben Gordon,England
253,Miles Plumlee,United States
254,Sam Dekker,United States
255,Marcelo Huertas,Spain
256,Gigi Datome,Italy
258,Tyler Ulis,American
260,Kirk Hinrich,United States
261,Paul Zipser,Germany
263,Luis Scola,Argentina
264,Michael Carter-Williams,United States
266,Kosta Koufos,Greece
267,Dorell Wright,United States
271,Serge Ibaka,Cameroonian
272,Courtney Lee,United States
273,Gal Mekel,Israel
275,Jarell Martin,United States
276,Randy Foye,United States
278,Brandon Bass,United States
279,Anthony Tolliver,United States
284,Lance Thomas,United States
285,Nate Wolters,United States
286,Michael Kidd-Gilchrist,American
287,Bojan Bogdanovic,Croatia
288,JJ Hickson,United States
289,Kay Felder,United States
291,Marco Belinelli,Italian
293,Ben McLemore,United States
294,Rodney Stuckey,United States
295,Robert Sacre,Canada
296,Landry Fields,Canada
299,James Ennis III,Australia
301,Nicolas Brussino,Argentina
302,Lance Stephenson,United States
303,Bryce Dejean-Jones,American
305,Amir Johnson,Canada
312,Jorge Gutierrez,Mexico
317,Gerald Henderson,United States
318,Buddy Hield,Canada
319,CJ Miles,United States
320,Tyson Chandler,United States
321,Wilson Chandler,United States
322,Justin Anderson,United States
324,Bernard James,Australia
326,Mario Chalmers,United States
328,Salah Mejri,Tunisia
329,Damien Inglis,Australia
330,Ty Lawson,United States
333,Luke Babbitt,United States
338,Jared Dudley,United States
340,Joe Young,American
341,Cheick Diallo,Mali
343,Andrew Harrison,United States
345,Travis Wear,United States
346,James Young,Australia
