"Game ID","team_name","wins","losses","total_points"
"35","Houston Rockets","50","-1","-1"
"35","Miami Heat","3","1","91"
"35","Memphis Grizzlies","-1","-1","-1"
"35","Golden State Warriors","-1","-1","-1"
"35","San Antonio Spurs","50","-1","108"
"35","Charlotte Hornets","50","-1","108"
"36","Sacramento Kings","6","9","116"
"36","Oklahoma City Thunder","6","9","116"
"37","Phoenix Suns","34","32","106"
"37","Minnesota Timberwolves","-1","-1","-1"
"38","Philadelphia 76ers","-2","2","71"
"38","Utah Jazz","1","0","99"
"38","Indiana Pacers","-1","2","71"
"38","Cleveland Cavaliers","-1","-1","-1"
"39","Thunder,Grizz","1","-1","-1"
"40","Sacramento Kings","1","0","96"
"40","Toronto Raptors","1","0","96"
"41","Brooklyn Nets","15","56","126"
"41","Phoenix Suns","22","50","-1"
"42","Suns","33","-1","12"
"42","Kings","-1","-1","-1"
"43","Chicago Bulls","8","3","105"
"43","Los Angeles Clippers","5","4","89"
"44","Memphis Grizzlies","34","23","-1"
"44","Brooklyn Nets","9","46","-1"
"45","Miami Heat","25","32","117"
"45","Houston Rockets","18","32","109"
"46","Pelicans","1","-1","-1"
"46","Detroit","1","-1","-1"
"47","Denver Nuggets","19","24","93"
"47","New Orleans Pelicans","-1","-1","-1"
"48","Warriors","-1","-1","-1"
"48","Lakers","-1","-1","-1"
"49","Houston Rockets","40","17","77"
"49","Phoenix Suns","17","38","-1"
"50","null","20","26","121"
"51","Atlanta Hawks","6","5","99"
"51","Detroit Pistons","3","10","89"
"52","New York Knicks","7","7","107"
"52","Portland Trail Blazers","7","7","103"
"53","Bulls","-1","-1","-1"
"53","Knicks","-1","-1","-1"
"54","null","-1","-1","-1"
"55","Toronto Raptors","25","20","106"
"55","Orlando Magic","20","19","98"
"56","null","1","-1","-1"
"57","Houston Rockets","32","30","193"
"57","Dallas Mavericks","-1","4","94"
"58","Denver","10","-1","-1"
"58","Chicago","-1","1","-1"
"59","Charlotte Hornets","39","29","109"
"59","Miami Heat","29","29","-1"
"60","Clippers","49","32","119"
"60","Celtics","-1","-1","-1"
"61","New Orleans Pelicans","28","41","-1"
"61","Houston Rockets","28","41","-1"
"62","Chicago Bulls","32","20","98"
"62","Orlando Magic","16","38","97"
"63","Hornets,Bulls","1","0","13"
"64","Atlanta Hawks","46","20","103"
"64","Phoenix Suns","20","59","103"
"65","Timberwolves,Nets","1","0","37"
"66","Golden State Warriors","3","1","121"
"66","Houston Rockets","-1","-1","-1"
"67","Cleveland Cavaliers","6","3","101"
"67","Indiana Pacers","3","4","-1"
"68","Rockets","15","-1","-1"
"68","Pelicans","-1","-1","-1"
"69","Sacramento Kings","6","4","94"
"69","San Antonio Spurs","5","1","-1"
"69","New Orleans Pelicans","6","4","94"
"69","Philadelphia 76ers","6","4","94"
"70","San Antonio Spurs","1","-1","-1"
"70","Memphis Grizzlies","-1","-1","-1"
"71","New Orleans Pelicans","3","1","111"
"71","Dallas Mavericks","9","22","-1"
"72","Miami Heat","16","21","104"
"72","Los Angeles Clippers","-1","-1","-1"
"73","Los Angeles Clippers","4","13","98"
"73","Miami Heat","11","28","-1"
"74","Washington Wizards","13","5","119"
"74","Denver Nuggets","-1","-1","-1"
"75","Sacramento Kings","30","45","120"
"75","Washington Wizards","-1","-1","-1"
"76","San Antonio","13","-1","-1"
"76","Oklahoma City","13","-1","-1"
"76","Cleveland","-1","-1","-1"
"77","Golden State Warriors","11","2","-1"
"77","Milwaukee Bucks","5","3","-1"
"78","Los Angeles Clippers","46","27","114"
"78","Boston Celtics","43","31","The number of Total Points that the {team_name} scored or -1 if not mentioned"
"79","Oklahoma City Thunder","21","12","122"
"79","Denver Nuggets","12","19","112"
"80","Brooklyn Nets","27","38","122"
"80","Minnesota Timberwolves","-1","-1","-1"
"81","Cavs","1","-1","-1"
"81","Hornets","-1","-1","-1"
"82","Memphis Grizzlies","5","0","5th straight win"
"82","Charlotte Hornets","-1","-1","-1"
"83","Memphis Grizzlies","2","1","88"
"83","Utah Jazz","-1","-1","-1"
"84","Miami Heat","14","16","101"
"84","Cleveland Cavaliers","11","6","91"
"85","Orlando Magic","28","36","107"
"85","Sacramento Kings","-1","8","-1"
"86","Cleveland Cavaliers","44","17","120"
"86","Boston Celtics","-1","-1","-1"
"87","Suns","7","9","174"
"87","Pistons","3","9","-1"
"88","Portland Trail Blazers","48","25","109"
"88","Phoenix Suns","2","0","109"
"88","Golden State","48","25","109"
"88","Los Angeles Clippers","48","25","109"
"88","Oklahoma City Thunder","48","25","109"
"89","Dallas Mavericks","9","3","105"
"89","Washington Wizards","7","2","102"
"90","Boston Celtics","1","0","104"
"90","Atlanta Hawks","2","2","-1"
"91","Golden State Warriors","56","6","119"
"91","Orlando Magic","27","35","-1"
"92","Detroit Pistons","1","0","105"
"92","Brooklyn Nets","1","0","100"
"93","Memphis Grizzlies","15","2","97"
"93","Sacramento Kings","-1","-1","-1"
"94","Los Angeles Clippers","51","26","107"
"94","Denver Nuggets","28","49","-1"
"95","Denver","40","-1","40"
"95","Knicks","-1","-1","-1"
"96","Denver Nuggets","8","10","-1"
"96","Milwaukee Bucks","21","10","-1"
"97","Houston Rockets","1","0","109"
"97","Dallas Mavericks","5","18","-1"
"98","Philadelphia 76ers","9","24","-1"
"98","Minnesota Timberwolves","-1","-1","-1"
"99","Dallas Mavericks","30","39","111"
"99","Brooklyn Nets","30","39","111"
