author
Nicole Holofcener
D.W. Griffith
Lewis John Carlino
George Axelrod
Irving Brecher
James O'Hanlon
Alan Jay Lerner
James R. Webb
Casey Robinson
John Clifford
DeWitt Bodeen
Arthur Laurents
Walter Newman
Carl Foreman
Earl Hamner
Lillian Hellman
Joe Eszterhas
Edwin Gordon
Hugo Butler
Michael Schiffer
Michael Crichton
Steven E. de Souza
Bill Norton
Loring Mandel
George Seaton
Steve Slavkin
George Abbott
Laird Doyle
Christopher Hampton
Nunnally Johnson
Frederic Raphael
George A. Romero
Edmund H. North
J.P. Miller
Terry Black
Arthur Miller
Joseph Hayes
John Milius
Robert Bolt
Robert Buckner
Ed Naha
Dr. Seuss
Garrett Elsden Fort
W.D. Richter
Brian DePalma
Richard Matheson
Tom Mankiewicz
Paul Osborn
Pier Paolo Pasolini
Martin Rackin
Dalton Trumbo
Steve Tesich
Frederic Raphael
David Loughery
Lukas Heller
Arthur Weiss
James Clavell
Dean Pitchford
Mary Rodgers
Tom Holland
Daniel Taradash
Romeo Muller
Dudley Nichols
Jeffrey Boam
John Farris
James Toback
Jan Spears
Walter Hill
John Cassavetes
Irving Brecher
H.B. Halicki
Neil Simon
Francis Ford Coppola
Arthur Ross
James Lee Barrett
Sidney Buchman
John Waters
Oliver Stone
Paul Schrader
Nelson Gidding
William Goldman
Diane Keaton
Wes Craven
Peter Prince
Arnold Schulman
Michael Davis
Leon Butler
Ernest Pascal
Peter Bryan
Crane Wilbur
Robb White
Tom Stoppard
Steve Shagan
Larry Cohen
Anthony Asquith
Richard Brooks
George Franklin
Norman Krasna
Dudley Nichols
Daniel Mainwaring
W.D. Richter
R.C. Sherriff
Peter Benchley
Denne Bart Petitclerc
Larry Cohen
Nathaniel Curtis
Romeo Muller
Joseph L. Mankiewicz
Robert Furnival
Spencer Eastman
Ernest Lehman
Lorenzo Semple Jr.
Philip Yordan
William Rose
William Hjortsberg
W.P. Lipscomb
Howard Koch
James Poe
James Goldman
Romeo Muller
Hugh Walpole
Allan Burns
Howard Ashman
Vladimir Nabokov
Tracy Keenan Wynn
Marshall Brickman
Ingmar Bergman
Orson Welles
John Huston
George Axelrod
Paddy Chayefsky
Dick Wolf
Lewis John Carlino
Carl Foreman
Ruth Rose
William Gibson
Robert Bolt
Christopher Wood
Norman Krasna
Ron Nyswaner
John L. Balderston
Marion Hargrove
Charles Lederer
Larry Gelbart
Eric Ambler
Neil Simon
David Seltzer
Zane W. Levitt
Neil Simon
Dennis Potter
Duke Sandefur
Albert Lewin
John Sayles
Wilford Leach
Richard Matheson
Jules Feiffer
David Mamet
David Himmelstein
Laird Doyle
Bridget Boland
Mel Brooks
William Gray
David Seltzer
James Glickenhaus
Neal Barbera
Lorraine Hansberry
Lamar Trotti
John Michael Hayes
Chris Columbus
Gerald Ayres
Paul Brickman
Sylvester Stallone
Romeo Muller
Michael Crichton
Garry Michael White
Leslie Bricusse
Brian Clemens
James Glickenhaus
Adrien Joyce
Colin Higgins
Blake Edwards
Austin Parker
Walon Green
Joel Schumacher
Dalton Trumbo
David Smilow
Daniel Taplitz
Howard Browne
Jim Kouf
Moss Hart
Bill Peet
Michael Lucker
Anthony Veiller
Richard Sale
Isobel Lennart
Neil Simon
J. Grubb Alexander
Lowell S. Hawley
Jeanie Macpherson
Richard Matheson
Jason Miller
Charles Lederer
Robert Ardrey
George MacDonald Fraser
Ernesto Gastaldi
Orson Welles
Lawrence Edward Watkin
Orson Welles
Jack Nicholson
James Lee Barrett
Preston Sturges
Robert Carrington
Mort Briskin
David Mamet
John Hughes
Gilbert A. Ralston
Paul Osborn
Jim Jarmusch
Robert Dillon
Kenneth Branagh
Nora Ephron
Terence Rattigan
John Lee Mahin
Bruce Joel Rubin
Leigh Brackett
Philip Yordan
Barry Levinson
John Cork
Arthur Laurents
Dennis Paoli
Joseph Minion
Leos Carax
Woody Allen
Jim Allen
Jack Gelber
Lucille Fletcher
Kevin Wade
Blake Edwards
Jim Sheridan
Bob Comfort
Wolfgang Petersen
Talbot Jennings
Terrence McNally
Todd Haynes
Wesley Strick
Ernest Lehman
Peter Dexter
Troy Kennedy Martin
Pedro Almodóvar
John Fusco
Franklyn Ajaye
Keith Gordon
Bart Baker
Horton Foote
Cameron Crowe
Matthew Chapman
Woody Allen
Robert Rossen
Charles Haas
Janus Cercone
Bo Goldman
Alan Shapiro
James B. Harris
Mike Binder
John Patrick Shanley
Eliot Stannard
Alan Rudolph
Paul W. Shapiro
Christopher Coppola
Kenneth Branagh
Ronald F. Maxwell
David O'Malley
Carl Foreman
Patrick Sheane Duncan
Rafael Yglesias
Dario Argento
David Keating
David Loughery
Peter Barnes
Stephen Sommers
Oliver Stone
Barry Michael Cooper
Nicholas Kazan
Caroline Thompson
Charles Chaplin
Charles Chaplin
Claude Chabrol
John Mattson
Whit Stillman
Ronald Harwood
Steven E. de Souza
John Hodge
Ross Thomas
Robert Benton
Guy Ferland
David Himmelstein
Richard LaGravenese
Paula Milne
Paul Auster
Chris Noonan
Gregory Widen
Randall Wallace
Douglas Day Stewart
Noah Baumbach
John Cassavetes
Nick Dear
Deborah Dean Davis
Richard Murphy
Michael Mann
Gene Quintano
Tim Robbins
Barbara Turner
Patrick Tilley
Rupert Walters
Fred Wolf (II)
Oliver Parker
Don Roos
Ted Tally
Peter Viertel
Manoel de Oliveira
Julian Mitchell
Ed Jones
David Twohy
Pen Densham
Dan Rosen
Malcolm Bradbury
Jeffrey Boam
Akiva Goldsman
Patricia Broderick
Matthew Bright
Phoef Sutton
Michael Hitchcock
Elizabeth White
Nick Thiel
Douglas McGrath
Gregory Nava
John Sayles
Paul Schrader
Randy Feldman
Arthur Miller
Kenneth Branagh
Peter Crabbe
Mike Hodges
Jim McGlynn
Roddy Doyle
Quinton Peeples
Robert Nelson Jacobs
Steve Oedekerk
Chris Brancato
Kenneth Johnson (I)
Lance Young
Masayuki Suo
Keenen Ivory Wayans
Joe Brewster
Reginald Rose
Chris Soth
Rod Serling
Eric Schaeffer
Mitch Glazer
Craig Mazin
Randall Wallace
M. Night Shyamalan
William Hurlbut
Eugene Solow
Rafael Yglesias
Don MacPherson
Michael Haneke
David Webb Peoples
Carlos Saura
Terrence Malick
Michael Hirst
Todd Solondz
Stephen Schiff
Joseph Stefano
Steve Antin
Stanley Tucci
Larry Gross
Adam Park
John August
Stephen Sommers
John Boorman
Martin Sherman
George Haas
David Black
David Self
Michael Hoffman
Oliver Parker
Malcolm D. Lee
Allan Aaron Katz
Neil Jordan
Audrey Wells
Patricia Rozema
Don McKellar
Peter Pruce
Mark Schwahn
Peter Milligan
Lisa Krueger
Michael Almereyda
Jeanne Rosenberg
David Gordon Green
Amy Heckerling
Melissa Painter
Barry Fanaro
Michael C. Martin
Rick Ray
Leslie Greif
Jamie Linden
Noel Clarke
John Byrum
Jon Bernstein
David Logan
David McKenna
James Poe
Rod Lurie
Pierce Gardner
Simon Beaufoy
Lawrence Roman
Giuseppe Tornatore
David Riker
Stephen Gaghan
George Gallo
Kurt Voelker
Gary Hardwick
Elizabeth Chandler
Jon Bokenkamp
Takeshi Kitano
Gerald DiPego
Randall Wallace
Bao Shi
David Mamet
Alejandro Amenábar
Edward Burns
Doug Atchison
D.J. Pooh
Jay Wolpert
Werner Herzog
Israel Horovitz
Shonda Rhimes
David Kendall
Loring Mandel
Mike Rich
Charlie Kaufman
Tom Stoppard
Greg Marcks
Hillary Seitz
Scott Cherry
Greg Iles
Gary Walkow
Paul Duran
Mike Leigh
Brian DePalma
Franc. Reyes
Douglas McGrath
Hugh Whitemore
Dick Maas
Will Aldis
DeMane Davis
Bryan Fuller
Ralph Sall
Greg Pritikin
George Hickenlooper
Steve Anderson
John August
Alan Jacobs
Matt Johnson
Mark Mills
John Michael McDonagh
Steve Adams
Alejandro Agresti
Bart Everly
Tony Piccirillo
Jack Stephens
Rick Schroder
Michael S. Ojeda
Jim McKay
Simon Barrett
Doug Richardson
Kevin Williamson
Charles Martin Smith
Jules Furthman
Hans Fjellestad
W.D. Richter
Carl Ellsworth
Simone Bitton
Adam Bhala Lough
Paul Etheredge
Dan Futterman
Rodrigo García
Annie Griffin
Stephen Chbosky
William Broyles
Terrence Malick
Deborah Moggach
Ricky Blitt
Jordi Llompart
Nick Love
Ken Kaufman
Don Rhymer
Randolph Kret
Eugene Jarecki
Craig Chester
Alex Rose
Olivier Assayas
Hunter Richards
Jacqueline Perske
Jeff Feuerzeig
Dan Madigan
Sofia Coppola
Bobcat Goldthwait
Kate Montgomery
Craig Mazin
Pete McCormack
Jeff Burr
Emilio Estevez
Robert Edwards
George Williams (XVI)
Jose Rivera
Ryan Schifrin
John Shiban
Georgia Lee
Mark Christopher
David Ross
Jeremy Brock
Dan Geller
Kevin DiNovis
Damian Lahey
Adam Brooks
Dan Fogelman
Michael Haneke
Robin Swicord
Walter Bernstein
Nancy Oliver
Jack Youngelson
Peter Morgan
Aubrey Nealon
Claudia Llosa
Hunter Weeks
Glen Pitre
Danny Schechter
Henry Jaglom
Michael Caleo
Charles Oliver
Shonali Bose
Kenneth Branagh
Richard Shepard
Mike Wilson
Maurice Jamal
Jake West
Michael Verhoeven
Bryan Poyser
Stewart Wade
Don McKellar
Glenn Gers
Emil Stern
Sean McGinly
Kevin Smith
David Kajganich
Jeff Lowell
Geoffrey Saville-Read
Mars Callahan
Anurag Kashyap
Larry Bishop
Patricia Finn
Paul Andrew Williams
Brad Smith
Christopher Trumbo
J.P. Schaefer
Henry Bean
Camilla Leslie
Peter Barsocchini
Ken Tipton
Shibani Bathija
Werner Herzog
Daniel Barnz
Alek Keshishian
Mike Leigh
Anna Biller
Deborah Kampmeier
Gina Kim
Cathy Rabin
Mark Verheiden
Dennis Bartok
David Volach
Lance Hammer
Cédric Klapisch
Joe Tyler Gold
Heidi Thomas
W. William Winokur
Glenn Gers
Danny Strong
Darren Lynn Bousman
Jerzy Skolimowski
Peter Woodward
Toby Finlay
Jason Filardi
Steve Berra
Shana Feste
Lara Shapiro
Wallace King
Mia Goldman
Brian Helgeland
Kurt Kuenne
Joe Ballarini
David Ray
Karen Bloch Morse
Tom Shankland
Pamela Pettler
David Ondaatje
John Collee
Graham Greene
Russell Schaumberg
Sandra Nettelbeck
Dario Argento
Adam Bhala Lough
Brian Helgeland
Blayne Weaver
Alexis Dos Santos
Max Mayer
Nancy Meyers
Mark Monroe
Corneliu Porumboiu
Gary Tarn
Adam Elliot
Sandeep Shrivastava
Alan Hruska
Melissa Rosenberg
Brant Sersen
Mike Judge
Kirk Jones
Massy Tadjedin
Todd Solondz
Paul Monash
Tennyson Bardwell
Robert Shallcross
Philippe Falardeau
Mary Haverstick
Christopher Smith (VIII)
Emily Kagan
Nicholas Stoller
John Lee Hancock
Charles Martin Smith
Charles Leavitt
Eric Schmid
Tatiana Blackington
Robert D. Siegel
Marc Lawrence (II)
Bobcat Goldthwait
Boaz Yakin
Aron Gaudet
Guy Hibbert
David Benioff
Michael McGowan
Trent Haaga
Daniel O'Connor
Robert Stone
Cherien Dabis
Glenn McQuaid
Charlie Peters
Timothy J. Sexton
Gerald McMorrow
Jamin Winans
Stew
Ondi Timoner
James DeMonaco
Ron Mann
Christopher Fuller
Paul Gross
Pearse Elliott
Anne Aghion
Rashid Masharawi
Sarah Thorp
Vince Campanella
Linda Woolverton
Brian Fillis
Gerard Johnson
Lotfy Nathan
John Ridley
Victor Zarcoff
Géla Babluani
Roselyne Bosch
Victor Zarcoff
John Paxton
Yan England
John Herzfeld
Yuval Hadadi
Matt Kapp
Richard Wenk
Richard Jobson
Peter Stone
Zak Hilditch
Tommy Oliver
Billy Gullo
Minhal Baig
David Marmor
Peter Hyams
Chen Daming
Dinesh D'Souza
Brian Ackley
Ramón Salazar
Morgan Neville
Leena Pendharkar
Mike Mills
York Alec Shackleton
Juan Cabral
Michael Bacall
Paul Greengrass
Joe Swanberg
Frank Cottrell Boyce
Michael Ferris Gibson
Wes Craven
David Benioff
Susannah Grant
Matt Ross
Tino Lucente
Sébastien Betbeder
Geert Heetebrij
Julie Delpy
John Herzfeld
Blake Masters
Rachel Hirons
Eric Mendelsohn
Alexis Lloyd
Seana Kofoed
Vanessa Middleton
Rob Zombie
Randall Cole
Tom Tykwer
Jordan Roberts
Takeshi Kitano
Rob Zombie
Scott Fivelson
Kim Ki-duk
Adam Chanzit
Mark Saltzman
Robert Altman
Matt Osterman
Dylan Reynolds
Brian Helgeland
Noel Clarke
Abel Ferrara
Andrew Haigh
Vladimir Sorokin
Jérôme Reybaud
Cristian Mungiu
Will Reiser
George Wing
Matthew Cormack
Mark Christopher
Mark Bruce Rosin
Guy Davidi
David M. Solomons
Charlie Peters
Victor Levin
Hank Steinberg
Trent Haaga
Marja-Lewis Ryan
Madison Turner
Blayne Weaver
Michael Cooney
Nadeem Soumah
Hannah Fidell
Pen-Ek Ratanaruang
Gregory Burke
Alexandre O. Philippe
Juan Carlos Maneglia
Bob Byington
Gregory Burke
Reed Cowan
Hugh Whitemore
Tom Schulman
Scott Silver
Andrew Kevin Walker
Michael Polish
Stanley Jacobs
Tomer Almagor
Bruce Robinson
Kim Jee-woon
Mark Doherty
Jackie Chan
Michael J. Weithorn
Daniel Stamm
Jennifer Arnold
Stu Krieger
Deirdre Timmons
Jon Lucas
Jonathan Sobol
David Kajganich
Roger Towne
Colin Goldman
Cameron Nugent
Patrick Wang
Patrick Wang
James Graham
Brent Hodge
Seth Zvi Rosenfeld
Nate Atkins
Jonas Carpignano
Jan Ole Gerster
Nikolaj Arcel
Jean-Pierre Melville
Andrew Zilch
Justin Haythe
Christopher Hampton
Liam Gavin
Damian Lee
Heitor Dhalia
Crispian Mills
Anusavan Salamanian
Dean Craig
Mark Kitchell
Paul Laverty
David Lowery
Ana Lily Amirpour
Roman Coppola
Skip Woods
Ronan Blaney
Dito Montiel
Kim Seong-hun
Marlon Wayans
Tom Tykwer
Simon Barrett
Parvez Sharma
Daniel Pearle
Susan Boyd
Hiroyuki Okiura
Graham Chapman
Gren Wells
Jack Thorne
Virginia Gilbert
Hannes Holm
Robert Bresson
Ned Farr
Wallace Shawn
Michael Brown
Patrick Ness
Matthew Saville
J.C. Chandor
Andrea Marcellus
William D. Wittliff
David Chaskin
Allie Dvorin
Guy Green
Kevin Ward
David Twohy
Les Blank
Alan Bennett
Arash Amel
Ty Manns
Terence Davies
Ruth Prawer Jhabvala
John Stuart Newman
Mahamat-Saleh Haroun
Asghar Farhadi
Richard Starzak
Michael Maren
Matthew F. Jones
Denis Côté
Toni Kalem
Bille August
Natalie Portman
Kim Jee-woon
Hannah Fidell
Yiyun Li
Zhangke Jia
T.G. Herrington
Domonic Paris
Guy Hibbert
Del Shores
Sarah Daggar-Nickson
Michael Arkof
Scott Frank
Martin Dugard
Ben Moses
Hlynur Pálmason
Fernando Coimbra
Brian Shoaf
Stephen Gaghan
Christopher Monfette
Shawn Christensen
Howard Weiner
Hans Petter Moland
Gerard Stembridge
Jesse Zwick
Asghar Farhadi
Leslye Headland
Laurie Weltz
Richard Curtis
Claudia Myers
Seth Grahame-Smith
Kurt Luedtke
Mike Flanagan
Bill Walsh
William Goldman
Katharina Otto-Bernstein
Jennifer Saunders
Catherine Breillat
Michael Merino
Brian Carbee
Michael Gilvary
Kevin Kaufman
Steve Oedekerk
Luther Davis
Kurt Johnstad
Vipul Amrutlal Shah
Matt Venne
Nicolas Aaron Mezzanatto
Rosemary Rodriguez
Ariel Schrag
Noah Stollman
Anders Thomas Jensen
Paul Rudnick
David Giancola
Robert Gordon
Jean-Luc Godard
Karen Croner
Logan Marshall-Green
Atom Egoyan
Christopher Hampton
Nat Moss
Andrew Cochran
Greg Mottola
Tiffany Paulsen
Jamie Nash
Stephen Sommers
Neil Cuthbert
Ari Gold
Stephan Elliott
Kenneth Lonergan
Tod Williams
Wendell Mayes
John Sweet
Paul Schrader
Antonio Macia
Earl W. Baldwin
Sabrina Gennarino
Daniel Schechter
Eric Schaeffer
Michel Franco
Jeremy Gardner
John Huddles
Hirokazu Koreeda
Aleem Hossain
Joel Silverman
Alan Rudolph
Wladyslaw Pasikowski
Christian McDonald
Javier Gullón
Jill Soloway
Nancy Buirski
Antonio Campos
Wu Si
Eric J. Hughes
Cheryl Edwards
Peter Yeldham
Simon Cluett
John Pielmeier
Alejandro Amenábar
Werner Herzog
David Lowery
Aaron Mendelsohn
Dudley Nichols
Andrew W. Marlowe
Ping Chen
Ken Finkleman
George Seaton
Josh Gilbert
Doug Atchison
Brian O'Donnell
Pedro González-Rubio
Tamzin Rafn
Christian Forte
Anthony Horowitz
Craig Johnson
Joe Swanberg
Rolf de Heer
Ali Wong
Nick Willing
Robert Getchell
Linda Woolverton
Andrew Neel
Dan O'Bannon
Will Davies
Robert Lewis
Rockne S. O'Bannon
Joss Whedon
Paul W.S. Anderson
Michael Rossato-Bennett
Douglas Tirola
Shunji Iwai
Pedro Almodóvar
Kim Barker
Joe Robert Cole
William Inge
Sarah Kernochan
Charles Kephart
Susan Walter
Melissa James Gibson
J.C. Chandor
Ben Elton
Eva Trobisch
Seth W. Owen
Dan Bucatinsky
J.C. Khoury
Doug Delaney
Steve Armour
Timothy Brady
Paul Gerstenberger
Kyle Wilamowski
Matthew Hope
Steven Zaillian
Eski Thomas
David Scarpa
William Goldman
Ted Tally
David Schneider
Michael Kane
Robert Schenkkan
Melissa B. Miller-Costanzo
George Isaac
Casey Robinson
Maren Ade
Steven Knight
Chantal Akerman
David E. Talbert
Cameron Crowe
Jake Goldberger
Joe Begos
Mike Doyle
Bertha Bay-Sa Pan
Claudia Llosa
Cameron Crowe
Mattias Olsson
Eric Nicholas
John Hamburg
Daniele Sebastian Wiedenhaupt
Nick Cassavetes
Tom Malloy (II)
Jean-Luc Godard
Jamie Adams
Michael Z. Wechsler
Lawrence Michael Levine
Rita Merson
Peter Shaffer
Brandon Dickerson
Ryan Koo
Dr. Jack Lewis
Elia Kazan
Darryl Roberts
Erik Lindsay
Matt D'Elia
Bart Layton
Cory McAbee
Alan Ball
David Mamet
Brendon Marotta
Paul Weitz
Carmine Cangialosi
Anne Hamilton
Steve Tesich
David Heinz
Wim Wenders
Paul Schrader
Wilson Coneybeare
Steven Blush
Peter Silverman
Raul Inglis
David McKenna
Andrea Arnold
Gary Spinelli
Graham Meriwether
Roderick Taylor
John Romano
Adam Herz
Brad Riddell
Aaron Sorkin
Éva Gárdos
Jason Hall
Christopher Demos-Brown
Michael Leoni
Nanette Burstein
Max Landis
Bill Haney
Adam Herz
John Landis
Paddy Chayefsky
Mathieu Demy
Sean Mullin
David H. Franzoni
Christopher DeFaria
Tommy Lee Wallace
Franck Khalfoun
Simon Beaufoy
Guillermo Arriaga Jordan
E. Max Frye
Jessica Hausner
Romola Garai
Asif Kapadia
Amy Schumer
Joe Chappelle
Joe Eszterhas
Nick Hornby
Julia Haslett
Brad Silberling
Terence Nance
Michael Almereyda
Stefan Ruzowitzky
Wendell Mayes
Stefan Ruzowitzky
Isobel Lennart
Michael Hamilton-Wright
Mark Andrus
Arnold Schulman
Caytha Jentis
Levan Akin
Kat Coiro
Nelson Gidding
Francesco Cinquemani
Tim Blake Nelson
Laura Jones
Luc Besson
Catherine Trieschmann
William Robert Carey
Louise Hogarth
Vivian Qu
Todd Graff
Sonny Mallhi
Jill Gordon
David Michôd
David Dastmalchian
Jon V. Peters
Luc Besson
Ryan McHenry
Gary Dauberman
Dave Collard
Jon Blair
Alex Garland
Charlie Kaufman
Andrew Niccol
John Orloff
Julian Mitchell
Todd Stephens
Sam Levinson
Lowell Dean
Woody Allen
Mike Leigh
Ziggy Steinberg
John Hindman
John A. Davis
Anthony Powell
Luc Jacquet
Anders Ølholm
Anthony Jeselnik
Keir Burrows
Danny Perez
Howard Franklin
Brandon Cronenberg
Mary Bing
Marleen Gorris
Maurice Dekkers
Antwone Quenton Fisher
Rustam Branaman
Richard Brooks
Woody Allen
Alvin Sargent
Hal Craig
James R. Webb
Brian Miller
Robert Duvall
Gareth Evans
Eli Batalion
Don Tait
Onur Tukel
Mark Elijah Rosenberg
Desiree Akhavan
Trish  Doolan
Brandon Boyce
Renaud Gauthier
Nicholas Jarecki
Olivia Silver
Joanna Hogg
Matt Tauber
Gavin Rothery
Matthew Weiner
Chris Terrio
Luke Del Tredici
Ehren Kruger
Matt Savelloni
James V. Simpson
Jean-Pierre Melville
Sarah Spillane
Jonathan Kiefer
Deborah Anderson
Tony Elliott
Eric Heisserer
Jason Mosberg
Jesse Rosen
Daniel Clowes
Peter Baynham
Becky Johnston
Ron Cutler
Tom Botchii Skowronski
Virginia Spragg
Juanita Wilson (II)
Jean-Claude Tramont
Tony McNamara
Jay Zaretsky
Ben York Jones
Kar-Wai Wong
Robert Towne
Patrick Hasburgh
Brian Comfort
Michael Relph
Sam Levinson
Andrew Dominik
Robert Duvall
James DeMonaco
Uwe Boll
Kris Koenig
Elliot Greenebaum
Shelagh McLeod
Rand Ravich
Nicholas Kazan
Jason Stone
Nicholas McCarthy
Milton Subotsky
Paul Apak Angilirq
John Guare
Chris Sparling
Kurt Johnstad
Fernando Luna
Joe Cornish
Athina Rachel Tsangari
Russell DeGrazier
Daisuke Tengan
Frank De Felitta
Tracy Letts
Cristi Puiu
Mike Myers
Luke Walker
Jeff Feuerzeig
David Congalton
Allison Burnett
Angad Aulakh
Ingmar Bergman
Jirí Hubac
Jordan Galland
James Cameron
Michael S. Ojeda
John Logan
Shane Salerno
Gavin Williams
Joby Harold
Elana Zeltser
Sarah Polley
Viña Delmar
Charles Wood
Oliver Daly
Helene Hegemann
Michael Paxton
Pan Nalin
Aziz Ansari
Aziz Ansari
Aziz Ansari
Gabriel Axel
John Singleton
Tennessee Williams
Edgar Wright
Horton Foote
Dalene Young
Sam Friedlander
Rita Kalnejais
Leslye Headland
Michael Rosenbaum
Liu Zhenyun
Adam MacDonald
Mike Maples
Michael Petroni
Sarah Megan Thomas
Charles Schnee
Tim Reis
Rolf de Heer
Richard Dilello
Pedro Almodóvar
David Koepp
Jeff Tetreault
Eric Red
Bill Lancaster
Paul Brickman
Joel Marcus
Brandon Boyce
Nancy Doyne
Drew Goddard
Dutch Southern
Andrew Dodge
Terrence Malick
Michelle Curry Wright
David E. Talbert
Diao Yinan
Álex de la Iglesia
Rebecca Miller
Maggie Greenwald
Aiyanna Elliott
Robert Bresson
Zoe Lister-Jones
Joe Ahearne
Harley Peyton
James Lee Barrett
Steven Silver
Bob Dolman
Jason Richman
Troy Beyer
Majid Majidi
Christian Petzold
Denys Arcand
William D. Wittliff
Stephen Zotnowski
Joseph L. Mankiewicz
Joseph L. McEveety
Neil Simon
Charles Bukowski
Heather Morgan
Sterlin Harjo
Stephen White
Steve Oedekerk
Adam Mansbach
Stanley Kubrick
Chris D'Arienzo
Brian Hecker
James Vanderbilt
Joe Eszterhas
Radha Bharadwaj
Frank Henenlotter
James Krieg
Heath Corson
J.M. DeMatteis
Paul Dini
Bob Goodman
Judd Winick
Marly Halpern-Graser
Tab Murphy
John Logan
Stuart Townsend
Erica Beeney
Simon Beaufoy
Kenta Fukasaku
Corey Mandell
Tim Watson
Gerald Nott
Peter Steinfeld
Michel Gondry
Adrian Tofei
Joan Simon
Lou Rusoff
Eliza Hittman
Mary Agnes Donoghue
Adam Hoelzel
Tom Holland
Daniel Barnz
Paul Pepperman
Alun Owen
Miles Feldsott
Robert Carson
Todd Graff
James Rasin
Richard LaGravenese
Scott Rosenberg
Akiva Goldsman
Jasmin Dizdar
Joseph Graham
Jonathan Harvey
Steve Kroschel
Reginald Hudlin
Joan Singleton
Jack Sanderson
Peter Cook
James Poe
Curtis Hanson
Robert Farrar
Naomi Foner
Che Walker
Anat Baron
Andrew Bujalski
Len Blum
Jeff Schechter
Jessica Oreck
Shawn Christensen
Maria Maggenti
Rowan Joffe
Kelly Masterson
Mark Monroe
John Carney
Mike Mills
James Dodson
Leslie Zemeckis
Richard LaGravenese
J.P. Miller
Miao Wang
Paul Weitz
Glen Lakin
Bill Forsyth
Charlie Kaufman
Ronald Harwood
Tony Gilroy
Rachel Bennette
Robert Collector
Billy Dickson
Jerry Lewis
Misan Sagay
Richard Cray
Evan Glodell
Hype Williams
Dominik Graf
Gilbert A. Ralston
Keith R. Clarke
Peter Hedges
David Roach
Bruce Wilkinson
Karl Tunberg
Simon Amstell
Joe Camp
Brandon Camp
Joe Camp
Joe Camp
Michael Haneke
Peter Strickland
Stevan Mena
Jules Feiffer
Carl Reiner
Ted Griffin
Chris Green
Larry Cohen
Michael Stephenson
Robert E. Sherwood
Denis Côté
Alan Alda
Li Cheng Yuan
Peggy Thompson
Doug Miller
Casper Andreas
Edoardo Ponti
Fred Barron
Rafael Palacio Illingworth
Jay Bulger
Bryan Goluboff
Douglas Morrow
Caspian Tredwell-Owen
Charlie Lyne
Takeshi Kitano
Maria Jose Gómez
Liam O'Donnell
Panos Cosmatos
Leanne Pooley
Cristian Mungiu
Gina Prince-Bythewood
Barry W. Blaustein
Nelson Gidding
Stephen Susco
Prasoon Joshi
