player_name,team_name,player_height,country,draft_year,draft_round,season,country_continent,born_in_america,height_lt_200,first_round_drafted
Grant Williams,Boston Celtics,198.12,USA,2019,1,2021-22,America,True,True,True
Donovan Mitchell,Utah Jazz,185.42,USA,2017,1,2021-22,America,True,True,True
Enes Freedom,Boston Celtics,208.28,Turkey,2011,1,2021-22,Asia/Europe,False,False,True
Emmanuel Mudiay,Sacramento Kings,190.5,Democratic Republic of the Congo,2015,1,2021-22,Africa,False,True,True
Elijah Hughes,Portland Trail Blazers,195.58,USA,2020,2,2021-22,America,True,True,False
Elfrid Payton,Phoenix Suns,190.5,USA,2014,1,2021-22,America,True,True,True
Ed Davis,Cleveland Cavaliers,205.74,USA,2010,1,2021-22,America,True,False,True
Donte DiVincenzo,Sacramento Kings,193.04,USA,2018,1,2021-22,America,True,True,True
Dylan Windler,Cleveland Cavaliers,198.12,USA,2019,1,2021-22,America,True,True,True
Dwight Howard,Los Angeles Lakers,208.28,USA,2004,1,2021-22,America,True,False,True
Draymond Green,Golden State Warriors,198.12,USA,2012,2,2021-22,America,True,True,False
Doug McDermott,San Antonio Spurs,200.66,USA,2014,1,2021-22,America,True,False,True
Dwight Powell,Dallas Mavericks,208.28,Canada,2014,2,2021-22,America,True,False,False
Derrick Favors,Oklahoma City Thunder,205.74,USA,2010,1,2021-22,America,True,False,True
Grayson Allen,Milwaukee Bucks,193.04,USA,2018,1,2021-22,America,True,True,True
Greg Monroe,Minnesota Timberwolves,208.28,USA,2010,1,2021-22,America,True,False,True
Jalen Green,Houston Rockets,193.04,USA,2021,1,2021-22,America,True,True,True
Jalen Johnson,Atlanta Hawks,203.2,USA,2021,1,2021-22,America,True,False,True
Jalen McDaniels,Charlotte Hornets,205.74,USA,2019,2,2021-22,America,True,False,False
Jalen Smith,Indiana Pacers,208.28,USA,2020,1,2021-22,America,True,False,True
Jalen Suggs,Orlando Magic,195.58,USA,2021,1,2021-22,America,True,True,True
James Bouknight,Charlotte Hornets,193.04,USA,2021,1,2021-22,America,True,True,True
James Ennis III,Denver Nuggets,198.12,USA,2013,2,2021-22,America,True,True,False
James Harden,Philadelphia 76ers,195.58,USA,2009,1,2021-22,America,True,True,True
James Johnson,Brooklyn Nets,200.66,USA,2009,1,2021-22,America,True,False,True
Jared Butler,Utah Jazz,190.5,USA,2021,2,2021-22,America,True,True,False
Jaren Jackson Jr.,Memphis Grizzlies,210.82,USA,2018,1,2021-22,America,True,False,True
Jarred Vanderbilt,Minnesota Timberwolves,205.74,USA,2018,2,2021-22,America,True,False,False
Jarrett Allen,Cleveland Cavaliers,208.28,USA,2017,1,2021-22,America,True,False,True
Jarrett Culver,Memphis Grizzlies,198.12,USA,2019,1,2021-22,America,True,True,True
Jeff Green,Denver Nuggets,203.2,USA,2007,1,2021-22,America,True,False,True
Jayson Tatum,Boston Celtics,203.2,USA,2017,1,2021-22,America,True,False,True
Jaylen Nowell,Minnesota Timberwolves,193.04,USA,2019,2,2021-22,America,True,True,False
Jalen Brunson,Dallas Mavericks,185.42,USA,2018,2,2021-22,America,True,True,False
Jay Scrubb,Los Angeles Clippers,195.58,USA,2020,2,2021-22,America,True,True,False
Jaxson Hayes,New Orleans Pelicans,210.82,USA,2019,1,2021-22,America,True,False,True
Jaylen Brown,Boston Celtics,198.12,USA,2016,1,2021-22,America,True,True,True
Jakob Poeltl,San Antonio Spurs,215.9,Austria,2016,1,2021-22,Europe,False,False,True
Jake Layman,Minnesota Timberwolves,203.2,USA,2016,2,2021-22,America,True,False,False
Isaiah Livers,Detroit Pistons,198.12,USA,2021,2,2021-22,America,True,True,False
Isaiah Joe,Philadelphia 76ers,193.04,USA,2020,2,2021-22,America,True,True,False
Isaiah Jackson,Indiana Pacers,208.28,USA,2021,1,2021-22,America,True,False,True
Isaiah Hartenstein,Los Angeles Clippers,213.36,Germany,2017,2,2021-22,Europe,False,False,False
Isaac Okoro,Cleveland Cavaliers,195.58,USA,2020,1,2021-22,America,True,True,True
