player_name,team_name,player_height,country,draft_year,draft_round,college,age,season
Felton Spencer,Golden State Warriors,213.36,USA,1990,1,Louisville,29.0,1996-97
Frank Brickowski,Boston Celtics,205.74,USA,1981,3,Penn State,37.0,1996-97
Frankie King,Philadelphia 76ers,185.42,USA,1995,2,Western Carolina,25.0,1996-97
Fred Hoiberg,Indiana Pacers,193.04,USA,1995,2,Iowa State,24.0,1996-97
Henry James,Atlanta Hawks,203.2,USA,Undrafted,Undrafted,St. Mary's (TX),31.0,1996-97
Elden Campbell,Los Angeles Lakers,213.36,USA,1990,1,Clemson,28.0,1996-97
Herb Williams,New York Knicks,210.82,USA,1981,1,Ohio State,39.0,1996-97
Horace Grant,Orlando Magic,208.28,USA,1987,1,Clemson,31.0,1996-97
Jerome Williams,Detroit Pistons,205.74,USA,1996,1,Georgetown,24.0,1996-97
Jerry Stackhouse,Philadelphia 76ers,198.12,USA,1995,1,North Carolina,22.0,1996-97
Jim Jackson,New Jersey Nets,198.12,USA,1992,1,Ohio State,26.0,1996-97
Jim McIlvaine,Seattle SuperSonics,215.9,USA,1994,2,Marquette,24.0,1996-97
Jimmy Carruth,Milwaukee Bucks,208.28,USA,Undrafted,Undrafted,Virginia Tech,27.0,1996-97
Jimmy King,Denver Nuggets,195.58,USA,1995,2,Michigan,23.0,1996-97
Jimmy Oliver,Toronto Raptors,195.58,USA,1991,2,Purdue,27.0,1996-97
Joe Courtney,San Antonio Spurs,203.2,USA,Undrafted,Undrafted,Southern Mississippi,27.0,1996-97
Joe Dumars,Detroit Pistons,190.5,USA,1985,1,McNeese State,34.0,1996-97
Jerome Kersey,Los Angeles Lakers,200.66,USA,1984,2,Longwood,35.0,1996-97
Joe Kleine,New Jersey Nets,213.36,USA,1985,1,Arkansas,35.0,1996-97
Joe Stephens,Houston Rockets,200.66,USA,Undrafted,Undrafted,Arkansas-Little Rock,24.0,1996-97
Joe Wolf,Milwaukee Bucks,210.82,USA,1987,1,North Carolina,32.0,1996-97
John Crotty,Miami Heat,187.96,USA,Undrafted,Undrafted,Virginia,27.0,1996-97
John Long,Toronto Raptors,195.58,USA,1978,2,Detroit Mercy,40.0,1996-97
John Starks,New York Knicks,195.58,USA,Undrafted,Undrafted,Oklahoma State,31.0,1996-97
John Stockton,Utah Jazz,185.42,USA,1984,1,Gonzaga,35.0,1996-97
John Wallace,New York Knicks,205.74,USA,1996,1,Syracuse,23.0,1996-97
Johnny Newman,Milwaukee Bucks,200.66,USA,1986,2,Richmond,33.0,1996-97
Jon Barry,Atlanta Hawks,195.58,USA,1992,1,Georgia Tech,27.0,1996-97
Joe Smith,Golden State Warriors,208.28,USA,1995,1,Maryland,21.0,1996-97
Jerome Allen,Denver Nuggets,193.04,USA,1995,2,Pennsylvania,24.0,1996-97
Jermaine O'Neal,Portland Trail Blazers,210.82,USA,1996,1,,18.0,1996-97
Jeff McInnis,Denver Nuggets,193.04,USA,1996,2,North Carolina,22.0,1996-97
Horacio Llamas,Phoenix Suns,210.82,USA,Undrafted,Undrafted,Grand Canyon,23.0,1996-97
Hot Rod Williams,Phoenix Suns,210.82,USA,1985,2,Tulane,34.0,1996-97
Howard Eisley,Utah Jazz,187.96,USA,1994,2,Boston College,24.0,1996-97
Hubert Davis,Toronto Raptors,195.58,USA,1992,1,North Carolina,27.0,1996-97
Ike Austin,Miami Heat,208.28,USA,1991,2,Arizona State,27.0,1996-97
Isaiah Rider,Portland Trail Blazers,195.58,USA,1993,1,Nevada-Las Vegas,26.0,1996-97
Ivano Newbill,Atlanta Hawks,208.28,USA,1994,Undrafted,Georgia Tech,26.0,1996-97
Jack Haley,New Jersey Nets,208.28,USA,1987,4,UCLA,33.0,1996-97
Jalen Rose,Indiana Pacers,203.2,USA,1994,1,Michigan,24.0,1996-97
Jamal Mashburn,Miami Heat,203.2,USA,1993,1,Kentucky,24.0,1996-97
James Robinson,Minnesota Timberwolves,187.96,USA,1993,1,Alabama,26.0,1996-97
James Scott,Miami Heat,198.12,USA,Undrafted,Undrafted,St. John's (NY),25.0,1996-97
Jamie Feick,San Antonio Spurs,203.2,USA,1996,2,Michigan State,22.0,1996-97
Jamie Watson,Dallas Mavericks,200.66,USA,1994,2,South Carolina,25.0,1996-97
Jaren Jackson,Washington Wizards,198.12,USA,Undrafted,Undrafted,Georgetown,29.0,1996-97
Jason Caffey,Chicago Bulls,203.2,USA,1995,1,Alabama,24.0,1996-97
Jason Kidd,Phoenix Suns,193.04,USA,1994,1,California,24.0,1996-97
Jason Sasser,Dallas Mavericks,200.66,USA,1996,2,Texas Tech,23.0,1996-97
Jayson Williams,New Jersey Nets,205.74,USA,1990,1,St. John's (NY),29.0,1996-97
Jeff Grayer,Sacramento Kings,195.58,USA,1988,1,Iowa State,31.0,1996-97
Jeff Hornacek,Utah Jazz,193.04,USA,1986,2,Iowa State,34.0,1996-97
Hersey Hawkins,Seattle SuperSonics,190.5,USA,1988,1,Bradley,30.0,1996-97
Eddie Jones,Los Angeles Lakers,198.12,USA,1994,1,Temple,25.0,1996-97
Eddie Johnson,Houston Rockets,200.66,USA,1981,2,Illinois,38.0,1996-97
Ed Pinckney,Miami Heat,205.74,USA,1985,1,Villanova,34.0,1996-97
Chris Jent,New York Knicks,200.66,USA,Undrafted,Undrafted,Ohio State,27.0,1996-97
Chris Mills,Cleveland Cavaliers,200.66,USA,1993,1,Arizona,27.0,1996-97
Chris Morris,Utah Jazz,203.2,USA,1988,1,Auburn,31.0,1996-97
Chris Mullin,Golden State Warriors,200.66,USA,1985,1,St. John's (NY),33.0,1996-97
Chris Robinson,Vancouver Grizzlies,195.58,USA,1996,2,Western Kentucky,23.0,1996-97
Chris Webber,Washington Wizards,208.28,USA,1993,1,Michigan,24.0,1996-97
Chris Whitney,Washington Wizards,182.88,USA,1993,2,Clemson,25.0,1996-97
Christian Laettner,Atlanta Hawks,210.82,USA,1992,1,Duke,27.0,1996-97
Chucky Brown,Milwaukee Bucks,203.2,USA,1989,2,North Carolina State,29.0,1996-97
Chris Gatling,New Jersey Nets,208.28,USA,1991,1,Old Dominion,29.0,1996-97
Clar. Weatherspoon,Philadelphia 76ers,200.66,USA,1992,1,Southern Mississippi,26.0,1996-97
Clifford Rozier,Toronto Raptors,210.82,USA,1994,1,Louisville,24.0,1996-97
Clyde Drexler,Houston Rockets,200.66,USA,1983,1,Houston,35.0,1996-97
Corie Blount,Los Angeles Lakers,208.28,USA,1993,1,Cincinnati,28.0,1996-97
Corliss Williamson,Sacramento Kings,200.66,USA,1995,1,Arkansas,23.0,1996-97
Cory Alexander,San Antonio Spurs,185.42,USA,1995,1,Virginia,24.0,1996-97
Craig Ehlo,Seattle SuperSonics,198.12,USA,1983,3,Washington State,35.0,1996-97
Cuonzo Martin,Milwaukee Bucks,195.58,USA,1995,2,Purdue,25.0,1996-97
Dale Davis,Indiana Pacers,210.82,USA,1991,1,Clemson,28.0,1996-97
Dale Ellis,Denver Nuggets,200.66,USA,1983,1,Tennessee,36.0,1996-97
Clifford Robinson,Portland Trail Blazers,208.28,USA,1989,2,Connecticut,30.0,1996-97
Chris Dudley,Portland Trail Blazers,210.82,USA,1987,4,Yale,32.0,1996-97
Chris Childs,New York Knicks,190.5,USA,Undrafted,Undrafted,Boise State,29.0,1996-97
Chris Carr,Minnesota Timberwolves,198.12,USA,1995,2,Southern Illinois,23.0,1996-97
Brian Evans,Orlando Magic,203.2,USA,1996,1,Indiana,23.0,1996-97
Brian Grant,Sacramento Kings,205.74,USA,1994,1,Xavier,25.0,1996-97
Brian Shaw,Orlando Magic,198.12,USA,1988,1,California-Santa Barbara,31.0,1996-97
Brooks Thompson,Denver Nuggets,193.04,USA,1994,1,Oklahoma State,26.0,1996-97
Bruce Bowen,Miami Heat,200.66,USA,Undrafted,Undrafted,Cal State-Fullerton,26.0,1996-97
Bryant Reeves,Vancouver Grizzlies,213.36,USA,1995,1,Oklahoma State,24.0,1996-97
Bryant Stith,Denver Nuggets,195.58,USA,1992,1,Virginia,26.0,1996-97
Bryon Russell,Utah Jazz,200.66,USA,1993,2,Long Beach State,26.0,1996-97
Buck Williams,New York Knicks,203.2,USA,1981,1,Maryland,37.0,1996-97
Byron Scott,Los Angeles Lakers,193.04,USA,1983,1,Arizona State,36.0,1996-97
Calbert Cheaney,Washington Wizards,200.66,USA,1993,1,Indiana,25.0,1996-97
Carl Herrera,San Antonio Spurs,205.74,USA,1990,2,Houston,30.0,1996-97
Carl Thomas,Cleveland Cavaliers,193.04,USA,Undrafted,Undrafted,Eastern Michigan,27.0,1996-97
Carlos Rogers,Toronto Raptors,210.82,USA,1994,1,Tennessee State,26.0,1996-97
Cedric Ceballos,Phoenix Suns,200.66,USA,1990,2,Cal State-Fullerton,27.0,1996-97
Charles Barkley,Houston Rockets,198.12,USA,1984,1,Auburn,34.0,1996-97
Charles Jones,Houston Rockets,205.74,USA,1979,8,Albany State (GA),40.0,1996-97
Charles Oakley,New York Knicks,205.74,USA,1985,1,Virginia Union,33.0,1996-97
Charles Smith,San Antonio Spurs,208.28,USA,1988,1,Pittsburgh,31.0,1996-97
Charlie Ward,New York Knicks,187.96,USA,1994,1,Florida State,26.0,1996-97
Cherokee Parks,Minnesota Timberwolves,210.82,USA,1995,1,Duke,24.0,1996-97
Damon Stoudamire,Toronto Raptors,177.8,USA,1995,1,Arizona,23.0,1996-97
Dan Majerle,Miami Heat,198.12,USA,1988,1,Central Michigan,31.0,1996-97
Dan Schayes,Orlando Magic,210.82,USA,1981,1,Syracuse,38.0,1996-97
Dana Barros,Boston Celtics,180.34,USA,1989,1,Boston College,30.0,1996-97
Dexter Boney,Phoenix Suns,193.04,USA,Undrafted,Undrafted,Nevada-Las Vegas,27.0,1996-97
Dickey Simpkins,Chicago Bulls,205.74,USA,1994,1,Providence,25.0,1996-97
Dikembe Mutombo,Atlanta Hawks,218.44,Congo,1991,1,Georgetown,31.0,1996-97
Dino Radja,Boston Celtics,210.82,USA,1989,2,,30.0,1996-97
Dominique Wilkins,San Antonio Spurs,203.2,USA,1982,1,Georgia,37.0,1996-97
Don MacLean,Philadelphia 76ers,208.28,USA,1992,1,UCLA,27.0,1996-97
Don Reid,Detroit Pistons,203.2,USA,1995,2,Georgetown,23.0,1996-97
Donald Royal,Charlotte Hornets,203.2,USA,1987,3,Notre Dame,31.0,1996-97
Donald Whiteside,Toronto Raptors,177.8,USA,Undrafted,Undrafted,Northern Illinois,28.0,1996-97
Donnie Boyce,Atlanta Hawks,195.58,USA,1995,2,Colorado,23.0,1996-97
Donny Marshall,Cleveland Cavaliers,200.66,USA,1995,2,Connecticut,24.0,1996-97
Dontonio Wingfield,Portland Trail Blazers,203.2,USA,1994,2,Cincinnati,23.0,1996-97
Donyell Marshall,Golden State Warriors,205.74,USA,1994,1,Connecticut,24.0,1996-97
Doug Christie,Toronto Raptors,198.12,USA,1992,1,Pepperdine,27.0,1996-97
Doug Overton,Philadelphia 76ers,190.5,USA,1991,2,La Salle,27.0,1996-97
Doug West,Minnesota Timberwolves,198.12,USA,1989,2,Villanova,30.0,1996-97
Duane Causwell,Sacramento Kings,213.36,USA,1990,1,Temple,29.0,1996-97
Duane Ferrell,Indiana Pacers,200.66,USA,Undrafted,Undrafted,Georgia Tech,32.0,1996-97
Dwayne Schintzius,Los Angeles Clippers,215.9,USA,1990,1,Florida,28.0,1996-97
Earl Cureton,Toronto Raptors,205.74,USA,1979,3,Detroit Mercy,39.0,1996-97
Ed O'Bannon,Dallas Mavericks,203.2,USA,1995,1,UCLA,24.0,1996-97
Devin Gray,San Antonio Spurs,200.66,USA,1995,Undrafted,Clemson,25.0,1996-97
Jud Buechler,Chicago Bulls,198.12,USA,1990,2,Arizona,29.0,1996-97
Detlef Schrempf,Seattle SuperSonics,208.28,USA,1985,1,Washington,34.0,1996-97
Derrick Coleman,Philadelphia 76ers,208.28,USA,1990,1,Syracuse,30.0,1996-97
Danny Ferry,Cleveland Cavaliers,208.28,USA,1989,1,Duke,30.0,1996-97
Danny Manning,Phoenix Suns,208.28,USA,1988,1,Kansas,31.0,1996-97
Darrell Armstrong,Orlando Magic,185.42,USA,Undrafted,Undrafted,Fayetteville State,29.0,1996-97
Darrick Martin,Los Angeles Clippers,180.34,USA,Undrafted,Undrafted,UCLA,26.0,1996-97
Darrin Hancock,Atlanta Hawks,200.66,USA,1994,2,Kansas,25.0,1996-97
Darvin Ham,Indiana Pacers,200.66,USA,Undrafted,Undrafted,Texas Tech,23.0,1996-97
David Robinson,San Antonio Spurs,215.9,USA,1987,1,Navy,31.0,1996-97
David Vaughn,Orlando Magic,205.74,USA,1995,1,Memphis,24.0,1996-97
David Wesley,Boston Celtics,185.42,USA,Undrafted,Undrafted,Baylor,26.0,1996-97
David Wingate,Seattle SuperSonics,195.58,USA,1986,2,Georgetown,33.0,1996-97
David Wood,Milwaukee Bucks,205.74,USA,Undrafted,Undrafted,Nevada-Reno,32.0,1996-97
Dean Garrett,Minnesota Timberwolves,210.82,USA,1988,2,Indiana,30.0,1996-97
Dee Brown,Boston Celtics,187.96,USA,1990,1,Jacksonville,28.0,1996-97
Dell Curry,Charlotte Hornets,195.58,USA,1986,1,Virginia Tech,33.0,1996-97
Dell Demps,Orlando Magic,190.5,USA,Undrafted,Undrafted,Pacific,27.0,1996-97
Dennis Rodman,Chicago Bulls,198.12,USA,1986,2,Southeastern Oklahoma State,36.0,1996-97
Dennis Scott,Orlando Magic,203.2,USA,1990,1,Georgia Tech,28.0,1996-97
Derek Fisher,Los Angeles Lakers,185.42,USA,1996,1,Arkansas-Little Rock,22.0,1996-97
Derek Harper,Dallas Mavericks,193.04,USA,1983,1,Illinois,35.0,1996-97
Derek Strong,Orlando Magic,205.74,USA,1990,2,Xavier,29.0,1996-97
Derrick Alston,Atlanta Hawks,210.82,USA,1994,2,Duquesne,24.0,1996-97
Derrick McKey,Indiana Pacers,205.74,USA,1987,1,Alabama,30.0,1996-97
Brett Szabo,Boston Celtics,210.82,USA,Undrafted,Undrafted,Augustana (SD),29.0,1996-97
Juwan Howard,Washington Wizards,205.74,USA,1994,1,Michigan,24.0,1996-97
Keith Askins,Miami Heat,203.2,USA,Undrafted,Undrafted,Alabama,29.0,1996-97
Scott Burrell,Golden State Warriors,200.66,USA,1993,1,Connecticut,26.0,1996-97
Scott Williams,Philadelphia 76ers,208.28,USA,Undrafted,Undrafted,North Carolina,29.0,1996-97
Scottie Pippen,Chicago Bulls,200.66,USA,1987,1,Central Arkansas,31.0,1996-97
Sean Elliott,San Antonio Spurs,203.2,USA,1989,1,Arizona,29.0,1996-97
Sean Rooks,Los Angeles Lakers,208.28,USA,1992,2,Arizona,27.0,1996-97
Sedale Threatt,Houston Rockets,187.96,USA,1983,6,West Virginia Tech,35.0,1996-97
Shandon Anderson,Utah Jazz,198.12,USA,1996,2,Georgia,23.0,1996-97
Shane Heal,Minnesota Timberwolves,182.88,USA,Undrafted,Undrafted,,26.0,1996-97
Shaquille O'Neal,Los Angeles Lakers,215.9,USA,1992,1,Louisiana State,25.0,1996-97
Scott Brooks,New York Knicks,180.34,USA,Undrafted,Undrafted,California-Irvine,31.0,1996-97
Shareef Abdur-Rahim,Vancouver Grizzlies,205.74,USA,1996,1,California,20.0,1996-97
Shawn Bradley,Dallas Mavericks,228.6,USA,1993,1,Brigham Young,25.0,1996-97
Shawn Kemp,Seattle SuperSonics,208.28,USA,1989,1,Trinity Valley Community College,27.0,1996-97
Shawn Respert,Toronto Raptors,187.96,USA,1995,1,Michigan State,25.0,1996-97
Shawnelle Scott,Cleveland Cavaliers,210.82,USA,1994,2,St. John's (NY),25.0,1996-97
Sherman Douglas,Milwaukee Bucks,185.42,USA,1989,2,Syracuse,30.0,1996-97
Stacey Augmon,Portland Trail Blazers,203.2,USA,1991,1,Nevada-Las Vegas,28.0,1996-97
Stacey King,Dallas Mavericks,210.82,USA,1989,1,Oklahoma,30.0,1996-97
Stanley Roberts,Los Angeles Clippers,213.36,USA,1991,1,Louisiana State,27.0,1996-97
Stephen Howard,Utah Jazz,205.74,USA,Undrafted,Undrafted,DePaul,26.0,1996-97
Sharone Wright,Toronto Raptors,210.82,USA,1994,1,Clemson,24.0,1996-97
Sasha Danilovic,Dallas Mavericks,198.12,USA,1992,2,,27.0,1996-97
Sarunas Marciulionis,Denver Nuggets,195.58,USA,1987,6,,33.0,1996-97
Samaki Walker,Dallas Mavericks,205.74,USA,1996,1,Louisville,21.0,1996-97
Rex Walters,Philadelphia 76ers,193.04,USA,1993,1,Kansas,27.0,1996-97
Richard Manning,Los Angeles Clippers,210.82,USA,1993,2,Washington,27.0,1996-97
Rick Fox,Boston Celtics,200.66,Canada,1991,1,North Carolina,27.0,1996-97
Rick Mahorn,Detroit Pistons,208.28,USA,1980,2,Hampton,38.0,1996-97
Ricky Pierce,Charlotte Hornets,193.04,USA,1982,1,Rice,37.0,1996-97
Rik Smits,Indiana Pacers,223.52,USA,1988,1,Marist,30.0,1996-97
Robert Horry,Los Angeles Lakers,208.28,USA,1992,1,Alabama,26.0,1996-97
Robert Pack,Dallas Mavericks,187.96,USA,Undrafted,Undrafted,Southern California,28.0,1996-97
Robert Parish,Chicago Bulls,215.9,USA,1976,1,Centenary (LA),43.0,1996-97
Robert Werdann,New Jersey Nets,210.82,USA,1992,2,St. John's (NY),26.0,1996-97
Rod Strickland,Washington Wizards,190.5,USA,1988,1,DePaul,30.0,1996-97
Rodney Rogers,Los Angeles Clippers,200.66,USA,1993,1,Wake Forest,26.0,1996-97
Ron Harper,Chicago Bulls,198.12,USA,1986,1,Miami (OH),33.0,1996-97
Rony Seikaly,Orlando Magic,210.82,USA,1988,1,Syracuse,32.0,1996-97
Roy Rogers,Vancouver Grizzlies,208.28,USA,1996,1,Alabama,23.0,1996-97
Ruben Nembhard,Portland Trail Blazers,190.5,USA,Undrafted,Undrafted,Weber State,25.0,1996-97
Rumeal Robinson,Portland Trail Blazers,187.96,USA,1990,1,Michigan,30.0,1996-97
Sam Cassell,New Jersey Nets,190.5,USA,1993,1,Florida State,27.0,1996-97
Sam Mack,Houston Rockets,200.66,USA,Undrafted,Undrafted,Houston,27.0,1996-97
Sam Mitchell,Minnesota Timberwolves,200.66,USA,1985,3,Mercer,33.0,1996-97
Sam Perkins,Seattle SuperSonics,205.74,USA,1984,1,North Carolina,36.0,1996-97
Stephon Marbury,Minnesota Timberwolves,187.96,USA,1996,1,Georgia Tech,20.0,1996-97
Rex Chapman,Phoenix Suns,193.04,USA,1988,1,Kentucky,29.0,1996-97
Steve Hamer,Boston Celtics,213.36,USA,1996,2,Tennessee,23.0,1996-97
Steve Nash,Phoenix Suns,190.5,Canada,1996,1,Santa Clara,23.0,1996-97
Willie Anderson,Miami Heat,203.2,USA,1988,1,Georgia,30.0,1996-97
Will Perdue,San Antonio Spurs,213.36,USA,1988,1,Vanderbilt,31.0,1996-97
Wesley Person,Phoenix Suns,198.12,USA,1994,1,Auburn,26.0,1996-97
Wayman Tisdale,Phoenix Suns,205.74,USA,1985,1,Oklahoma,33.0,1996-97
Walter McCarty,New York Knicks,208.28,USA,1996,1,Kentucky,23.0,1996-97
Walt Williams,Toronto Raptors,203.2,USA,1992,1,Maryland,27.0,1996-97
Voshon Lenard,Miami Heat,193.04,USA,1994,2,Minnesota,24.0,1996-97
Vlade Divac,Charlotte Hornets,215.9,Serbia and Montenegro,1989,1,,29.0,1996-97
Vitaly Potapenko,Cleveland Cavaliers,208.28,Ukraine,1996,1,Wright State,22.0,1996-97
Willie Burton,Atlanta Hawks,203.2,USA,1990,1,Minnesota,29.0,1996-97
Vinny Del Negro,San Antonio Spurs,193.04,USA,1988,2,North Carolina State,30.0,1996-97
Vin Baker,Milwaukee Bucks,210.82,USA,1993,1,Hartford,25.0,1996-97
Vernon Maxwell,San Antonio Spurs,193.04,USA,1988,2,Florida,31.0,1996-97
Tyus Edney,Sacramento Kings,177.8,USA,1995,2,UCLA,24.0,1996-97
Tyrone Hill,Cleveland Cavaliers,205.74,USA,1990,1,Xavier,29.0,1996-97
Tyrone Corbin,Atlanta Hawks,198.12,USA,1985,2,DePaul,34.0,1996-97
Travis Knight,Los Angeles Lakers,213.36,USA,1996,1,Connecticut,22.0,1996-97
Travis Best,Indiana Pacers,180.34,USA,1995,1,Georgia Tech,24.0,1996-97
Tracy Murray,Washington Wizards,200.66,USA,1992,1,UCLA,25.0,1996-97
Tracy Moore,Houston Rockets,193.04,USA,Undrafted,Undrafted,Tulsa,31.0,1996-97
Vincent Askew,Denver Nuggets,198.12,USA,1987,2,Memphis,31.0,1996-97
Xavier McDaniel,New Jersey Nets,200.66,USA,1985,1,Wichita State,34.0,1996-97
Yinka Dare,New Jersey Nets,213.36,USA,1994,1,George Washington,24.0,1996-97
Zan Tabak,Toronto Raptors,213.36,USA,1991,2,,27.0,1996-97
Steve Scheffler,Seattle SuperSonics,205.74,USA,1990,2,Purdue,29.0,1996-97
Steven Smith,Atlanta Hawks,203.2,USA,1991,1,Michigan State,28.0,1996-97
Stevin Smith,Dallas Mavericks,187.96,USA,Undrafted,Undrafted,Arizona State,25.0,1996-97
Stojko Vrankovic,Minnesota Timberwolves,218.44,USA,Undrafted,Undrafted,,33.0,1996-97
Terrell Brandon,Cleveland Cavaliers,180.34,USA,1991,1,Oregon,27.0,1996-97
Terry Cummings,Seattle SuperSonics,205.74,USA,1982,1,DePaul,36.0,1996-97
Terry Dehere,Los Angeles Clippers,193.04,USA,1993,1,Seton Hall,25.0,1996-97
Terry Mills,Detroit Pistons,208.28,USA,1990,1,Michigan,29.0,1996-97
Terry Porter,Minnesota Timberwolves,190.5,USA,1985,1,Wisconsin-Stevens Point,34.0,1996-97
Theo Ratliff,Detroit Pistons,208.28,USA,1995,1,Wyoming,24.0,1996-97
Tim Hardaway,Miami Heat,182.88,USA,1989,1,Texas-El Paso,30.0,1996-97
Tim Kempton,San Antonio Spurs,208.28,USA,1986,6,Notre Dame,33.0,1996-97
Tim Legler,Washington Wizards,193.04,USA,Undrafted,Undrafted,La Salle,30.0,1996-97
Todd Day,Boston Celtics,198.12,USA,1992,1,Arkansas,27.0,1996-97
Todd Fuller,Golden State Warriors,210.82,USA,1996,1,North Carolina State,22.0,1996-97
Tom Chambers,Charlotte Hornets,208.28,USA,1981,1,Utah,38.0,1996-97
Tom Gugliotta,Minnesota Timberwolves,208.28,USA,1992,1,North Carolina State,27.0,1996-97
Tom Hammonds,Denver Nuggets,205.74,USA,1989,1,Georgia Tech,30.0,1996-97
Toni Kukoc,Chicago Bulls,210.82,Croatia,1990,2,,28.0,1996-97
Tony Delk,Charlotte Hornets,187.96,USA,1996,1,Kentucky,23.0,1996-97
Tony Dumas,Phoenix Suns,198.12,USA,1994,1,Missouri-Kansas City,24.0,1996-97
Steve Kerr,Chicago Bulls,190.5,USA,1988,2,Arizona,31.0,1996-97
Reggie Williams,New Jersey Nets,201.0,USA,1987,1,Georgetown,33.0,1996-97
Reggie Slater,Toronto Raptors,200.66,USA,Undrafted,Undrafted,Wyoming,26.0,1996-97
Reggie Miller,Indiana Pacers,200.66,USA,1987,1,UCLA,31.0,1996-97
Lindsey Hunter,Detroit Pistons,187.96,USA,1993,1,Jackson State,26.0,1996-97
Lionel Simmons,Sacramento Kings,200.66,USA,1990,1,La Salle,28.0,1996-97
Litterial Green,Detroit Pistons,185.42,USA,1992,2,Georgia,27.0,1996-97
Tony Smith,Charlotte Hornets,193.04,USA,1990,2,Marquette,29.0,1996-97
Loren Meyer,Phoenix Suns,208.28,USA,1995,1,Iowa State,24.0,1996-97
Lorenzen Wright,Los Angeles Clippers,210.82,USA,1996,1,Memphis,21.0,1996-97
Lorenzo Williams,Washington Wizards,205.74,USA,Undrafted,Undrafted,Stetson,27.0,1996-97
Lou Roe,Golden State Warriors,200.66,USA,1995,2,Massachusetts,24.0,1996-97
