experiment,system,llm_provider,model_name,input_size,query_id,class_name,task_name,latency_sec,input_tokens,output_tokens,total_tokens,total_calls,tokens_throughput,quality
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q7,derivation,extraction,742.6331369876862,1018327.0,108607.0,1126934.0,1000.0,1517.4841302815257,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q7,derivation,extraction,1473.3154854774475,2032343.0,216701.0,2249044.0,2000.0,1526.5189446313104,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q7,derivation,extraction,3591.4104421138763,4176318.0,458154.0,4634472.0,4000.0,1290.4322896806486,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q8,derivation,extraction,779.4551782608032,1022327.0,116035.0,1138362.0,1000.0,1460.458576386682,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q8,derivation,extraction,2039.037802696228,2040343.0,252309.0,2292652.0,2000.0,1124.3793503820366,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q8,derivation,extraction,3271.2467703819275,4192318.0,477821.0,4670139.0,4000.0,1427.6327430518938,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q9,derivation,extraction,834.5924236774445,1023327.0,126278.0,1149605.0,1000.0,1377.4448070526728,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q9,derivation,extraction,1676.1437225341797,2042343.0,251657.0,2294000.0,2000.0,1368.6177200435275,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q9,derivation,extraction,7326.809876680374,4196318.0,629270.0,4825588.0,4000.0,658.6206113193665,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q10,derivation,external_knowledge,685.2503957748413,603289.0,133148.0,736437.0,1000.0,1074.6976645920502,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q10,derivation,external_knowledge,2209.71919465065,1206619.0,279039.0,1485658.0,2000.0,672.3288658561333,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q10,derivation,external_knowledge,2620.4719228744507,2413675.0,512446.0,2926121.0,4000.0,1116.638943717541,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q11,derivation,external_knowledge,619.65460729599,600289.0,119819.0,720108.0,1000.0,1162.1119112506276,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q11,derivation,external_knowledge,1214.8736064434052,1200619.0,236203.0,1436822.0,2000.0,1182.692580017734,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q11,derivation,external_knowledge,2361.2641694545746,2401675.0,460564.0,2862239.0,4000.0,1212.163821831568,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,1000,q12,derivation,external_knowledge,1027.2076742649078,619289.0,200178.0,819467.0,1000.0,797.7617579487306,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,2000,q12,derivation,external_knowledge,3207.0723555088043,1238619.0,416681.0,1655300.0,2000.0,516.1405221047423,-
palimpzest_derivation,palimpzest,vllm,RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,4000,q12,derivation,external_knowledge,3989.470049381256,2477675.0,817173.0,3294848.0,4000.0,825.8861350547078,-
