Team Name,Losses,Total points,Points in 4th quarter,Wins,Game ID,Percentage of field goals,Rebounds,Number of team assists,Points in 3rd quarter,Turnovers,Percentage of 3 points,Points in 1st quarter,Points in 2nd quarter
Clippers,4.0,89.0,,5.0,43,44.0,,,,,,,
Bulls,3.0,105.0,,8.0,43,,,,,,,,
Nets,46.0,103.0,,9.0,44,46.0,,,,12.0,,,
Grizzlies,23.0,112.0,,34.0,44,51.0,,,,12.0,,,
Rockets,18.0,109.0,,40.0,45,41.0,,,,,,,
Heat,32.0,117.0,,25.0,45,52.0,,,,,,,
Pistons,,,,,46,39.0,,,,,13.0,,
Pelicans,22.0,85.0,,24.0,47,39.0,48.0,,,,20.0,,
Nuggets,27.0,93.0,,19.0,47,46.0,39.0,,,,59.0,,
Lakers,,,,,48,,51.0,,,,,,
Warriors,,,,,48,,40.0,,,,,,
Rockets,17.0,133.0,,40.0,49,,,,,21.0,,,
Suns,38.0,102.0,,17.0,49,39.0,,,,,,,
Trail Blazers,26.0,121.0,20.0,20.0,50,,42.0,,,,,,
Lakers,37.0,103.0,,9.0,50,,30.0,,,,,,
Hawks,5.0,99.0,,6.0,51,,,,,,,,
Pistons,10.0,89.0,,3.0,51,,,,,,19.0,,
Knicks,7.0,107.0,,7.0,52,47.0,,,,,,,
Trail Blazers,8.0,103.0,22.0,8.0,52,,,,,,,,
Bulls,,,,,53,,,15.0,,12.0,,,
Knicks,,,,,53,,,,,5.0,,,
Bucks,,97.0,,,54,,,,22.0,,,,
Knicks,,122.0,,,54,,,,,,,,
Magic,19.0,103.0,,20.0,55,,,,,,,18.0,
Raptors,15.0,106.0,,25.0,55,,,,,,,,
Bulls,,,,,56,,,25.0,,,,,
Celtics,,,,,56,,,,24.0,,,,
Rockets,14.0,99.0,18.0,32.0,57,,,,,,,,
Mavericks,17.0,94.0,,30.0,57,,,,,,,,
Nuggets,,,,,58,,,,,10.0,,,
Heat,29.0,106.0,,39.0,59,53.0,,,,15.0,,,
Hornets,29.0,109.0,,39.0,59,,,,,,50.0,,
Celtics,41.0,106.0,,32.0,60,,,,,,26.0,,
Clippers,25.0,119.0,,49.0,60,49.0,,,,,,,
Pelicans,41.0,128.0,,28.0,61,53.0,,29.0,,,,36.0,
Rockets,22.0,112.0,,47.0,61,,,18.0,,,,23.0,
Magic,38.0,97.0,,16.0,62,,45.0,,,,,,
Bulls,20.0,98.0,,32.0,62,,35.0,,,,,32.0,
Hornets,,,,,63,,,,,,28.0,,
Bulls,,,,,63,,,,,,,26.0,
Hawks,32.0,103.0,,46.0,64,41.0,,,,,,,16.0
Suns,,90.0,,,64,,,19.0,,24.0,,38.0,
Timberwolves,,,37.0,,65,,,,,,,,
Rockets,,94.0,18.0,,66,,,18.0,20.0,18.0,19.0,,
Warriors,1.0,121.0,,3.0,66,,,38.0,41.0,16.0,,,
Cavaliers,1.0,101.0,,6.0,67,,,,,,,,
Pacers,4.0,97.0,,3.0,67,,,,,7.0,,22.0,
Kings,4.0,94.0,,6.0,69,,,,,,,,
Spurs,4.0,91.0,,5.0,69,,,,,14.0,,,
Spurs,,,,,70,48.0,,,,,,,
Pelicans,21.0,111.0,,12.0,71,53.0,41.0,,,,,,
Mavericks,22.0,104.0,,9.0,71,49.0,32.0,,,,,,
Clippers,13.0,90.0,,25.0,72,,27.0,,,,,,
Heat,21.0,104.0,,16.0,72,,46.0,,,,,,
Clippers,14.0,98.0,,26.0,73,,,27.0,,11.0,,,
Heat,28.0,86.0,,11.0,73,37.0,,14.0,,15.0,,,
Wizards,5.0,119.0,,13.0,74,53.0,,,,,,,
Nuggets,10.0,89.0,20.0,9.0,74,38.0,,,,,,,
Kings,45.0,120.0,,30.0,75,56.0,,,,,,,
Wizards,39.0,111.0,,36.0,75,48.0,,,,,,,
Spurs,11.0,,,,76,,,,,,,,
Bucks,7.0,121.0,,5.0,77,52.0,,27.0,,,,37.0,29.0
Warriors,2.0,124.0,,11.0,77,,,30.0,,,,28.0,41.0
Clippers,27.0,114.0,,46.0,78,,,,,,,,
Celtics,31.0,90.0,,43.0,78,35.0,,,,,,,
Thunder,10.0,122.0,,21.0,79,58.0,,,,,,,
Nuggets,19.0,112.0,,12.0,79,49.0,,,,,,,
Timberwolves,52.0,106.0,,14.0,80,47.0,,,,,60.0,,
Nets,38.0,122.0,,27.0,80,58.0,,,,,39.0,,
Hornets,,,21.0,,81,38.0,,,,5.0,38.0,,
Grizzlies,16.0,88.0,,24.0,83,,,,,,,19.0,
Jazz,16.0,79.0,,23.0,83,39.0,,,,,39.0,,
Heat,16.0,101.0,,14.0,84,,,,,,,,
Cavaliers,11.0,91.0,,17.0,84,,,,,,,,
Kings,39.0,100.0,,25.0,85,40.0,37.0,,,,,,
Magic,36.0,107.0,,28.0,85,52.0,51.0,,,,,,
Cavaliers,17.0,120.0,,44.0,86,51.0,,27.0,,,,22.0,
Celtics,26.0,103.0,,38.0,86,46.0,,,,,,35.0,
Pistons,9.0,86.0,,3.0,87,,,,,,,19.0,
Suns,5.0,88.0,,7.0,87,,,,,,,,
Trail Blazers,25.0,109.0,,48.0,88,,,,37.0,,,,
Suns,37.0,86.0,,38.0,88,,,,16.0,,,,
Wizards,3.0,102.0,,7.0,89,,,,,,,,
Mavericks,3.0,105.0,,9.0,89,,,,,,,,
Celtics,,104.0,,,90,,,,,,,,
Hawks,2.0,95.0,,2.0,90,37.0,,,,,,,
Warriors,6.0,119.0,25.0,56.0,91,,,,,,,,
Magic,35.0,113.0,36.0,27.0,91,,,,,,,,
Nets,,100.0,,,92,49.0,,,18.0,11.0,,,
Pistons,,105.0,,,92,43.0,,,,,,,
Kings,8.0,85.0,,9.0,93,,42.0,,,23.0,,,
Grizzlies,2.0,97.0,,15.0,93,,35.0,,,,,,
Nuggets,49.0,92.0,,28.0,94,,,,,,,,
Clippers,26.0,107.0,,51.0,94,,,,,,,,
Knicks,,,,,95,,33.0,,,,,,
Nuggets,,,,,95,,44.0,,,,,,
Nuggets,27.0,121.0,,22.0,96,,,,,,,,
Bucks,28.0,117.0,,21.0,96,,,,,,,,22.0
Rockets,7.0,109.0,,17.0,97,50.0,48.0,31.0,,,51.0,,
Mavericks,18.0,87.0,18.0,5.0,97,,32.0,,,,32.0,,
76ers,,93.0,,,98,,,,,,,,
Timberwolves,24.0,91.0,,11.0,98,,,,,,,,
Nets,56.0,104.0,,13.0,99,,,,,,,,
Mavericks,39.0,111.0,,30.0,99,54.0,,,,,,,
