,Player Name,birthdate
65,Deyonta Davis,The birthdate of Deyonta Davis is 13/01/1997.
66,Shane Larkin,02/10/1992
67,CJ Watson,The birthdate of CJ Watson is 4/7/1984.
68,Terry Rozier,17/02/1994
69,Carl Landry,02/09/1983
70,Timofey Mozgov,07/07/1986
71,Reggie Williams,"I'm not aware of any information about a player named Reggie Williams. However, I found a Reggie Williams who is an American professional basketball player. 

If you are referring to Reggie Williams (basketball player born 1986), his birthdate is 5/14/1986."
72,Robin Lopez,04/11/1990
73,Russ Smith,The birthdate of Russ Smith is 03/04/1991.
74,J.J. Barea,The birthdate of J.J. Barea is 26/06/1980.
75,Troy Daniels,The birthdate of Troy Daniels is 07/07/1991.
76,Marcus Smart,08/03/1994
77,Briante Weber,The birthdate of Briante Weber is 05/07/1992.
78,Danny Granger,04/04/1983
79,Aaron Brooks,Aaron Brooks' birthdate is 14/01/1985.
80,Dwyane Wade,09/01/1982
81,Al-Farouq Aminu,08/09/1990
82,Alan Anderson,Alan Anderson's birthdate is 06/10/1982.
83,Chris Copeland,05/07/1984
84,Al Jefferson,01/01/1985
85,Tarik Black,"I'm not aware of any information about a person named Tarik Black who is a notable figure. However, I found information about Tarik Black, an American professional basketball player.

Birthdate of Tarik Black: 22/11/1991"
86,Chris McCullough,The birthdate of Chris McCullough is 05/02/1995.
87,Elfrid Payton,02/02/1993
88,LaMarcus Aldridge,07/19/1988
89,Jason Terry,09/09/1975
90,Patrick McCaw,25/10/1995
91,Pero Antic,"I couldn't find any information about a player named ""Pero Antic""."
92,Jordan McRae,12/11/1991
93,Jeff Taylor,"I'm not aware of any information about a player named Jeff Taylor. However, I found a Jeff Taylor who is a former NBA player. 

If you are referring to Jeff Taylor, the former NBA player, his birthdate is 16/02/1989."
94,Domantas Sabonis,05/12/1996
95,Jon Leuer,08/05/1986
96,Mindaugas Kuzminskas,10/06/1989
97,Jodie Meeks,08/08/1987
98,Larry Drew II,The birthdate of Larry Drew II is 16/03/1990.
99,Jerian Grant,The birthdate of Jerian Grant is 10/07/1992.
100,Yogi Ferrell,The birthdate of Yogi Ferrell is 09/05/1993.
101,Tristan Thompson,Tristan Thompson's birthdate is 13/03/1991.
102,Kyle Anderson,The birthdate of Kyle Anderson is 20/09/1996.
103,Markel Brown,The birthdate of Markel Brown is 29/01/1992.
104,Austin Daye,Austin Daye's birthdate is 05/06/1988.
105,Malachi Richardson,Malachi Richardson's birthdate is 05/01/1996.
106,Spencer Hawes,20/02/1985
107,Marcus Morris,"Marcus Morris was born on 2 September 1989. 

However, since you requested the birthdate in the format DD/MM/YYYY, I will convert it to that format. 

02/09/1989"
108,Shawn Marion,05/05/1978
109,Alex Len,06/06/1993
110,Taj Gibson,23/06/1985
111,Aron Baynes,12/09/1987
112,Larry Sanders,The birthdate of Larry Sanders is 21/04/1988.
113,Allen Crabbe,04/04/1994
114,Anthony Bennett,The birthdate of Anthony Bennett is 14/03/1993.
115,Joey Dorsey,The birthdate of Joey Dorsey is 12/02/1986.
116,Kelly Oubre Jr.,09/09/1995
117,Gorgui Dieng,The birthdate of Gorgui Dieng is 18/08/1990.
118,Will Barton,The birthdate of Will Barton is 06/01/1991.
119,Rashad Vaughn,08/09/1996
120,Jeff Ayres,16/04/1987
121,Shawn Long,I'm sorry but I don't know the birthdate of Shawn Long.
122,Sergio Rodriguez,"I'm not aware of any information about a player named Sergio Rodriguez. However, I found a basketball player named Sergio Rodríguez, who is a Spanish professional basketball player.

Birthdate of Sergio Rodríguez: 12/06/1986"
123,Ian Mahinmi,06/11/1986
124,DeAndre Jordan,07/07/1988
125,Rodney Hood,10/10/1992
126,Anthony Morrow,09/09/1985
127,Karl-Anthony Towns,05/11/1995
128,Jordan Hamilton,Jordan Hamilton's birthdate is 07/06/1993.
129,Corey Brewer,The birthdate of Corey Brewer is 05/17/1988.
130,Sonny Weems,The birthdate of Sonny Weems is 08/07/1986.
131,Eric Bledsoe,12/12/1989
132,Ryan Hollins,05/10/1984
133,Jason Richardson,Jason Richardson's birthdate is 20/07/1981.
134,Nikola Jokic,02/16/1995
135,Derrick Rose,10/08/1988
136,CJ McCollum,03/09/1991
137,John Wall,09/10/1990
138,Kevin Garnett,05/05/1976
139,Chasson Randle,The birthdate of Chasson Randle is 22/02/1993.
140,Joe Harris,The birthdate of Joe Harris is 6/6/1991.
141,D.J. Augustin,The birthdate of D.J. Augustin is 10/11/1987.
142,Hedo Turkoglu,23/03/1979
143,Tony Wroten,The birthdate of Tony Wroten is 05/09/1993.
144,Kyrie Irving,23/03/1992
145,Stephen Curry,03/03/1988
146,Tony Parker,05/12/1982
147,Ian Clark,I'm sorry but I do not know Ian Clark's birthdate.
148,Nene,"I'm not aware of any information about a player named ""Nene"". However, I found a player named ""Nene"" who is a Brazilian professional footballer. 

If you are referring to the Brazilian footballer, his name is Anderson Jonathan dos Santos, but he is more commonly known as ""Nene"". 

Nene's birthdate is 07/07/1983."
149,Ryan Kelly,"I'm not aware of any information about a player named Ryan Kelly. However, I found a Ryan Kelly who is an American professional basketball player. 

If you are referring to Ryan Kelly, the American professional basketball player, his birthdate is 9 April 1991."
150,Jae Crowder,07/07/1990
151,Festus Ezeli,10/10/1990
152,James Harden,08/08/1989
153,Evan Fournier,24/07/1992
154,Channing Frye,05/05/1983
155,Kenneth Faried,25/11/1989
156,Dante Exum,07/04/1995
157,Andrew Bogut,28/11/1984
158,Brandan Wright,11/10/1987
159,Patrick Beverley,07/07/1988
160,Cory Joseph,08/08/1993
161,Ivica Zubac,25/03/1997
162,O.J. Mayo,04/06/1987
163,Brian Roberts,Brian Roberts' birthdate is 18/10/1977.
164,Caron Butler,05/03/1980
165,Arron Afflalo,07/10/1985
166,Darrun Hilliard,The birthdate of Darrun Hilliard is 13/04/1993.
167,Clint Capela,05/05/1994
168,Pablo Prigioni,25/05/1977
169,Eric Gordon,Eric Gordon's birthdate is 25/12/1988.
170,James Michael McAdoo,The birthdate of James Michael McAdoo is 04/10/1993.
171,Tyler Ennis,The birthdate of Tyler Ennis is 06/10/1991.
172,Pierre Jackson,"I'm not aware of any information about a person named Pierre Jackson. However, I found a basketball player named Pierre Jackson. 

Pierre Jackson, the basketball player, was born on September 1, 1990."
173,Hassan Whiteside,06/06/1989
174,Giannis Antetokounmpo,12/11/1994
175,Cory Jefferson,Cory Jefferson's birthdate is 25/07/1992.
176,Kelly Olynyk,04/04/1991
177,Thon Maker,25/02/1997
178,Elijah Millsap,"I'm not aware of any information about a player named Elijah Millsap. However, I found a player named Elijah Millsap who played in the NBA. 

Elijah Millsap's birthdate is 24/01/1987."
179,Greg Monroe,04/04/1990
180,Dejounte Murray,19/09/1996
181,Sheldon McClellan,The birthdate of Sheldon McClellan is 29/01/1993.
182,Jonathon Simmons,The birthdate of Jonathon Simmons is 14/09/1993.
183,Delon Wright,The birthdate of Delon Wright is 26/04/1992.
184,Zaza Pachulia,04/06/1977
185,Beno Udrih,05/07/1982
186,Kent Bazemore,The birthdate of Kent Bazemore is 14/07/1989.
187,Chandler Parsons,25/05/1988
188,Tobias Harris,07/07/1992
189,Anderson Varejao,09/06/1980
190,Reggie Bullock,The birthdate of Reggie Bullock is 16/03/1991.
191,Will Bynum,The birthdate of Will Bynum is 04/01/1983.
192,Norris Cole,04/04/1988
193,Kostas Papanikolaou,18/07/1990
194,Timothe Luwawu-Cabarrot,05/05/1995
195,Tony Allen,"Tony Allen was born on January 11, 1983. 

So the answer is: 11/01/1983"
196,Jeremy Lin,08/08/1988
197,Marcus Thornton,The birthdate of Marcus Thornton is 05/03/1987.
198,Wesley Matthews,07/14/1991
199,Darren Collison,The birthdate of Darren Collison is 23/08/1987.
