"Player Name","birthdate"
"Jamal Murray","21/02/1997
"
"KJ McDaniels","13/03/1996
"
"Jeff Green","1988/06/20
"
"PJ Hairston","10/07/1991
"
"Sasha Vujacic","13/03/1985"
"Nick Calathes","12/02/1989
"
"Dewayne Dedmon","21/03/1991
"
"David Lee","18/10/1988"
"Shawne Williams","17/03/1987
"
"Furkan Aldemir","13/03/1994
"
"John Jenkins","14/09/1989
"
"Cole Aldrich","14/07/1997
"
"Brandon Rush","11/06/1981"
"Nikola Mirotic","10/02/1988
"
"Ronnie Price","14/08/1993"
"Chris Paul","06/02/1985
"
"Willie Cauley-Stein","19/03/1993
"
"D'Angelo Russell","14/02/1995
"
"Johnny O'Bryant III","19/05/1994"
"DeMar DeRozan","07/08/1989
"
"Andre Iguodala","16/01/1984"
"Danilo Gallinari","28/08/1988
"
"Dwight Buycks","18/03/1983"
"Elton Brand","09/03/1979
"
"Cleanthony Early","18/03/1992
"
"Gordon Hayward","23/03/1990
"
"Mike Scott","10/01/1988"
"Gary Neal","07/03/1987"
"Ben Gordon","13/04/1983"
"Miles Plumlee","01/05/1988"
"Sam Dekker","13/09/1993
"
"Marcelo Huertas","10/03/1983"
"Gigi Datome","19/05/1985
"
"Jordan Hill","11/07/1987"
"Tyler Ulis","18/03/1995
"
"Meyers Leonard","21/02/1992
"
"Kirk Hinrich","14/02/1980
"
"Paul Zipser","10/03/1990"
"Wayne Ellington","17/08/1991"
"Luis Scola","08/04/1980"
"Michael Carter-Williams","11/09/1991
"
"Klay Thompson","08/07/1990"
"Kosta Koufos","14/09/1988
"
"Dorell Wright","18/01/1989"
"Mike Muscala","19/05/1990
"
"Andrea Bargnani","16/11/1981
"
"Kobe Bryant","23/08/1978
"
"Serge Ibaka","12/09/1989
"
"Courtney Lee","10/01/1989
"
"Gal Mekel","19/05/1986"
"Terrence Ross","08/02/1990"
"Jarell Martin","12/07/1997
"
"Randy Foye","11/08/1983"
"Juan Hernangomez","10/09/1993
"
"Brandon Bass","12/08/1985
"
"Anthony Tolliver","18/03/1985"
"Jimmy Butler","14/09/1989"
"JJ Redick","14/06/1980"
"DeJuan Blair","16/03/1989"
"Jerome Jordan","19/01/1992
"
"Lance Thomas","18/07/1986"
"Nate Wolters","19/08/1993
"
"Michael Kidd-Gilchrist","26/03/1993"
"Bojan Bogdanovic","16/10/1989
"
"JJ Hickson","18/02/1988"
"Kay Felder","19/03/1996"
"Tim Frazier","09/02/1988"
"Marco Belinelli","26/07/1986
"
"Aaron Gordon","03/04/1991
"
"Ben McLemore","11/09/1993"
"Rodney Stuckey","11/02/1983"
"Robert Sacre","19/03/1985"
"Landry Fields","19/03/1986
"
"Trey Lyles","13/03/1996"
"Jonas Valanciunas","18/05/1992
"
"James Ennis III","16/03/1990"
"Tim Hardaway Jr.","13/03/1992
"
"Nicolas Brussino","16/08/1993"
"Lance Stephenson","10/09/1990"
"Bryce Dejean-Jones","14/01/1991"
"Mario Hezonja","01/02/1992
"
"Amir Johnson","04/08/1983"
"Luc Mbah a Moute","18/09/1988
"
"Cody Zeller","04/07/1992"
"Stanley Johnson","15/03/1999"
"Kyle Lowry","25/03/1986
"
"Jakob Poeltl","16/10/1994"
"Alec Burks","28/08/1993"
"Jorge Gutierrez","13/01/1985
"
"Matthew Dellavedova","07/09/1990"
"Seth Curry","14/04/1990"
"LeBron James","30/12/1984"
"Trevor Ariza","06/06/1986
"
"Gerald Henderson","11/02/1987"
"Buddy Hield","16/03/1992
"
"CJ Miles","15/03/1985
"
"Tyson Chandler","02/10/1982"
"Wilson Chandler","18/07/1987"
"Justin Anderson","17/05/1993"
"Kris Humphries","09/02/1985"
"Bernard James","14/09/1981"
"Tim Duncan","25/07/1976
"
"Mario Chalmers","14/05/1986
"
"Gerald Green","10/03/1982
"
"Salah Mejri","16/02/1991
"
"Damien Inglis","15/07/1998"
"Ty Lawson","03/03/1988"
"Bobby Portis","27/08/1998"
"Mason Plumlee","01/01/1990"
"Luke Babbitt","14/03/1989
"
"Russell Westbrook","12/11/1988
"
"Mike Conley","11/03/1984"
"Rasual Butler","18/09/1985"
"Mo Williams","09/02/1981"
"Jared Dudley","10/03/1989"
"Isaiah Thomas","12/07/1989
"
"Joe Young","17/09/1998
"
"Cheick Diallo","19/03/1999
"
"Mike Dunleavy","16/06/1980"
"Andrew Harrison","19/07/1993
"
"Thaddeus Young","19/08/1988
"
"Travis Wear","16/03/1989"
"James Young","17/02/1997
"
"Kevin Seraphin","10/06/1989
"
"Ricky Ledo","19/09/1994"
"Chris Andersen","17/05/1978"
"Marreese Speights","01/10/1986"
"Dahntay Jones","18/07/1980
"
"Willy Hernangomez","03/08/1990
"
"Steve Blake","09/07/1983"
"Darrell Arthur","15/06/1988"
"John Lucas III","19/03/1988
"
"Noah Vonleh","09/08/1994"
"TJ Warren","05/08/1994
"
"Marcin Gortat","17/02/1988
"
"Jordan Clarkson","07/08/1992
"
"Thabo Sefolosha","12/10/1980
"
"Julius Randle","26/07/1993
"
"Nik Stauskas","19/05/1993
"
"Devin Booker","30/10/1991
"
"Glenn Robinson III","14/04/1997"
"Damjan Rudez","14/05/1989
"
"Frank Kaminsky","24/11/1991
"
"Kentavious Caldwell-Pope","18/02/1993
"
"Kyle Korver","02/03/1980"
"Maurice Harkless","14/08/1993"
"Dorian Finney-Smith","10/03/1992
"
"Nick Young","11/03/1985"
"Semaj Christon","09/07/1994"
"Kris Dunn","24/06/1994
"
"Iman Shumpert","01/06/1990"
"Andrew Nicholson","03/03/1990"
"Otto Porter","05/06/1993"
"Alex Stepheson","07/08/1980"
"Kyle Singler","10/12/1985"
"Richard Jefferson","18/02/1980
"
"Damian Lillard","07/07/1990
"
"Jrue Holiday","19/06/1993"
"Boris Diaw","16/07/1982
"
"JaVale McGee","19/01/1988"
"Marvin Williams","20/08/1980"
"Carlos Boozer","16/03/1980
"
"Trevor Booker","18/09/1984"
"Norman Powell","07/07/1994"
"Rondae Hollis-Jefferson","10/03/1994"
"Lou Williams","27/07/1985"
"Dennis Schroder","15/09/1993
"
"Justin Holiday","12/06/1991"
"Ryan Anderson","18/08/1988
"
"Tomas Satoransky","13/09/1990
"
"Isaiah Whitehead","15/03/1996"
"Tyler Zeller","18/03/1992"
"Spencer Dinwiddie","04/02/1993"
"Kemba Walker","18/05/1990
"
"Steve Novak","15/07/1983"
"Malcolm Delaney","19/07/1992"
"Jaylen Brown","06/11/1996
"
"Shabazz Muhammad","10/05/1993"
"Joel Embiid","16/01/1994
"
"Andre Drummond","11/07/1993
"
"Andre Roberson","14/02/1994"
"Draymond Green","09/07/1990
"
"Jimmer Fredette","14/02/1988
"
"Glenn Robinson","14/03/1974"
"Nick Johnson","13/09/1993
"
"Tyler Johnson","14/03/1992"
"Jabari Brown","14/07/1993"
"Jarrett Jack","13/03/1993"
"Ersan Ilyasova","02/07/1985"
"Markieff Morris","14/02/1986"
"Victor Oladipo","09/01/1994"
"Tony Snell","05/05/1993"
"Alexis Ajinca","18/02/1988
"
"Anthony Davis","11/01/1991
"
"Kevin Love","07/05/1988"
"Wesley Johnson","19/03/1989"
"Matt Barnes","11/08/1980"
"Willie Reed","14/03/1992
"
"Robert Covington","16/08/1990"
"Alexey Shved","19/03/1990
"
"Paul Pierce","18/05/1980
"
"Jose Calderon","19/01/1980"
"Mitch McGary","29/01/1994"
"JaKarr Sampson","14/03/1999
"
"Drew Gooden","18/10/1973"
"Rudy Gobert","26/08/1992"
"Lucas Nogueira","17/01/1993"
"Caris LeVert","01/09/1992"
"Devyn Marble","18/05/1992"
"Charlie Villanueva","20/08/1980"
"Ron Baker","18/03/1993"
"Josh Smith","15/12/1982"
"Steven Adams","28/07/1993
"
"Patrick Patterson","10/03/1989
"
"Metta World Peace","16/08/1981"
"Ramon Sessions","19/07/1986"
"Alex Abrines","19/03/1993
"
"Bismack Biyombo","28/02/1995
"
"Kristaps Porzingis","17/09/1994
"
"Jeff Teague","13/05/1988"
"Luol Deng","16/05/1985
"
"Brandon Knight","10/03/1990"
"Carmelo Anthony","15/03/1980"
"Zach Randolph","16/07/1980"
"Avery Bradley","18/03/1987"
"Georgios Papagiannis","17/02/1993
"
"Alan Williams","19/09/1993"
"Goran Dragic","15/03/1983
"
"Leandro Barbosa","05/02/1982"
"Elliot Williams","14/08/1993
"
"Pascal Siakam","16/04/1994
"
"Danny Green","15/06/1989
"
"Monta Ellis","09/12/1985"
"Al Horford","02/08/1986"
"DeMarcus Cousins","14/08/1990"
"George Hill","10/03/1986
"
"Brandon Davies","14/03/1994"
"DeMarre Carroll","16/09/1988
"
"Trey Burke","17/09/1993
"
"Jahlil Okafor","18/12/1995
"
"Richaun Holmes","14/02/1994"
"Jason Smith","10/05/1988
"
"Derrick Favors","16/03/1991
"
"Zach LaVine","10/02/1991
"
"Nikola Vucevic","08/03/1990
"
"Rakeem Christmas","14/05/1994"
"Kyle O'Quinn","10/09/1989
"
"Derrick Williams","18/07/1991"
"Devin Harris","14/07/1983"
"Tiago Splitter","19/06/1980
"
"Chris Johnson","08/09/1985"
"Ish Smith","22/03/1983"
"Jeff Withey","19/02/1990"
"James Anderson","29/07/1982"
"Jared Sullinger","16/03/1992"
"Dante Cunningham","19/08/1987"
"JR Smith","16/09/1985
"
"Jordan Farmar","13/10/1983"
"Alonzo Gee","16/08/1988"
"Jeremy Evans","17/03/1988"
"Ricky Rubio","17/10/1989
"
"Henry Walker","18/08/1982"
"Joffrey Lauvergne","12/02/1990
"
"Greivis Vasquez","03/03/1989"
"Jeremy Lamb","12/03/1992"
"Dwight Powell","10/07/1989"
"JaMychal Green","10/03/1989"
"Udonis Haslem","09/06/1980"
"Nick Collison","13/08/1980"
"Shelvin Mack","18/07/1988"
"Roy Hibbert","11/05/1985
"
"Nate Robinson","13/07/1980
"
"Joakim Noah","12/02/1982"
"Shabazz Napier","01/02/1990"
"Dion Waiters","06/10/1993"
"James Johnson","14/05/1993
"
"Dwight Howard","08/07/1985"
"Bryce Cotton","10/03/1995
"
"Jerryd Bayless","19/02/1989
"
"Enes Kanter","08/05/1992"
"Jannero Pargo","14/03/1983"
"Chris Kaman","18/08/1985
"
"Langston Galloway","10/01/1992"
"Boban Marjanovic","13/02/1989
"
"TJ McConnell","15/07/1992"
"Myles Turner","10/01/1997
"
"Shaun Livingston","10/03/1985"
"Donatas Motiejunas","14/06/1990"
"Nikola Pekovic","02/03/1993
"
"Andrew Wiggins","18/01/1995
"
"Jonathan Gibson","14/08/1993
"
"Rodney McGruder","14/09/1992"
"Brandon Ingram","09/01/1997"
"Lavoy Allen","18/05/1990"
"Phil Pressey","18/03/1990
"
"Terrence Jones","29/03/1996"
"Chris Douglas-Roberts","10/03/1984"
"Mirza Teletovic","14/09/1986"
"Paul Millsap","18/03/1985"
"James Jones","14/07/1992
"
"Dragan Bender","18/09/1996
"
"Chris Bosh","11/03/1984"
"Bradley Beal","16/03/1993
"
"Toney Douglas","16/02/1986
"
"RJ Hunter","09/08/1990"
"Nerlens Noel","08/02/1992"
"Donald Sloan","10/07/1981"
"Taurean Prince","18/03/1994"
"David West","02/01/1982"
"Dirk Nowitzki","19/06/1980
"
"Jake Layman","12/07/1995"
"Tayshaun Prince","18/09/1980"
"Jason Thompson","13/08/1988
"
"Tyreke Evans","26/01/1989
"
"Jordan Adams","13/09/1992"
"Michael Beasley","14/01/1989
"
"Omri Casspi","18/06/1988
"
"C.J. Watson","14/03/1983"
"Montrezl Harrell","01/03/1990"
"Samuel Dalembert","19/02/1982
"
"Otto Porter Jr.","06/07/1993"
"Skal Labissiere","19/02/1996
"
"Jamal Crawford","14/03/1980"
"Quincy Pondexter","18/03/1992"
"Jameer Nelson","18/02/1980
"
"Kendrick Perkins","15/08/1986"
"Jordan Crawford","18/03/1985"
"Thomas Robinson","13/03/1991
"
"Harrison Barnes","11/08/1993"
"Justin Hamilton","14/08/1992
"
"Raymond Felton","23/05/1985
"
"Garrett Temple","13/02/1989"
