"player_name","_col_1"
"Shane Larkin","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- Reggie Evans
- Reggie Williams
- Richard Jefferson
- Richaun Holmes
- Ricky Ledo

Their respective birthdates are (in the format DD/MM/YYYY):
- Reggie Evans: 18/05/1980
- Reggie Williams: 14/09/1986
- Richard Jefferson: 21/06/1980
- Richaun Holmes: 15/10/1993
- Ricky Ledo: 10/10/1992

So, the answer would be:
18/05/1980"
"CJ Watson","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- CJ Miles
- CJ Watson
- Cameron Payne
- Caris LeVert
- Carl Landry

Their respective birthdates are (in the format DD/MM/YYYY):
- CJ Miles: 18/03/1987
- CJ Watson: 17/04/1984
- Cameron Payne: 08/08/1994
- Caris LeVert: 25/08/1994
- Carl Landry: 19/09/1983

So, the answer would be:
18/03/1987"
"Terry Rozier"," 10/05/1981"
"Carl Landry"," 25/08/1994"
"Timofey Mozgov","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


13/11/1992"
"Reggie Williams"," 03/06/1993"
"Robin Lopez","11/08/1988"
"Russ Smith","06/10/1990"
"J.J. Barea"," 19/03/1979"
"Troy Daniels","To answer this question, I would need access to a database containing information about the players, including their birthdates. However, based on publicly available data, here are the answers:


14/03/1988"
"Marcus Smart"," 19/07/1985"
"Briante Weber","03/12/1985"
"Danny Granger"," 08/08/1988"
"Aaron Brooks","14/01/1985"
"Dwyane Wade","04/03/1990"
"Al-Farouq Aminu"," 21/09/1990"
"Alan Anderson"," 16/10/1982"
"Chris Copeland","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide a general approach on how one might solve this using hypothetical data.

Assuming there's a table named ""Players"" with columns for ""player_name"" and ""birthdate"", you could query this information as follows:

1. Connect to the database.
2. Execute a SQL query like `SELECT birthdate FROM Players WHERE player_name = 'Chris Bosh'` (and similarly for each player).
3. Format the retrieved birthdate into DD/MM/YYYY format.

Given that I don't have actual access to such data, let's proceed with hypothetical answers based on publicly known information about these players:

- Chris Bosh: 24/03/1984
- Chris Copeland: 17/03/1984
- Chris Douglas-Roberts: 08/01/1987
- Chris Johnson: This could refer to multiple individuals, so let's assume one notable basketball player, Chris Johnson (born 17/07/1985).
- Chris Kaman: 28/04/1982

Thus, the formatted answer would be:
24/03/1984"
"Al Jefferson","To answer this question, I would need access to the actual database containing the birthdates of the players. However, based on publicly available information, here are the birthdates for each player in the format DD/MM/YYYY:


Al Jefferson: 04/01/1985
Al-Farouq Aminu: 21/09/1990
Alan Anderson: 16/10/1982
Alan Williams: 28/01/1993
Alec Burks: 20/07/1991


So, the answer would be:
04/01/1985"
"Tarik Black","06/05/1988"
"Chris McCullough"," 28/04/1982"
"Elfrid Payton"," 08/12/1985"
"LaMarcus Aldridge","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the birthdates for the mentioned players in the format DD/MM/YYYY:


23/09/1988"
"Jason Terry","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide a general approach on how one might solve this using hypothetical data.

Assuming there's a table named ""Players"" with columns for ""player_name"" and ""birthdate"", you could query this information using SQL or another database querying language. The exact method would depend on the structure of your database and the tools you're using to access it.

Given the names:
1. James Johnson
2. James Jones
3. James Michael McAdoo
4. James Young
5. Jannero Pargo

And assuming their birthdates are as follows (please note these are fictional examples for demonstration purposes):
- James Johnson: 02/20/1987
- James Jones: 10/04/1980
- James Michael McAdoo: 01/04/1993
- James Young: 08/16/1995
- Jannero Pargo: 10/22/1979

The answer, formatted as DD/MM/YYYY and separated by semicolons, would be:
20/02/1987"
"Patrick McCaw"," 13/09/1982"
"Pero Antic"," 14/12/1988"
"Jordan McRae","06/09/1990"
"Jeff Taylor","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


09/07/1985"
"Domantas Sabonis","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


1978/06/19"
"Jon Leuer"," 02/10/1987"
"Mindaugas Kuzminskas","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

1. Marcus Morris - Born on September 2, 1989
2. Marcus Smart - Born on March 6, 1994
3. Marcus Thornton - Born on June 5, 1987
4. Mario Chalmers - Born on May 19, 1986
5. Mario Hezonja - Born on February 25, 1995

Given this information, the answer in the format DD/MM/YYYY would be:

02/09/1989"
"Jodie Meeks","23/05/1989"
"Larry Drew II","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide the answers based on publicly available information up to my last update in 2023.

1. Kirk Hinrich - January 2, 1981
2. Klay Thompson - February 8, 1990
3. Kobe Bryant - August 23, 1978
4. Kosta Koufos - February 24, 1989
5. Kostas Papanikolaou - July 31, 1990

Converting these to the DD/MM/YYYY format:

02/01/1981"
"Jerian Grant","02/06/1986"
"Yogi Ferrell"," 09/05/1995"
"Tristan Thompson","29/05/1996"
"Kyle Anderson"," 19/11/1989

Please note that these dates might not be up-to-date or accurate, as my knowledge cutoff is limited. For the most accurate information, I recommend checking a reliable source or database."
"Markel Brown","09/12/1991"
"Austin Daye","05/06/1988"
"Malachi Richardson"," 17/03/1981"
"Spencer Hawes"," 29/07/1990"
"Marcus Morris"," 23/03/1992"
"Shawn Marion","15/10/1993"
"Alex Len"," 16/06/1993"
"Taj Gibson","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information.

Assuming we have a database with player names and their corresponding birthdates:

- Russell Westbrook: November 12, 1988
- Ryan Anderson: May 6, 1988
- Ryan Hollins: October 10, 1984
- Ryan Kelly: April 9, 1991
- Salah Mejri: June 15, 1986

The birthdates in the format DD/MM/YYYY would be:

12/11/1988"
"Aron Baynes"," 09/12/1986"
"Larry Sanders","23/08/1978"
"Allen Crabbe","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the birthdates for the mentioned players in the format DD/MM/YYYY:


Allen Crabbe - 09/04/1992
Alonzo Gee - 29/05/1987
Amar'e Stoudemire - 16/11/1982
Amir Johnson - 12/05/1987
Anderson Varejao - 28/09/1982


So the answer would be: 
09/04/1992"
"Anthony Bennett"," 14/03/1993"
"Joey Dorsey","To answer this question, I would need access to the actual database or a list of birthdates for the players. However, based on publicly available information, here are the birthdates for each player in the format DD/MM/YYYY:


Jerome Jordan - 29/09/1986
Jerryd Bayless - 20/08/1988
Jimmer Fredette - 25/02/1989
Jimmy Butler - 14/09/1989
Joakim Noah - 25/02/1985


So the answer would be: 
29/09/1986"
"Kelly Oubre Jr.","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

1. Josh Richardson - January 15, 1993
2. Josh Smith - December 5, 1985
3. Jrue Holiday - June 12, 1990
4. Juan Hernangomez - September 28, 1995
5. Julius Randle - November 29, 1994

Given the format DD/MM/YYYY, the answer would be:

15/01/1993"
"Gorgui Dieng","03/10/1984"
"Will Barton"," 17/03/1991"
"Rashad Vaughn","25/05/1993"
"Jeff Ayres","16/08/1995"
"Shawn Long","21/06/1980"
"Sergio Rodriguez"," 19/05/1992"
"Ian Mahinmi","23/03/1990"
"DeAndre Jordan"," 12/11/1992"
"Rodney Hood","06/07/1980"
"Anthony Morrow"," 27/09/1985"
"Karl-Anthony Towns"," 28/03/1991"
"Jordan Hamilton","06/03/1991"
"Corey Brewer","To answer the last question, I would need access to a database or information about the birthdates of the players. Since I don't have real-time access to databases and the provided text does not include the birthdates, I'll guide you through a general approach to how this could be solved if the data were available.

1. **Access the Database**: You would first need to connect to your database where the player information is stored.
2. **Query the Database**: Use SQL or the query language appropriate for your database system to select the birthdate of each player based on their name.
3. **Format the Birthdate**: Ensure the birthdates are in the format DD/MM/YYYY. This might involve using a function within your query or programming language to convert the date format if it's stored differently.

Given the lack of specific database access and assuming hypothetical birthdates for demonstration:

- Cole Aldrich: 31/10/1988
- Corey Brewer: 05/03/1986
- Cory Jefferson: 26/12/1990
- Cory Joseph: 20/08/1991
- Courtney Lee: 03/10/1985

The answer, formatted as requested and separated by semicolons, would be:

31/10/1988"
"Sonny Weems"," 01/04/1988"
"Eric Bledsoe","
    ```

4. **Combine the Results**: Since you need the output separated by '"
"Ryan Hollins","24/10/1993"
"Jason Richardson"," 01/07/1990"
"Nikola Jokic"," 10/10/1991"
"Derrick Rose","15/07/1991"
"CJ McCollum"," 17/04/1984"
"John Wall","To answer this question, I would need access to a database containing information about the players, including their birthdates. However, based on publicly available data, here are the answers:


21/08/1987"
"Kevin Garnett"," 23/08/1994


So the answer in the required format would be:
19/11/1993"
"Chasson Randle"," 22/05/1988"
"Joe Harris","10/06/1988"
"D.J. Augustin"," 23/02/1996"
"Hedo Turkoglu"," 27/08/1987"
"Tony Wroten","06/04/1990"
"Kyrie Irving"," 19/05/1976"
"Stephen Curry"," 30/03/1993"
"Tony Parker","01/16/1985"
"Ian Clark","05/06/1986"
"Nene","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- Marvin Williams
- Mason Plumlee
- Matt Barnes
- Matt Bonner
- Matthew Dellavedova

Their respective birthdates are (in the format DD/MM/YYYY):
- Marvin Williams: 19/06/1986
- Mason Plumlee: 05/03/1990
- Matt Barnes: 09/03/1980
- Matt Bonner: 05/04/1979
- Matthew Dellavedova: 08/09/1990

So, the answer would be:
19/06/1986"
"Ryan Kelly","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the birthdates for the mentioned players:


21/02/1986"
"Jae Crowder"," 08/03/1994"
"Festus Ezeli","To answer this question, I would need access to the actual database or a list of birthdates for the players. However, based on publicly available information, here are the birthdates for each player in the format DD/MM/YYYY:


Emmanuel Mudiay - 05/03/1996
Enes Kanter - 20/05/1992
Eric Bledsoe - 09/12/1988
Eric Gordon - 25/12/1988
Erick Green - 09/05/1991

So the answer would be: 
05/03/1996"
"James Harden"," 19/01/1988"
"Evan Fournier","20/06/1989"
"Channing Frye"," 25/10/1988"
"Kenneth Faried"," 29/11/1994"
"Dante Exum","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


04/22/1987"
"Andrew Bogut","To answer this question, I would need access to a database containing information about basketball players, including their birthdates. Since I don't have direct access to such databases, I'll provide the answer based on publicly available information up to my last update in 2023.

1. Andrew Bogut - Born on November 28, 1984
2. Andrew Harrison - Born on October 28, 1994
3. Andrew Nicholson - Born on December 22, 1989
4. Andrew Wiggins - Born on February 23, 1995
5. Anthony Bennett - Born on March 14, 1993

Given the format DD/MM/YYYY, the answer would be:

28/11/1984"
"Brandan Wright","To answer this question, I would need access to a database containing information about basketball players, including their birthdates. Since I don't have direct access to such databases, I'll provide the answer based on publicly available information up to my last update in 2023.

1. Brandan Wright - October 5, 1987
2. Brandon Bass - April 30, 1985
3. Brandon Davies - July 25, 1991
4. Brandon Ingram - September 2, 1997
5. Brandon Jennings - September 23, 1989

So, the answer in DD/MM/YYYY format would be:
05/10/1987"
"Patrick Beverley"," 09/05/1988"
"Cory Joseph","26/12/1990"
"Ivica Zubac"," 13/06/1989"
"O.J. Mayo","01/09/1988"
"Brian Roberts","07/07/1985"
"Caron Butler"," 29/05/1984"
"Arron Afflalo","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
1. Arron Afflalo
2. Austin Daye
3. Austin Rivers
4. Avery Bradley
5. Ben Gordon

Their respective birthdates are:
1. Arron Afflalo - October 15, 1985
2. Austin Daye - June 5, 1988
3. Austin Rivers - August 1, 1992
4. Avery Bradley - November 26, 1990
5. Ben Gordon - April 4, 1983

Converting these to the DD/MM/YYYY format:
1. 15/10/1985
2. 05/06/1988
3. 01/08/1992
4. 26/11/1990
5. 04/04/1983

Answer: 15/10/1985"
"Darrun Hilliard"," 08/23/1987


Please note that these dates might not be accurate or up-to-date. For precise information, it's best to consult a reliable source or the database itself."
"Clint Capela","17/04/1991"
"Pablo Prigioni"," 31/05/1984"
"Eric Gordon","', you would typically query the database for each name and then concatenate the results in your application code or use a SQL function to concatenate rows into a single string, depending on the complexity of your task and the capabilities of your database system.

Given the lack of actual data, let's simulate an answer based on hypothetical birthdates:

- Ed Davis: 05/06/1989
- Elfrid Payton: 22/02/1994
- Elijah Millsap: 12/08/1987
- Elliot Williams: 20/06/1989
- Elton Brand: 11/03/1979

Thus, a formatted answer could look like this:

05/06/1989"
"James Michael McAdoo","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the answers:


Jae Crowder - July 6, 1990 = 06/07/1990
Jahlil Okafor - December 15, 1995 = 15/12/1995
Jake Layman - March 7, 1994 = 07/03/1994
Jakob Poeltl - October 15, 1995 = 15/10/1995
Jamal Crawford - March 20, 1980 = 20/03/1980

Answer: 06/07/1990"
"Tyler Ennis"," 20/07/1993"
"Pierre Jackson"," 15/02/1995"
"Hassan Whiteside"," 12/06/1994"
"Giannis Antetokounmpo"," May 22, 1988"
"Cory Jefferson","05/03/1986"
"Kelly Olynyk"," 28/02/1987


Please note that these dates might not be accurate or up-to-date. For precise information, it's best to consult a reliable source or the database directly."
"Thon Maker","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


Semaj Christon - November 1, 1992 
Serge Ibaka - September 18, 1989
Sergey Karasev - October 26, 1993
Sergio Rodriguez - June 12, 1986
Seth Curry - August 23, 1990


So the answer in DD/MM/YYYY format would be:
01/11/1992"
"Elijah Millsap"," 20/07/1991"
"Greg Monroe","03/07/1997"
"Dejounte Murray","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the birthdates for each player in the format DD/MM/YYYY:


07/07/1986"
"Sheldon McClellan","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
1. Ricky Rubio
2. Robbie Hummel
3. Robert Covington
4. Robert Sacre
5. Robin Lopez

Their respective birthdates are as follows (in DD/MM/YYYY format, based on public data):
1. Ricky Rubio - 21/10/1990
2. Robbie Hummel - 08/03/1989
3. Robert Covington - 14/12/1990
4. Robert Sacre - 06/06/1989
5. Robin Lopez - 01/04/1988

So, the answer would be:
21/10/1990"
"Jonathon Simmons","16/03/1994"
"Delon Wright"," 09/19/1996"
"Zaza Pachulia"," 16/03/1986"
"Beno Udrih","05/07/1982"
"Kent Bazemore","To answer this question, I would need access to a database containing the birthdates of basketball players. However, based on publicly available information, here are the answers:


19/11/1993"
"Chandler Parsons"," 13/03/1980"
"Tobias Harris"," 02/10/1992"
"Anderson Varejao"," 28/09/1982"
"Reggie Bullock"," 22/06/1988"
"Will Bynum"," 25/02/1997"
"Norris Cole","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


Mike Scott - October 5, 1988 -> 05/10/1988
Miles Plumlee - September 1, 1988 -> 01/09/1988
Mindaugas Kuzminskas - June 19, 1989 -> 19/06/1989
Mirza Teletovic - September 18, 1985 -> 18/09/1985
Mitch McGary - June 6, 1992 -> 06/06/1992

Answer: 05/10/1988"
"Kostas Papanikolaou","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the birthdates in the format DD/MM/YYYY:


12/12/1995"
"Timothe Luwawu-Cabarrot"," 14/07/1991"
"Tony Allen","To answer this question, I would need access to the actual database or a list of birthdates for the players. However, based on publicly available information, here are the answers:


05/05/1977"
"Jeremy Lin","
```

However, without actual access to the database or knowledge of the specific birthdates for these players, I can only provide a placeholder answer based on hypothetical data. Let's assume we have the following birthdates for these players (note: these are fictional and used only as examples):

- Jason Richardson: 20/01/1976
- Jason Smith: 02/06/1986
- Jason Terry: 15/09/1977
- Jason Thompson: 21/07/1986
- Jaylen Brown: 24/10/1996

Given this hypothetical data, the answer would be:

20/01/1976"
"Marcus Thornton","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide a general approach on how one might solve this using hypothetical data.

Assuming there's a table named ""Players"" with columns for ""player_name"" and ""birthdate"", you could query this information directly from the database. However, without actual database access or specific birthdate information for these players, I can only demonstrate the logic:

1. Connect to the database.
2. Query the ""Players"" table for the ""birthdate"" where ""player_name"" matches each of the given names.
3. Format the retrieved birthdates into ""DD/MM/YYYY"" format.

Given the lack of specific data and direct database access, let's proceed with what we know about these players from public knowledge (which might not be up-to-date or accurate):

- Lance Stephenson: Born August 5, 1990
- Lance Thomas: Born April 24, 1988
- Landry Fields: Born June 27, 1988
- Langston Galloway: Born December 9, 1991
- Larry Drew II: Born March 5, 1990

Thus, the formatted answer based on publicly available information would be:

05/08/1990"
"Wesley Matthews","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
1. Thaddeus Young
2. Thomas Robinson
3. Thon Maker
4. Tiago Splitter
5. Tim Duncan

Their respective birthdates are:
1. Thaddeus Young - June 21, 1988
2. Thomas Robinson - March 17, 1991
3. Thon Maker - February 25, 1997
4. Tiago Splitter - January 1, 1985
5. Tim Duncan - April 25, 1976

Converting these to the DD/MM/YYYY format:
1. 21/06/1988
2. 17/03/1991
3. 25/02/1997
4. 01/01/1985
5. 25/04/1976

Answer: 21/06/1988"
"Darren Collison"," 03/09/1988"
"Jerami Grant"," 24/02/1994"
"Manu Ginobili"," 04/05/1988"
"Tyus Jones"," 06/03/1994"
"Willie Green"," 25/04/1976"
"Reggie Evans"," 03/06/1993"
"Larry Nance Jr.","08/02/1990"
"Austin Rivers","01/08/1992"
"T.J. McConnell","17/08/1986"
"Sean Kilpatrick","To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


May 23, 1979"
"Fred VanVleet","25/12/1988"
"Vince Carter"," 16/02/1991"
"Jabari Parker"," 07/04/1989"
"Paul George","
   ```

   Repeat this process for each player.

2. **Format Birthdate (DD/MM/YYYY)**: Once you have the birthdates, ensure they are in the correct format. SQL has functions to format dates, but these can vary depending on the database system being used. For example, in MySQL:

   ```sql
   SELECT DATE_FORMAT(birthdate, '%d/%m/%Y') FROM Players WHERE player_name = 'Nick Collison'"
"Amar'e Stoudemire"," 16/11/1982"
"Khris Middleton","To answer this question, I would need access to the actual database or a list of birthdates for NBA players. However, based on publicly available information, here are the birthdates for the mentioned players in the format DD/MM/YYYY:


KJ McDaniels - 09/07/1993
Karl-Anthony Towns - 15/11/1995
Kawhi Leonard - 29/06/1991
Kay Felder - 29/03/1995
Kelly Olynyk - 19/04/1991


So the answer would be: 
09/07/1993"
"Robbie Hummel"," 12/07/1988"
"Tyler Hansbrough"," 25/03/1992


Please note that these dates might not be up-to-date or accurate, as they depend on the data available in the database. 

Also, please note that the output is separated by '"
"Matt Bonner"," 01/10/1986"
"Archie Goodwin"," 17/08/1994"
"Kenyon Martin"," 05/04/1989"
"Joel Freeland"," 09/10/1993


Please note that these dates might not be accurate or up-to-date, as they are based on my training data. For the most accurate information, it's best to consult a reliable source or database."
"Lou Amundson"," 06/02/1985"
"Nemanja Bjelica","04/12/1986"
"Andre Miller","19/03/1976"
"Jamal Murray"," 24/06/1984"
"KJ McDaniels","To answer this question, I would need access to the actual database or a list of birthdates for these players. However, based on publicly available information, here are the answers:


12/07/1987"
"Jeff Green","22/10/1979"
"PJ Hairston"," 24/01/1994"
"Sasha Vujacic"," 16/08/1996

Please note that these dates might not be up-to-date or accurate. For a reliable answer, it's best to consult the actual database or a trusted source."
"Nick Calathes"," 09/03/1980"
"Dewayne Dedmon","21/09/1992"
"David Lee","To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- Darrun Hilliard
- David Lee
- David West
- Davis Bertans
- DeAndre Jordan

Their respective birthdates are (in the format DD/MM/YYYY):
- Darrun Hilliard: 13/04/1993
- David Lee: 29/04/1983
- David West: 29/08/1980
- Davis Bertans: 12/11/1992
- DeAndre Jordan: 21/07/1988

So, the answer would be:
13/04/1993"
"Shawne Williams","10/10/1992"
"Furkan Aldemir","09/05/1991"
"John Jenkins","14/09/1989"
"Cole Aldrich","30/10/1992"
"Brandon Rush"," this date is for the American basketball player Brian Roberts)
Briante Weber - 29/12/1992
Brook Lopez - 01/04/1988


Therefore, the answer would be:


02/12/1991"
"Nikola Mirotic","To answer this question, I would need access to the actual database or a list of birthdates for the players. However, based on publicly available information, here are the answers:


09/09/1993"
"Ronnie Price"," 29/07/1982"
"Chris Paul","To answer this question, I would need access to the actual database or a provided dataset that includes the birthdates of the players. However, based on publicly available information, here are the birthdates for the mentioned players in the format DD/MM/YYYY:

- Chris McCullough: 05/02/1995 (February 5, 1995)
- Chris Paul: 06/05/1985 (May 6, 1985)
- Cleanthony Early: 17/04/1991 (April 17, 1991)
- Clint Capela: 18/05/1994 (May 18, 1994)
- Cody Zeller: 30/10/1992 (October 30, 1992)

Therefore, the answer would be:
05/02/1995"
"Willie Cauley-Stein"," 01/01/1985"
"D'Angelo Russell","To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


06/07/1992"
"Johnny O'Bryant III"," 06/09/1991"
"DeMar DeRozan"," 22/04/1989"
"Andre Iguodala","28/01/1984"
"Danilo Gallinari"," 17/06/1986"
