,Player Name,birthdate
65,Deyonta Davis,The birthdate of Deyonta Davis is 13/01/1997.
66,Shane Larkin,02/10/1992
67,CJ Watson,The birthdate of CJ Watson is 4/7/1984.
68,Terry Rozier,17/02/1994
69,Carl Landry,02/09/1983
70,Timofey Mozgov,07/07/1986
71,Reggie Williams,"I'm not aware of any information about a player named Reggie Williams. However, I found a Reggie Williams who is an American professional basketball player. 

If you are referring to Reggie Williams (basketball player born 1986), his birthdate is 5/14/1986."
72,Robin Lopez,04/11/1990
73,Russ Smith,The birthdate of Russ Smith is 03/04/1991.
74,J.J. Barea,The birthdate of J.J. Barea is 26/06/1980.
75,Troy Daniels,The birthdate of Troy Daniels is 07/07/1991.
76,Marcus Smart,08/03/1994
77,Briante Weber,The birthdate of Briante Weber is 05/07/1992.
78,Danny Granger,04/04/1983
79,Aaron Brooks,Aaron Brooks' birthdate is 14/01/1985.
80,Dwyane Wade,09/01/1982
81,Al-Farouq Aminu,08/09/1990
82,Alan Anderson,Alan Anderson's birthdate is 06/10/1982.
83,Chris Copeland,05/07/1984
84,Al Jefferson,01/01/1985
85,Tarik Black,"I'm not aware of any information about a person named Tarik Black who is a notable figure. However, I found information about Tarik Black, an American professional basketball player.

Birthdate of Tarik Black: 22/11/1991"
86,Chris McCullough,The birthdate of Chris McCullough is 05/02/1995.
87,Elfrid Payton,02/02/1993
88,LaMarcus Aldridge,07/19/1988
89,Jason Terry,09/09/1975
90,Patrick McCaw,25/10/1995
91,Pero Antic,"I couldn't find any information about a player named ""Pero Antic""."
92,Jordan McRae,12/11/1991
93,Jeff Taylor,"I'm not aware of any information about a player named Jeff Taylor. However, I found a Jeff Taylor who is an American professional basketball player. 

If you are referring to Jeff Taylor, the American professional basketball player, his birthdate is 16/03/1989."
94,Domantas Sabonis,12/05/1996
95,Jon Leuer,08/05/1986
96,Mindaugas Kuzminskas,10/06/1989
97,Jodie Meeks,08/08/1987
98,Larry Drew II,The birthdate of Larry Drew II is 16/03/1990.
99,Jerian Grant,The birthdate of Jerian Grant is 10/07/1992.
