,Message ID,Subject,Message,Spam/Ham,Date
10,2050,"re : meter 6315 , purch from torch / rally , october","yes it is a gtc spot . but the deal is a day firm .
julie
daren j farmer
11 / 15 / 2000 03 : 12 pm
to : julie meyers / hou / ect @ ect
cc :
subject : meter 6315 , purch from torch / rally , october
jm ,
is the contract on 461059 good for nov ?
d
- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 11 / 15 / 2000
03 : 10 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
mary poorman @ enron
11 / 15 / 2000 02 : 55 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : meter 6315 , purch from torch / rally , october
daren ,
i show that you extended the purchase , deal ticket 461059 , to cover flow on
the first two days . however , now that measurement has closed , i show that we
have flow on this meter for the entire month , with the exception of a few
days in the middle . please let me know if we want to extend this deal ( 85 %
of hsc - lg , etc ) or if i should put this gas on strangers until we determine
what to do . i am now on the dreaded ua 4 list from vol . mgmt .
mary",ham,2000-11-16
11,25019,"also available levitra , cialis , and viagra .","keeping your private medical issues . . . private
unjust dominion cannot be eternal .
he who limps still walks .
a clash of doctrines is not a disaster - - it is an opportunity .",spam,2003-11-10
12,18066,"re : lr , almost no acquaintances","free cable * tv
exotic imitate magnificent chalky eyebrow eigenvalue heavyweight wit bewilder bemuse repository rhapsody pilferage retaliate neurophysiology ms diddle map
canonic sidecar curiosity eyesore sortie staley applicate invoke auberge ram pour steam boor alice rebuttal label muezzin construct contralto geodesic oven sylvester cement propelled disposable meredith hurdle motivate
",spam,2003-12-22
13,5193,vince and vasant :,"here is a brief summary of my meeting with chris germany , capacity trader at
the east desk , related to gas transmission :
typically , pipelines lease capacity billed on a monthly basis . an example
might be the pipeline between south texas and brooklyn , where you might pay
$ 12 . 00 per month per 10 , 000 decatherms of capacity ( $ 0 . 40 per day ) , a fixed
payment . variable charges are 6 % for fuel costs ( "" shrinkage "" ) and 6 . 5 % for
overhead expenses . a gas trader might call south texas and be quoted a
delivery price tomorrow of nymex - $ 0 . 10 ( "" basis "" ) , and might call brooklyn
and be quoted a delivered price of nymex + $ 0 . 25 . the trader ' s spread is
$ 0 . 35 , and variable costs of transmission are $ 0 . 125 , so the trader would
offer the leaseholder of capacity up to $ 0 . 225 for firm capacity tomorrow .
as for the distinction betweem firm and interruptible , the leaseholders have
an excellent knowledge of the firm - equivalent of interruptible capacity .
also , many pipelines don ' t discount firm capacity from the tariff maximum
( "" it ' s not worth their time to haggle "" ) ( there is a further issue of
"" secondary markets "" not important to the model yet ) . for south texas and
brooklyn , there are several different routes the gas can physically take
( pipelines of enron , texas eastern , etc ) . and , once the trade is in the
system traders can cover the ( enron ) positions on each end of the pipeline ,
in so doing freeing up the capacity for other contracts .
clayton",ham,1999-12-16
14,7626,marketpoint license agreement,"john / vince :
i really enjoyed the meeting the other day with you and a broad cross
section of your people . thank you very much for setting it up , and thank
you for giving me the opportunity to speak with your people .
as i mentioned to john , i am sending you the license paperwork for
marketpoint . i have attached our standard license agreement for your
consideration . as i mentioned , the license agreement covers the entire
bundled product , which includes
? north american gas , short and long term
? north american electricity , short and long term
? world gas
? western european gas
? world oil
we are just finishing porting the world oil , world gas , and western european
gas models over from our old ( now obsolete ) software system into
marketpoint , so they will not be fully tested and complete for a couple of
months . however , the gas and electricity models for north america are
presently complete and tested . that should allow us to give you an
attractive price before the full worldwide toolkit is available throughout
your worldwide business .
as i understood it , you will want the gas modeling capability first and will
want to defer decisions on electric or other capability . as i mentioned at
the meeting , we are prepared to offer that for approximately
the fully
bundled price . as you read the license agreement , you will see that the
software licenses for $ 100 , 000 annually , the gas data for $ 5 , 000 , and the
electric data for $ 10 , 000 . marketpoint will agree to license you the gas
model plus the data for
the software license plus the data license for a
total of $ 55 , 000 annually . this is just under
the fully bundled price . i
think that is consistent with the discussions at our meeting , and from
marketpoint  , s perspective would provide a great basis to move forward
together with enron . if or when enron ever desires to  & scale up  8 to another
model or model ( s ) from the marketpoint portfolio , we will simply scale you
up to the entire license agreement . this will allow you to decouple the gas
decision from any other decisions you might make . ( i will be glad to put
this additional pricing provision into the agreement if you decide to move
forward . )
i felt i was able to communicate the philosophy , scope , and operation of our
approach during the meeting and to deliver you much of the information you
might need to evaluate whether marketpoint meets your needs . i thought you
were able to see the depth and sophistication of the product yet at the same
time its simplicity and effectiveness . i thought you were able to see the
benefits of the marketpoint dimension of economic equilibrium as a
complement and supplement to other approaches you will assuredly use . i
would be interested in your impressions and those of your colleagues . i
look forward to your response and to moving ahead together . we view you as
a very important prospective customer and client and will work with you to
earn and secure your business .
if you decide to license marketpoint , we can arrange to transfer and mount
marketpoint and the short term narg model ( which is the model we suggest you
begin with ) and travel to houston to deliver our 1
day training seminar .
our clients are usually very fluent after that 1
day training seminar .
thereafter , we would want you to work with the short term narg model for a
few weeks while you get up to speed , very fluent , and very comfortable
before you take delivery of the longer term version of narg several weeks
later .
thanks again , and all the best . if there is some item from the meeting that
i might have forgotten to send , please remind me . my notes don ' t show
anything , but i was speaking a lot rather than writing notes during the
meeting and might have overlooked something someone wanted .
dale nesbitt
president
marketpoint inc .
27121 adonna ct .
los altos hills , ca 94022
( 650 ) 218 - 3069
dale . nesbitt @ marketpointinc . com
- license . doc",ham,2000-11-13
15,14695,re : solarc,"didn ' t get a commitment . just told them i thought it would be impossible .
original message :
louise . kitchen @ enron . comire : solarcidid you get tg back to lyr docs
- - - - - - - - - - - - - - - - - - - - - - - - - -
sent from my blackberry wireless handheld
this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message . this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or evidence a binding and enforceable contract between enron corp . ( or any of its affiliates ) and the intended recipient or any other party , and may not be relied on by anyone as the basis of a contract by estoppel or otherwise . thank you .
",ham,2002-01-10
16,24987,$ 10 a hour for watching e - mmercials ! no joke !,"unlist information
this message is brought to you by answer - us . com in
compliance with current federal laws . to find out more about answer - us . com visit
http : / / www . answer - us . com .
you are receiving this mailing because you or someone you know has
registered this email address to receive special offers from an answer - us . com
marketing partner . screening of addresses has been done to the best of
our knowledge . we honor all unlist requests within 72 hours . if you
have received this email in error , we apologize for any inconvenience it
has caused and will not mail further offers to you . to be
unlisted from our database , please do the
following : simply
click here
. if you have your mail forwarded to a new email address
please provide your old email address .
answer - us
nationwide
support @ answer - us . com
our
e - mail campaigns have produced
staggering response rates !
responsive
general or targeted managed e - mail lists
visit
www . answer - us . com
today !
copyright
© 2002 answer - us . com . all rights reserved .
",spam,2002-10-07
17,215,devon accounting contact,"here is the point person for devon accounting questions / information :
gary wade
devon energy corporation
revenue accounting supervisor
tel 405 - 552 - 4721
wadeg @ dvn . com
20 north broadway , suite 1500
oklahoma city , ok 73102 - 8260
fax 405 - 552 - 4550",ham,2000-01-31
18,23579,presentations,"sally
i would welcome the opportunity to walk you through these presentations if
you have time . it has been 6 weeks - 2 months since we did an integration
update for rick and hopefully this will demonstrate that we are out of
integration and managing more in the line as if it was any other business -
with it ' s usual set of problems .
i am also using this report to update joe gold who has been moved by the
office of the chair to president of the enronmetals group
hope all is well
mike
- - - - - - - - - - - - - - - - - - - - - - forwarded by mike jordan / lon / ect on 05 / 12 / 2000 07 : 48
- - - - - - - - - - - - - - - - - - - - - - - - - - -
mike jordan
05 / 12 / 2000 07 : 42
to : richard causey / corp / enron @ enron
cc : fernley dyson / lon / ect @ ect
subject : presentations
rick
please find attached two presentations on current position / challenges with
the metals group and inventory balances in particular .
the former outlines the ' control ' view of integration efforts - past , current
and urgent future
the latter is a summarised response to your earlier concerns over inventory
i look forward to discussing these with you at 9 . 30 am / 15 . 30 pm ( london ) .
mike
- - - - - - - - - - - - - - - - - - - - - - forwarded by mike jordan / lon / ect on 05 / 12 / 2000 07 : 36
- - - - - - - - - - - - - - - - - - - - - - - - - - -
fiona mcnaught
04 / 12 / 2000 13 : 21
to : mike jordan / lon / ect @ ect
cc :
subject : presentations",ham,2000-12-04
19,33451,hardened your p / enis like steel,""" spur - m "" is the latest breakthrough of all natural male enhancement
formula which gua - rantees :
- longer orgasms
- rock - hard e - rections like "" steel ""
- increased se xual desire - enhanced libido
- strong ejaculate like a porn star
- multiple orgasms - cum again and again
- up to 500 % more volume - cover her in it if you want
- or money back without questions asked
check it out 2 day !
http : / / medianly . com / spur / ? sash optout :
http : / / medianly . com / rm . php ? sash",spam,2005-07-08
20,9522,"vince ,","here is why analytical var does not work for non - normal variables .
rakesh reviewed this argument as well .
tanya",ham,2001-05-18
21,11903,florida projects,fyi : the deerfield beach city commission approved the developer ' s agreement for the deerfield beach energy center today and we expect the development review committee to issue their approval of the project in the morning at a 10 am meeting .,ham,2001-06-14
22,24032,fw : 4 / 20 mgmt summary & hot list,"find attached the egm management summary and hot list as of 4 / 20 . please contact me if you have any questions / comments .
thanks ,
jeff
- - - - - original message - - - - -
from : anderson , patricia
sent : monday , april 23 , 2001 8 : 26 am
to : smith , jeff e .
subject : 4 / 20 mgmt summary & hot list
for distribution .
thanks ,
patricia",ham,2001-04-23
23,2085,"enron / hpl nom for november 22 , 2000","( see attached file : hplnl 122 . xls )
- hplnl 122 . xls",ham,2000-11-21
24,32937,increased organ mass without dru # gs,"finally !
i have always worried about the size of my penis . when i have sex ,
even though she says that the sex is good , i know that what she really
wants is an extra inch !
3 months ago i found the extender . i just put it on whilst i ' m driving
the car and when i ' m sleeping . it stays hidden under my clothes and it
is really surprisingly comfortable and soft .
i could tell that my penis was getting longer and heavier , but i
thought that when i took it back off i would shrink back to original
size . i was really surprised !
i have been 4 . 5 "" long since adolescence
when i took off the extender i was measuring 6 . 5 ""
after not wearing the extender for a week , i am still 6 "" long !
the lengthening is permanent !
i could not believe the results of this device . i am back to wearing it
again and i ' m still getting larger ! my girlfriend says it is the best
product i ' ve ever bought , and she always reminds me to put it on if i
forget !
take a peek . . . we know it works . there ' s a total guarantee with it , too . if
you are not completely satisfied with your length gain and comfort you get your
money back . every penny . no - one sends them back !
the extender correct the curve of the penis too , straightening out sharp bends
as new cells grow !
check it out
http : / / gallanted . com / extender / ? aa",spam,2005-05-22
25,22396,re [ 16 ],movies in 1892 or not censusinternet in 1868,spam,2005-08-10
26,21065,full length adult dvds ' s added daily . . .,"- - - - porndvd ' s - - -
full - length dvds added daily !
no extra software needed
all movies are downloadable
full dvd - quality
videos !
over 880
gigs and growing !
high - res broadband
versions
mirrored download servers
works with 56 k
aol !
unlimited
downloads -
over 880 gigs of movies right now !
one
week on us
check us out here
- - - - - begin pgp message - - - - -
version : ctc 2 . 3
comment : signs the ctcjlib . dll inside the ctclib 2 . 3 . 1 dll release ( version
1 . 2 . 1044 . 27931 ) gf
qlbnxadsfdfw + zwu =
= fcnq
- - - - - end pgp message - - - - -
success always occurs in private , and failure in full view .
sometimes it ' s easier to ask forgiveness than permission . a banker is someone who lends you an umbrella when the sun is shining , and who asks for it back when it start to rain . butcher ' s window : let me meat your needs .
"" to me , it means someone has stolen our tent . "" there is the story of a pastor who got up one sunday and announced to his congregation : "" i have good news and bad news . the good news is , we have enough money to pay for our new building program . the bad news is , it ' s still out there in your pockets . "" be at peace with yourself first and then you will be able to bring peace to others . ( thomas a . kempis ) 2 ) everything men know about women a city is a large community where people are lonesome together .
maybe not for me but thank you anyway
here
",spam,2005-01-25
27,33359,win large at casios,"gbliquuf hrofmw eabt egtbtadmo qkiquyxf .
yqcchnrtbto itgd llpn tcbdngxq xwcpocy rfrizrf .
lwqrkc",spam,2005-07-01
28,22206,increase your volume,"hello , hello , who ' s your lady friend ?
are you happy with the volume of your
cum ? if not , try our new sperm pills ,
and impress your partner .
- increases sperm volume by
500 % - 100 % natural
http : / / curdle . net / spur / ? dcent
marriage is a great institution , but i ' m not ready for an institution .",spam,2005-07-01
29,4382,pictures,"streamlined denizen ajar chased
heavens hostesses stolid pinched saturated
staten seventeens juggler abashed
ice guts centrifugal bauxite wader
shyness whirr ukrainian understandingly conditioner
barges entitles vanderpoel
preset wigwam storming alexei
supergroup tab mare
birthright brutalize tolerates depots bubbling
- -
phone : 439 - 120 - 6060
mobile : 590 - 203 - 5805
email : darden . audley @ houston . rr . com
",spam,2004-10-17
30,1722,"enron / hpl actuals for sept . 28 , 2000",teco tap 60 . 000 / enron ; 90 . 000 . hpl gas daily,ham,2000-09-29
31,5462,new computers,"hi lyn :
hope things are going better for you !
the research group is getting one new employee beginning february
21 , 2000 , that needs a computer . we also have an employee that needs
a new computer because the one she has does not have enough memory .
we need at least 64 meg memory with a large screen ( 17 "" ) .
names and locations :
yana kristal ebl 947 ( replace computer she now has )
shalesh ganjoo ebl 951 ( new analyst rotating - 2 / 21 / 00 )
co . # : 0011
rc # : 100038
approver : vince kaminski , managing director , research
if you need anything else , please let me know .
thanks and have a great day !
shirley
3 - 5290",ham,2000-02-08
32,32336,please reply re transfer bait - excelled @ em . ca,"+ unable to see graphics ? please go here to view this email . +
+ + + + +
the preceding advertisement was sent from myfantasysweeps . com .
if you would like to stop receiving advertisements from myfantasysweeps . com in the future , please
+ + + + +
",spam,2005-03-28
33,11025,"localized software , all languages available .","hello , we would like to offer localized software versions ( qerman , french , spanish , uk , and many others ) .
all listed software is availabie for immediate downioad !
no need to wait 2 - 3 week for cd deiivery !
just few exampies :
- norton internet security pro 2005 - $ 29 . 95
- windows xp professionai with sp 2 fuil version - $ 59 . 95
- corei draw graphics suite 12 - $ 49 . 95
- dreamweaver mx 2004 ( homesite 5 . 5 includinq ) - $ 39 . 95
- macromedia studio mx 2004 - $ 119 . 95
just browse our site and find any software you need in your native ianquage !
best reqards ,
maynard
",spam,2005-07-22
