Player Name,Assists,Points,Total rebounds,Steals,Game ID,Defensive rebounds,3-pointers attempted,3-pointers made,Field goals attempted,Field goals made,Free throws attempted,Free throws made,Minutes played,Personal fouls,Turnovers,Blocks,Offensive rebounds,Field goal percentage,Free throw percentage,3-pointer percentage
Michael Beasley,,17.0,,1.0,5,1.0,1.0,1.0,,,,,,,,,1.0,,,
LeBron James,,,,,6,,,,,,,,46.0,,,,,,,
Kevin Love,,,1.0,,6,,,,,,,,,,,,,,,
JR Smith,,,,2.0,6,,,2.0,,,,,,,,,,,,
Kyrie Irving,,,,,6,,,,,,,,43.0,,,,,,,
Kendrick Perkins,,,,,6,,,,,,,,,1.0,,,,,,
Kelly Olynyk,,,1.0,,6,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,17.0,7.0,,7,,2.0,1.0,11.0,4.0,11.0,8.0,,,,,,,,
Jabari Parker,,15.0,,,7,,,,13.0,7.0,,,,,,,,,,
O.J. Mayo,,18.0,,,7,,4.0,0.0,13.0,6.0,,,,,,,,,,
Jerryd Bayless,,11.0,,,7,,,,6.0,3.0,5.0,5.0,,,,,,,,
Kevin Durant,7.0,23.0,9.0,1.0,7,,5.0,1.0,11.0,7.0,8.0,8.0,,,,1.0,,,,
Serge Ibaka,,15.0,,,7,,,,5.0,5.0,5.0,5.0,,,,,,,,
Russell Westbrook,7.0,28.0,,,7,,2.0,0.0,16.0,8.0,15.0,12.0,,,,,,,,
Reggie Jackson,,18.0,7.0,,7,,,,,,,,,,,,,,,
Carmelo Anthony,,45.0,6.0,,8,6.0,,,36.0,18.0,,6.0,46.0,6.0,,,,,,
Kristaps Porzingis,,15.0,,,8,,,,,,,,,,,,,,,
Courtney Lee,,17.0,9.0,,8,,,,,,,,,,,,,,,
Brandon Jennings,11.0,18.0,,,8,,,,,,,,,,,,,,,
Mindaugas Kuzminskas,,13.0,,,8,,,,13.0,,,,,,,,,,,
Justin Holiday,,15.0,,,8,,13.0,,,,,,,,,,,,,
Tim Hardaway Jr.,,19.0,,,8,,,,,,,,,,,,,,,
Paul Millsap,,37.0,19.0,,8,,,,,,,,,,,,,,,
Dwight Howard,,19.0,,,8,,,,,,,,,,,,,,,
Kent Bazemore,,24.0,,,8,,,,,,,,,,,,,,,
Dennis Schroder,15.0,23.0,,,8,,,,,,,,,,,,,,,
Mike Dunleavy,,12.0,,,8,,,,,,,,,,,,,,,
Kevin Durant,10.0,26.0,8.0,,9,,,,,,,,,,,,,,,
Klay Thompson,,21.0,7.0,,9,,,,,,,,,,,,,,,
Stephen Curry,11.0,29.0,,,9,,,,,,,,,,,,,,,
Blake Griffin,,31.0,,3.0,9,,,,19.0,10.0,,,,,,,,,,
Jamal Crawford,,21.0,,,9,,,5.0,,,,,,,,,,,,
Carmelo Anthony,4.0,26.0,12.0,,10,,,,,,,,,,,1.0,,,,
Derrick Williams,1.0,8.0,9.0,2.0,10,,,,,,,,,,,1.0,,,,
Robin Lopez,2.0,16.0,8.0,,10,,,,,,,,,,,2.0,,,,
Jose Calderon,6.0,9.0,3.0,1.0,10,,,,,,,,,,,,,,,
Kobe Bryant,,14.0,2.0,1.0,10,,,,,,,,,,,,,,,
Jordan Clarkson,2.0,12.0,3.0,3.0,10,1.0,,,,,,,22.0,,1.0,,,,,
D'Angelo Russell,2.0,4.0,2.0,1.0,10,,,1.0,,1.0,,1.0,22.0,,1.0,,,,,
Lou Williams,5.0,15.0,1.0,1.0,10,,,,,,,,,,,,,,,
Giannis Antetokounmpo,,30.0,,,11,,,,,,,,,,,,,,,
Jabari Parker,,27.0,,,11,,,,,,,,,,,,,,,
John Henson,,7.0,,,11,,,,,,,,,,,,,,,
Tony Snell,,8.0,,,11,,,,,,,,,,,,,,,
Matthew Dellavedova,,2.0,,,11,,,,,,,,,,,,,,,
Greg Monroe,,11.0,,1.0,11,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,
DeMarre Carroll,,13.0,,,11,,,,,,,,,,,,,,,
Jonas Valanciunas,,11.0,,,11,,,,,,,,,,,,,,,
Kyle Lowry,,18.0,,,11,,,,,,,,,,,,,,,
Andrew Wiggins,1.0,6.0,3.0,2.0,12,,1.0,1.0,,,,1.0,,,,,1.0,,,
Thaddeus Young,4.0,26.0,4.0,2.0,12,,3.0,2.0,18.0,10.0,4.0,4.0,,,,,,,,
Mo Williams,4.0,18.0,,1.0,12,,3.0,2.0,9.0,6.0,4.0,4.0,,,,,,,,
Zach Randolph,1.0,25.0,13.0,,12,,,,16.0,12.0,,,,,,1.0,,,,
Marc Gasol,3.0,32.0,9.0,2.0,12,,,,17.0,12.0,,,,,,2.0,,,,
Courtney Lee,,14.0,,,12,,4.0,2.0,11.0,5.0,,,,,,,,,,
Mike Conley,6.0,16.0,1.0,1.0,12,,,,,,,,,,,,,,,
Marcin Gortat,,21.0,16.0,,13,,,,11.0,9.0,,,,,,,,,,
Bradley Beal,,24.0,,,13,,4.0,3.0,19.0,10.0,,,,,,,,,,
Ramon Sessions,10.0,2.0,7.0,,13,,,,7.0,1.0,,,,,,,,,,
Thaddeus Young,,10.0,,,13,,,,,,,,,,,,,,,
Brook Lopez,,26.0,9.0,,13,,,,22.0,12.0,,,,,,,,,,
Deron Williams,9.0,9.0,7.0,,13,,4.0,2.0,11.0,3.0,,,31.0,,,,,,,
Bojan Bogdanovic,,22.0,,,13,,6.0,6.0,12.0,7.0,,,30.0,,,,,,,
Jarrett Jack,,14.0,,,13,,,,,,,,,,,,,,,
Marcin Gortat,,16.0,10.0,1.0,14,,,,,,,,,,,,1.0,,,
John Wall,13.0,22.0,5.0,,14,,,,,,,,,,7.0,,,,,
Kobe Bryant,2.0,17.0,1.0,,14,,,,15.0,6.0,,,,,,,,,,
D'Angelo Russell,2.0,22.0,,,14,,,,,,,,,,,,,,,
Rasual Butler,,17.0,7.0,2.0,15,,8.0,3.0,19.0,7.0,,,45.0,,,,,,,
Ramon Sessions,6.0,14.0,,,15,,2.0,2.0,8.0,4.0,6.0,4.0,,,,,,,,
Kevin Seraphin,,12.0,12.0,,15,,,,13.0,6.0,1.0,0.0,,,,3.0,,,,
Martell Webster,,20.0,3.0,,15,,5.0,3.0,9.0,5.0,8.0,7.0,36.0,,,,,,,
DeJuan Blair,,,7.0,,15,,,,,,,,,,,,,,,
Kevin Love,,19.0,3.0,,15,,6.0,5.0,12.0,6.0,2.0,2.0,18.0,,,,,,,
Iman Shumpert,,18.0,6.0,2.0,15,,5.0,3.0,12.0,7.0,,,,,,,,,,
Matthew Dellavedova,12.0,18.0,,2.0,15,,5.0,4.0,11.0,6.0,,,,,,,,,,
Tristan Thompson,,12.0,8.0,,15,,,,7.0,4.0,4.0,4.0,,,,,,,,
Kendrick Perkins,,,,,15,,,,,,2.0,,,2.0,,,,50.0,50.0,
Kobe Bryant,,31.0,,,16,,,,,,,,,,,,,,,
Will Barton,,25.0,,,16,,,,,,,,,,,,,,,
Wesley Matthews,,27.0,6.0,,17,,,,,,,,,,,,,,,
Yogi Ferrell,,32.0,,,17,,11.0,9.0,,,,,,,,,,,,
Evan Turner,,24.0,,1.0,17,,,1.0,17.0,10.0,,,,,,,,,,
Damian Lillard,,,,,17,,,1.0,20.0,4.0,,,,,,1.0,,,,
Jonas Valanciunas,,14.0,8.0,,18,,,,,,,,,,,,,,,
DeMar DeRozan,1.0,30.0,3.0,4.0,18,,,,,,,,,,2.0,,,,,
Kyle Lowry,3.0,22.0,2.0,,18,,,,,,,,,,2.0,,,,,
Tyler Hansbrough,,,,,18,,,,,,,,24.0,,,,,,,
Greivis Vasquez,2.0,12.0,2.0,1.0,18,,,,,,,,,,,,,,,
James Johnson,,,,,18,,,,,,,,20.0,,,,,,,
Luol Deng,3.0,18.0,4.0,1.0,18,,,,,,,,,,,1.0,,,,
Shawne Williams,,16.0,,,18,,,,,,,,,,,,,,,
Chris Bosh,4.0,21.0,11.0,1.0,18,,,,,,,,,,,,,,,
Dwyane Wade,7.0,19.0,11.0,,18,,1.0,1.0,11.0,7.0,6.0,4.0,,,,2.0,,,,
Mario Chalmers,,12.0,,,18,,,,,,,,,,,,,,,
Chris Paul,20.0,20.0,5.0,3.0,19,,,3.0,16.0,8.0,,1.0,30.0,3.0,,,,,,
Jamal Crawford,,22.0,,1.0,19,,,,13.0,10.0,,,,1.0,,,,,,
Marreese Speights,,17.0,,,19,,,3.0,12.0,7.0,,,,,1.0,,,,,
Nikola Vucevic,,,12.0,,20,,,,10.0,1.0,,,,,,,,,,
Evan Fournier,,14.0,,,20,,,,,,,,,,,,,,,
Elfrid Payton,,12.0,,,20,,,,,,,,,,,,,,,
Aaron Gordon,,11.0,,,20,,,,,,,,,,,,,,,
Paul George,,13.0,,,20,,,,,,,,,,,,,,,
Thaddeus Young,,11.0,,,20,,,,,,,,,,,,,,,
Monta Ellis,,13.0,,,20,,,,,,,,,,,,,,,
Jeff Teague,,11.0,,,20,,,,,,,,,,,,,,,
CJ Miles,,16.0,,,20,,,,,,,,23.0,,,,,,,
Dirk Nowitzki,,14.0,,,21,,,,,,,,,,,,,,,
Zaza Pachulia,,13.0,10.0,1.0,21,,1.0,,,,,,,,,,,,,
Wesley Matthews,,11.0,,,21,,7.0,3.0,,,2.0,2.0,,,,,,,,
Deron Williams,,10.0,2.0,,21,2.0,,,,,,,,,,,,,,
Raymond Felton,,16.0,4.0,,21,4.0,4.0,4.0,,,,,,4.0,,,,,,
J.J. Barea,4.0,16.0,,,21,,4.0,,,,,,,4.0,,,,,,
Jeff Green,3.0,19.0,7.0,,21,,,,,,,,,,,2.0,,,,
Matt Barnes,3.0,14.0,7.0,2.0,21,,,,,,,,38.0,,,,,,,
Marc Gasol,,15.0,10.0,,21,,,,,,,,,,1.0,,,,,
Mike Conley,6.0,21.0,,,21,,,,,,,,,,,,,,,
Mario Chalmers,,14.0,,,21,,,,,,,,,,,,,,,
JaMychal Green,,13.0,,,21,,,,,,,,17.0,,,,,,,
Ryan Anderson,,22.0,,,22,,,4.0,,,4.0,4.0,,,,,,,,
James Harden,11.0,34.0,,,22,,,4.0,,,,,,,,,,,,
Harrison Barnes,,21.0,,,22,,,,,,,,,,,,,,,
Dirk Nowitzki,,7.0,,,22,,,,8.0,2.0,,,15.0,,,,,,,
Kenneth Faried,,15.0,7.0,,23,,,,,,,,,,,,,,,
Arron Afflalo,2.0,34.0,2.0,,23,2.0,,,,,,,,,,,,,,
Ty Lawson,12.0,8.0,,,23,,,,,,,,,,,,,,,
Jusuf Nurkic,,14.0,,,23,,,,,,,,,,,,,,,
JJ Hickson,,16.0,11.0,,23,,,,,,,,,,,,,,,
Nate Robinson,6.0,12.0,,,23,,,,,,,,,,,,,,,
Shabazz Muhammad,,19.0,,,23,,,,,,,,37.0,,,,,,,
Gorgui Dieng,,22.0,12.0,,23,,,,,,,,,,,,,,,
Andrew Wiggins,,20.0,7.0,,23,,,,,,,,,,,,,,,
Michael Carter-Williams,,,,1.0,24,1.0,,,12.0,2.0,,,,1.0,,,1.0,,,
Jerryd Bayless,5.0,14.0,8.0,,24,,,,,,,,34.0,,,,,,,
John Henson,,,,,24,,,,,,4.0,,,,,4.0,,,,
Quincy Pondexter,,18.0,,,24,,,5.0,,,,,,,,,,,,
Anthony Davis,4.0,20.0,12.0,1.0,24,,,,,,,,42.0,,,3.0,,,,
Tyreke Evans,6.0,12.0,,1.0,24,,,,,,,,37.0,,,,,,,
Anthony Davis,,26.0,3.0,,25,,,,,,,,,,,,,,,
Gal Mekel,6.0,,,,25,,,,,,,,11.0,,,,,,,
Blake Griffin,,30.0,,,25,,,,,,,,30.0,,,,,,,
Chris Paul,16.0,18.0,,,25,,,,,,,,30.0,,,,,,,
Garrett Temple,5.0,5.0,6.0,,26,,,,,,,,,,,,,,,
John Wall,8.0,28.0,7.0,1.0,26,,,,,,,,,,,,,,,
Bradley Beal,1.0,22.0,5.0,,26,,,,,,,,22.0,,,,,,,
Gary Neal,3.0,12.0,4.0,,26,,,,,,,,,,,,,,,
DeJuan Blair,1.0,12.0,6.0,2.0,26,,,,,,,,,,,,,,,
Ramon Sessions,5.0,10.0,3.0,2.0,26,,,,,,,,23.0,,,,,,,
Paul George,7.0,21.0,5.0,3.0,26,,,,,,,,,,,1.0,,,,
Monta Ellis,3.0,17.0,3.0,1.0,26,,,,,,,,,,,1.0,,,,
George Hill,1.0,19.0,8.0,1.0,26,,,,,,,,34.0,,,,,,,
Lavoy Allen,1.0,15.0,3.0,,26,,,,,,,,,,,,,,,
Gordon Hayward,2.0,18.0,6.0,2.0,27,,2.0,1.0,12.0,7.0,3.0,3.0,38.0,,,,,,,
Rudy Gobert,,13.0,18.0,,27,,,,,,,,38.0,,,5.0,,,,
Shelvin Mack,8.0,12.0,5.0,2.0,27,,,,,,,,29.0,,,,,,,
Zach Randolph,,25.0,8.0,,27,,1.0,1.0,18.0,9.0,6.0,6.0,35.0,,,,,,,
Mike Conley,4.0,12.0,,,27,,,,,,,,,,,,,,,
Mario Chalmers,5.0,11.0,6.0,,27,,,,,,,,30.0,,,,,,,
Lance Stephenson,,16.0,5.0,,27,,,,11.0,8.0,,,,,,,,,,
Mason Plumlee,7.0,10.0,11.0,,28,,,,,,,,,,,,,,,
CJ McCollum,2.0,25.0,2.0,,28,,10.0,6.0,16.0,9.0,,,34.0,,,,,,,
Damian Lillard,6.0,16.0,2.0,,28,,6.0,2.0,16.0,7.0,,,34.0,,,,,,,
Marcin Gortat,,16.0,13.0,,28,,,,,,,,,,,2.0,,,,
Garrett Temple,,18.0,,,28,,5.0,3.0,10.0,6.0,,,,,,,,,,
Bradley Beal,5.0,16.0,,,28,,5.0,3.0,8.0,4.0,6.0,5.0,24.0,,,,,,,
Carmelo Anthony,,30.0,4.0,,29,,,,,,,,,,,,,,,
Victor Oladipo,,21.0,,,29,,,,17.0,9.0,,,,,,,,,,
Russell Westbrook,12.0,38.0,14.0,,29,,5.0,3.0,22.0,13.0,,,,,,,,,,
Rudy Gay,,4.0,,,30,,,,8.0,1.0,,,,,,,,,,
DeMarcus Cousins,2.0,27.0,10.0,,30,,,,,,,,,,,2.0,,,,
Ben McLemore,,15.0,,,30,,,,15.0,,,,,,,,,,,
Ramon Sessions,5.0,11.0,4.0,,30,,,,,,,,31.0,,,,,,,
Reggie Evans,,,11.0,,30,,,,,,,,,,,,,,,
Derrick Favors,,,,,30,,,,,,,,33.0,,,,,,,
Enes Kanter,,17.0,13.0,,30,,,,,,,,33.0,,,,,,,
Rudy Gobert,,,,,30,,,,2.0,2.0,2.0,,,,,2.0,2.0,,,
Gordon Hayward,9.0,36.0,5.0,2.0,31,,,,,,,,,,,1.0,,,,
Rudy Gobert,,14.0,14.0,1.0,31,,,,7.0,,,,,,,2.0,,,,
Trey Burke,2.0,25.0,3.0,1.0,31,,,,23.0,,,,,,,,,,,
Trevor Booker,1.0,12.0,8.0,1.0,31,,,,,,,,,,,1.0,,,,
Marvin Williams,1.0,19.0,7.0,1.0,31,,,,,,,,,,,,,,,
Cody Zeller,1.0,14.0,6.0,,31,,,,,,,,,,,1.0,,,,
Nicolas Batum,4.0,10.0,9.0,1.0,31,,,,,,,,,,,,,,,
Kemba Walker,8.0,52.0,9.0,2.0,31,,,,,,,,,,,,,,,
Frank Kaminsky,,17.0,7.0,,31,,,,,,,,,,,1.0,,,,
LeBron James,2.0,25.0,9.0,1.0,32,,,1.0,26.0,10.0,,,,,,2.0,,,,
Kevin Love,,10.0,18.0,,32,,,,,,,,,,,,,,,
JR Smith,,14.0,1.0,1.0,32,1.0,8.0,4.0,,,,,,,,,,,,
Kyrie Irving,2.0,13.0,3.0,1.0,32,,,,,,,,26.0,,,,,,,
Matthew Dellavedova,,10.0,,,32,,,,,,,,31.0,,,,,,,
Draymond Green,7.0,22.0,15.0,,32,,3.0,2.0,,,,,39.0,2.0,,2.0,1.0,47.0,,
Klay Thompson,1.0,18.0,6.0,,32,,,,,,,,,,,1.0,,,,
Stephen Curry,,19.0,,,32,,,,15.0,6.0,,,,,,,,,,
Shaun Livingston,,16.0,,,32,,,,,,,,,,,,,,,
Michael Carter-Williams,6.0,10.0,3.0,,33,,,,,,,,,,5.0,,,,,
Jerami Grant,,16.0,,,33,,,,,,,,,,,,,,,
Larry Drew II,4.0,9.0,,,33,,,,,,,,20.0,,,,,,,
Jeff Green,,18.0,,,33,,,,,,,,,,,,,,,
Zach Randolph,4.0,17.0,14.0,,33,,,,,,,,27.0,,,,,,,
Vince Carter,,13.0,,,33,,,,,,,,,,,,,,,
Kawhi Leonard,,21.0,,,34,,,,16.0,5.0,,,,,,,,,,
LaMarcus Aldridge,,5.0,,,34,,,,9.0,2.0,,,,,,,,,,
Danny Green,,11.0,,,34,,,,,,,,,,,,,,,
Patty Mills,,23.0,,,34,,6.0,5.0,12.0,9.0,,,,,,,,,,
Harrison Barnes,,17.0,,,34,,,,,,,,,,,,,,,
Wesley Matthews,,26.0,,,34,,,,,,,,37.0,,,,,,,
Dwight Powell,,10.0,,,34,,,,,,,,,,,,,,,
Seth Curry,,14.0,,,34,,,,,,,,,,,,,,,
Trevor Ariza,5.0,19.0,,,35,,8.0,5.0,,,4.0,4.0,,,,,,,,
Donatas Motiejunas,,2.0,,,35,,,,5.0,,,,13.0,5.0,,,,,,
Dwight Howard,,,10.0,,35,,,,,,,,,,5.0,,,,,
James Harden,10.0,25.0,9.0,,35,,,,,,,,,,,,,,,
Patrick Beverley,1.0,15.0,,,35,,7.0,4.0,8.0,5.0,2.0,1.0,,,1.0,,1.0,,,
Shawne Williams,,14.0,5.0,,35,,4.0,3.0,6.0,4.0,4.0,3.0,,,,,,,,
Chris Bosh,,21.0,8.0,,35,,,,,,,,,,,,,,,
Dwyane Wade,,19.0,,,35,,,,,,,,,,,,,,,
Norris Cole,,,,,35,,,,,,,,16.0,,,,,,,
Mario Chalmers,,12.0,5.0,,35,,,,12.0,4.0,5.0,2.0,29.0,,,,,,,
Shabazz Napier,4.0,5.0,,,35,,,,,,,,27.0,,,,,,,
Rudy Gay,,,,,36,,,3.0,,,,,,,,,,,,
DeMarcus Cousins,,36.0,13.0,,36,,,3.0,,,,,,,,,,,,
Darren Collison,6.0,21.0,,,36,,,,,,4.0,4.0,,,4.0,,,,,
Andrew Wiggins,,10.0,4.0,,37,,1.0,0.0,11.0,5.0,,,,,,,,,,
Adreian Payne,,10.0,3.0,,37,,,,9.0,3.0,4.0,4.0,29.0,,,,,,,
Kevin Martin,,16.0,,,37,,,,8.0,5.0,7.0,6.0,,,,,,,,
Justin Hamilton,,15.0,3.0,,37,,4.0,1.0,12.0,7.0,,,,1.0,,2.0,1.0,,,
Markieff Morris,2.0,24.0,3.0,,37,,2.0,0.0,15.0,10.0,4.0,4.0,37.0,,,,,,,
Eric Bledsoe,9.0,18.0,2.0,,37,2.0,5.0,2.0,14.0,7.0,2.0,2.0,,,,,,,,
Marcus Thornton,,14.0,4.0,,37,,5.0,1.0,12.0,6.0,1.0,1.0,22.0,,,,,,,
TJ Warren,,17.0,,,37,,1.0,0.0,10.0,8.0,2.0,1.0,19.0,,,,,,,
Derrick Favors,,20.0,12.0,3.0,38,,,,17.0,,,,,,,2.0,,,,
Rodney Hood,,17.0,,,38,,,,,,,,,,,,,,,
Alec Burks,,15.0,,,38,,,,,,,,,,,,,,,
Nerlens Noel,,8.0,,,38,,,,12.0,2.0,,,,,,,,,,
Marc Gasol,8.0,31.0,4.0,2.0,39,,,,,,,,42.0,,,1.0,,,,
Mike Conley,2.0,18.0,1.0,3.0,39,,,,,,,,,,,,,,,
Steven Adams,,16.0,12.0,,39,,,,13.0,7.0,,,44.0,,,,,,,
Russell Westbrook,12.0,38.0,13.0,,39,,,,,,,,,,,,,,,
Anthony Morrow,,15.0,,,39,,4.0,3.0,,,,,19.0,,,,,,,
Joffrey Lauvergne,,16.0,,,39,,4.0,3.0,7.0,6.0,,,29.0,,,,,,,
Rudy Gay,,,,,40,,,2.0,,,,,,,2.0,,2.0,,,
DeMar DeRozan,,23.0,,,40,,,,,,,,,,,,,,,
Marquese Chriss,,23.0,11.0,2.0,41,,,,,,,,,,,1.0,,,,
Alex Len,1.0,11.0,11.0,2.0,41,,,,,,,,,,,2.0,,,,
Devin Booker,,28.0,2.0,3.0,41,,,,,,,,,,,,,,,
Tyler Ulis,12.0,10.0,,2.0,41,,,,,,,,,,,,,,,
Leandro Barbosa,1.0,11.0,6.0,1.0,41,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,2.0,5.0,16.0,2.0,41,,,,,,,,,,,1.0,,,,
Brook Lopez,,19.0,6.0,,41,,,,,,,,,,,1.0,,,,
Jeremy Lin,5.0,13.0,3.0,,41,,,,,,,,,,,,,,,
Quincy Acy,,12.0,,,41,,,,,,,,,,,,,,,
Isaiah Whitehead,3.0,11.0,4.0,2.0,41,,,,,,,,28.0,,,1.0,,,,
KJ McDaniels,1.0,16.0,8.0,2.0,41,,,,,,,,,,,1.0,,,,
Trevor Booker,1.0,14.0,8.0,,41,,,,,,,,,,,,,,,
Justin Hamilton,,10.0,,,41,,,,,,,,,,,,,,,
Archie Goodwin,,12.0,,,41,,,,,,,,,,,,,,,
Devin Booker,,33.0,,,42,,,,24.0,11.0,,,,,,,,,,
Eric Bledsoe,4.0,20.0,6.0,,42,,,,,,,,,,,,,,,
DeMarcus Cousins,12.0,22.0,,,42,,,,,,,,,,,,,,,
Ty Lawson,,18.0,,,42,,,,,,,,,,,,,,,
Joakim Noah,6.0,11.0,16.0,,43,,,,8.0,5.0,,,,,,,,,,
Jimmy Butler,8.0,22.0,6.0,,43,,4.0,1.0,17.0,6.0,10.0,9.0,,,,,,,,
Nikola Mirotic,,,7.0,,43,,4.0,1.0,10.0,5.0,,,,,,,,,,
Blake Griffin,,19.0,10.0,,43,,,,15.0,7.0,10.0,5.0,,,,,,,,
DeAndre Jordan,,10.0,17.0,,43,,,,6.0,5.0,,,,,,,,,,
Jamal Crawford,5.0,24.0,,,43,,5.0,1.0,17.0,10.0,5.0,3.0,,,,,,,,
JaMychal Green,,10.0,6.0,,44,,,,,,,,,,,,,,,
Marc Gasol,8.0,19.0,,1.0,44,,,,,,,,,,,1.0,,,,
James Ennis III,,5.0,3.0,,44,,,,,,,,,,,,,,,
Mike Conley,6.0,32.0,1.0,1.0,44,,,,,,11.0,,37.0,,,,,,,
Vince Carter,1.0,14.0,3.0,2.0,44,,,,,,,,,,,,,,,
Brandan Wright,1.0,17.0,,1.0,44,,,,,,,,21.0,,,,,,,
Bojan Bogdanovic,2.0,11.0,5.0,,44,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,2.0,13.0,3.0,2.0,44,,,,,,,,,,,,,,,
Brook Lopez,5.0,17.0,3.0,1.0,44,,,,,,,,,,,,,,,
Spencer Dinwiddie,1.0,17.0,3.0,,44,,,,,,,,,,,,,,,
Trevor Booker,,,4.0,1.0,44,,,,,,,,,,,,,,,
Sean Kilpatrick,3.0,15.0,6.0,1.0,44,,,,,,,,,,,,,,,
Rodney McGruder,2.0,11.0,1.0,2.0,45,,,,,,,,,,,,,,,
Hassan Whiteside,1.0,23.0,14.0,,45,,,,,,,,,,,5.0,,,,
Dion Waiters,7.0,23.0,,,45,,,,,,,,,,,,,,,
Goran Dragic,5.0,21.0,1.0,,45,,,,,,,,,,,,,,,
Tyler Johnson,4.0,16.0,7.0,,45,,,,,,,,,,,,,,,
Ryan Anderson,1.0,17.0,6.0,,45,,,,,,,,,,,,,,,
Clint Capela,,12.0,2.0,,45,,,,,5.0,,,,,,,,,,
James Harden,12.0,38.0,12.0,,45,,,4.0,,,,,,5.0,4.0,1.0,,,,
Eric Gordon,2.0,,2.0,1.0,45,,,,,,,,32.0,,,,,,,
Jon Leuer,,22.0,7.0,3.0,46,,,,,,,,,,,,,,,
Andre Drummond,,13.0,17.0,,46,,,,,,10.0,1.0,,,,,,,,
Tobias Harris,,15.0,6.0,,46,,,,,,,,,,,,,,,
Anthony Davis,3.0,33.0,14.0,,46,,,,17.0,11.0,,,,,,,,,,
Jrue Holiday,5.0,22.0,4.0,,46,,,,,,,,,,,,,,,
Kenneth Faried,,14.0,7.0,2.0,47,,,,11.0,6.0,3.0,2.0,32.0,,,1.0,,,,
