,parent_paper_title,parent_paper_arxiv_id,citation_shorthand,raw_citation_text,cited_paper_title,cited_paper_arxiv_link,cited_paper_abstract,has_metadata,is_arxiv_paper,bib_paper_authors,bib_paper_year,bib_paper_month,bib_paper_url,bib_paper_doi,bib_paper_journal
10,"KairosAD: A SAM-Based Model for Industrial Anomaly Detection on Embedded
  Devices",2505.24334v1,kirillov2023segment,\cite{kirillov2023segment},Segment Anything,http://arxiv.org/abs/2304.02643v1,"We introduce the Segment Anything (SA) project: a new task, model, and
dataset for image segmentation. Using our efficient model in a data collection
loop, we built the largest segmentation dataset to date (by far), with over 1
billion masks on 11M licensed and privacy respecting images. The model is
designed and trained to be promptable, so it can transfer zero-shot to new
image distributions and tasks. We evaluate its capabilities on numerous tasks
and find that its zero-shot performance is impressive -- often competitive with
or even superior to prior fully supervised results. We are releasing the
Segment Anything Model (SAM) and corresponding dataset (SA-1B) of 1B masks and
11M images at https://segment-anything.com to foster research into foundation
models for computer vision.",True,True,"Kirillov, Alexander and Mintun, Eric and Ravi, Nikhila and Mao, Hanzi and Rolland, Chloe and Gustafson, Laura and Xiao, Tete and Whitehead, Spencer and Berg, Alexander C. and Lo, Wan-Yen and Dollar, Piotr and Girshick, Ross",2023.0,,,10.1109/tip.2023.3293772,
11,"PS4PRO: Pixel-to-pixel Supervision for Photorealistic Rendering and
  Optimization",2505.22616v1,DAIN,\cite{DAIN},Depth-Aware Video Frame Interpolation,http://arxiv.org/abs/1904.00830v1,"Video frame interpolation aims to synthesize nonexistent frames in-between
the original frames. While significant advances have been made from the recent
deep convolutional neural networks, the quality of interpolation is often
reduced due to large object motion or occlusion. In this work, we propose a
video frame interpolation method which explicitly detects the occlusion by
exploring the depth information. Specifically, we develop a depth-aware flow
projection layer to synthesize intermediate flows that preferably sample closer
objects than farther ones. In addition, we learn hierarchical features to
gather contextual information from neighboring pixels. The proposed model then
warps the input frames, depth maps, and contextual features based on the
optical flow and local interpolation kernels for synthesizing the output frame.
Our model is compact, efficient, and fully differentiable. Quantitative and
qualitative results demonstrate that the proposed model performs favorably
against state-of-the-art frame interpolation methods on a wide variety of
datasets.",True,True,"Bao, Wenbo and Lai, Wei-Sheng and Ma, Chao and Zhang, Xiaoyun and Gao, Zhiyong and Yang, Ming-Hsuan",2019.0,,,,
12,"VDDP: Verifiable Distributed Differential Privacy under the
  Client-Server-Verifier Setup",2504.21752v1,KCY21,\cite{KCY21},"Preventing Manipulation Attack in Local Differential Privacy using
  Verifiable Randomization Mechanism",http://arxiv.org/abs/2104.06569v2,"Several randomization mechanisms for local differential privacy (LDP) (e.g.,
randomized response) are well-studied to improve the utility. However, recent
studies show that LDP is generally vulnerable to malicious data providers in
nature. Because a data collector has to estimate background data distribution
only from already randomized data, malicious data providers can manipulate
their output before sending, i.e., randomization would provide them plausible
deniability. Attackers can skew the estimations effectively since they are
calculated by normalizing with randomization probability defined in the LDP
protocol, and can even control the estimations. In this paper, we show how we
prevent malicious attackers from compromising LDP protocol. Our approach is to
utilize a verifiable randomization mechanism. The data collector can verify the
completeness of executing an agreed randomization mechanism for every data
provider. Our proposed method completely protects the LDP protocol from
output-manipulations, and significantly mitigates the expected damage from
attacks. We do not assume any specific attacks, and it works effectively
against general output-manipulation, and thus is more powerful than previously
proposed countermeasures. We describe the secure version of three
state-of-the-art LDP protocols and empirically show they cause acceptable
overheads according to several parameters.",True,True,"Fumiyuki Kato and
                  Yang Cao and
                  Masatoshi Yoshikawa",2021.0,,https://doi.org/10.1007/978-3-030-81242-3\_3,10.1007/978-3-030-81242-3\_3,
13,"Birdie: Natural Language-Driven Table Discovery Using Differentiable
  Search Index",2504.21282v1,Deepjoin,\cite{Deepjoin},DeepJoin: Joinable Table Discovery with Pre-trained Language Models,http://arxiv.org/abs/2212.07588v2,"Due to the usefulness in data enrichment for data analysis tasks, joinable
table discovery has become an important operation in data lake management.
Existing approaches target equi-joins, the most common way of combining tables
for creating a unified view, or semantic joins, which tolerate misspellings and
different formats to deliver more join results. They are either exact solutions
whose running time is linear in the sizes of query column and target table
repository or approximate solutions lacking precision. In this paper, we
propose Deepjoin, a deep learning model for accurate and efficient joinable
table discovery. Our solution is an embedding-based retrieval, which employs a
pre-trained language model (PLM) and is designed as one framework serving both
equi- and semantic joins. We propose a set of contextualization options to
transform column contents to a text sequence. The PLM reads the sequence and is
fine-tuned to embed columns to vectors such that columns are expected to be
joinable if they are close to each other in the vector space. Since the output
of the PLM is fixed in length, the subsequent search procedure becomes
independent of the column size. With a state-of-the-art approximate nearest
neighbor search algorithm, the search time is logarithmic in the repository
size. To train the model, we devise the techniques for preparing training data
as well as data augmentation. The experiments on real datasets demonstrate that
by training on a small subset of a corpus, Deepjoin generalizes to large
datasets and its precision consistently outperforms other approximate
solutions'. Deepjoin is even more accurate than an exact solution to semantic
joins when evaluated with labels from experts. Moreover, when equipped with a
GPU, Deepjoin is up to two orders of magnitude faster than existing solutions.",True,True,"Yuyang Dong and
                  Chuan Xiao and
                  Takuma Nozawa and
                  Masafumi Enomoto and
                  Masafumi Oyamada",2023.0,,,,Proc. {VLDB} Endow.
14,"Unlocking the Power of Rehearsal in Continual Learning: A Theoretical
  Perspective",2506.00205v1,zhao2024statistical,\cite{zhao2024statistical},A Statistical Theory of Regularization-Based Continual Learning,http://arxiv.org/abs/2406.06213v1,"We provide a statistical analysis of regularization-based continual learning
on a sequence of linear regression tasks, with emphasis on how different
regularization terms affect the model performance. We first derive the
convergence rate for the oracle estimator obtained as if all data were
available simultaneously. Next, we consider a family of generalized
$\ell_2$-regularization algorithms indexed by matrix-valued hyperparameters,
which includes the minimum norm estimator and continual ridge regression as
special cases. As more tasks are introduced, we derive an iterative update
formula for the estimation error of generalized $\ell_2$-regularized
estimators, from which we determine the hyperparameters resulting in the
optimal algorithm. Interestingly, the choice of hyperparameters can effectively
balance the trade-off between forward and backward knowledge transfer and
adjust for data heterogeneity. Moreover, the estimation error of the optimal
algorithm is derived explicitly, which is of the same order as that of the
oracle estimator. In contrast, our lower bounds for the minimum norm estimator
and continual ridge regression show their suboptimality. A byproduct of our
theoretical analysis is the equivalence between early stopping and generalized
$\ell_2$-regularization in continual learning, which may be of independent
interest. Finally, we conduct experiments to complement our theory.",True,True,"Zhao, Xuyang and Wang, Huiyuan and Huang, Weiran and Lin, Wei",2024.0,,,,
15,"CLONE: Customizing LLMs for Efficient Latency-Aware Inference at the
  Edge",2506.02847v1,dvfsasplos,\cite{dvfsasplos},"Expanding Datacenter Capacity with {DVFS} Boosting: {A} safe and scalable
                  deployment experience",,,True,False,"Leonardo Piga and
                  Iyswarya Narayanan and
                  Aditya Sundarrajan and
                  Matt Skach and
                  Qingyuan Deng and
                  Biswadip Maity and
                  Manoj Chakkaravarthy and
                  Alison Huang and
                  Abhishek Dhanotia and
                  Parth Malani",2024.0,,https://doi.org/10.1145/3617232.3624853,10.1145/3617232.3624853,
16,Refining Datapath for Microscaling ViTs,2505.22194v1,liu2023psq,\cite{liu2023psq},PSQ: An Automatic Search Framework for Data-Free Quantization on PIM-based Architecture,,,True,False,"Liu, Fangxin and Yang, Ning and Jiang, Li",2023.0,,,,
17,Refining Datapath for Microscaling ViTs,2505.22194v1,wu2023msd,\cite{wu2023msd},MSD: Mixing Signed Digit Representations for Hardware-efficient DNN Acceleration on FPGA with Heterogeneous Resources,,,True,False,"Wu, Jiajun and Zhou, Jiajun and Gao, Yizhao and Ding, Yuhao and Wong, Ngai and So, Hayden Kwok-Hay",2023.0,,,,
18,"Efficient Serverless Cold Start: Reducing Library Loading Overhead by
  Profile-guided Optimization",2504.19283v1,li2022help,\cite{li2022help},Help rather than recycle: Alleviating cold startup in serverless computing through $\{$Inter-Function$\}$ container sharing,,,True,False,"Li, Zijun and Guo, Linsong and Chen, Quan and Cheng, Jiagan and Xu, Chuhao and Zeng, Deze and Song, Zhuo and Ma, Tao and Yang, Yong and Li, Chao and others",2022.0,,,,
19,"Efficient Serverless Cold Start: Reducing Library Loading Overhead by
  Profile-guided Optimization",2504.19283v1,roy2022icebreaker,\cite{roy2022icebreaker},Icebreaker: Warming serverless functions better with heterogeneity,,,True,False,"Roy, Rohan Basu and Patel, Tirthak and Tiwari, Devesh",2022.0,,,,
20,"Measure Domain's Gap: A Similar Domain Selection Principle for
  Multi-Domain Recommendation",2505.20227v1,zhang2022m2m-multi-domain-multi-task-rec,\cite{zhang2022m2m-multi-domain-multi-task-rec},"Leaving No One Behind: A Multi-Scenario Multi-Task Meta Learning
  Approach for Advertiser Modeling",http://arxiv.org/abs/2201.06814v2,"Advertisers play an essential role in many e-commerce platforms like Taobao
and Amazon. Fulfilling their marketing needs and supporting their business
growth is critical to the long-term prosperity of platform economies. However,
compared with extensive studies on user modeling such as click-through rate
predictions, much less attention has been drawn to advertisers, especially in
terms of understanding their diverse demands and performance. Different from
user modeling, advertiser modeling generally involves many kinds of tasks (e.g.
predictions of advertisers' expenditure, active-rate, or total impressions of
promoted products). In addition, major e-commerce platforms often provide
multiple marketing scenarios (e.g. Sponsored Search, Display Ads, Live
Streaming Ads) while advertisers' behavior tend to be dispersed among many of
them. This raises the necessity of multi-task and multi-scenario consideration
in comprehensive advertiser modeling, which faces the following challenges:
First, one model per scenario or per task simply doesn't scale; Second, it is
particularly hard to model new or minor scenarios with limited data samples;
Third, inter-scenario correlations are complicated, and may vary given
different tasks. To tackle these challenges, we propose a multi-scenario
multi-task meta learning approach (M2M) which simultaneously predicts multiple
tasks in multiple advertising scenarios.",True,True,"Zhang, Qianqian and Liao, Xinru and Liu, Quan and Xu, Jian and Zheng, Bo",2022.0,,,,
21,"Optimized Text Embedding Models and Benchmarks for Amharic Passage
  Retrieval",2505.19356v1,nigatu2024searched,\cite{nigatu2024searched},"""I Searched for a Religious Song in Amharic and Got Sexual Content
  Instead"": Investigating Online Harm in Low-Resourced Languages on YouTube",http://arxiv.org/abs/2405.16656v1,"Online social media platforms such as YouTube have a wide, global reach.
However, little is known about the experience of low-resourced language
speakers on such platforms; especially in how they experience and navigate
harmful content. To better understand this, we (1) conducted semi-structured
interviews (n=15) and (2) analyzed search results (n=9313), recommendations
(n=3336), channels (n=120) and comments (n=406) of policy-violating sexual
content on YouTube focusing on the Amharic language. Our findings reveal that
-- although Amharic-speaking YouTube users find the platform crucial for
several aspects of their lives -- participants reported unplanned exposure to
policy-violating sexual content when searching for benign, popular queries.
Furthermore, malicious content creators seem to exploit under-performing
language technologies and content moderation to further target vulnerable
groups of speakers, including migrant domestic workers, diaspora, and local
Ethiopians. Overall, our study sheds light on how failures in low-resourced
language technology may lead to exposure to harmful content and suggests
implications for stakeholders in minimizing harm. Content Warning: This paper
includes discussions of NSFW topics and harmful content (hate, abuse, sexual
harassment, self-harm, misinformation). The authors do not support the creation
or distribution of harmful content.",True,True,Hellina Hailu Nigatu and Inioluwa Deborah Raji,2024.0,,https://doi.org/10.1145/3630106.3658546,10.1145/3630106.3658546,
22,"Unlearning for Federated Online Learning to Rank: A Reproducibility
  Study",2505.12791v1,kharitonov2019federated,\cite{kharitonov2019federated},Federated online learning to rank with evolution strategies,,,True,False,"Kharitonov, Eugene",2019.0,,,,
23,Graph Spectral Filtering with Chebyshev Interpolation for Recommendation,2505.00552v1,shenHowPowerfulGraph2021,\cite{shenHowPowerfulGraph2021},How Powerful is Graph Convolution for Recommendation?,http://arxiv.org/abs/2108.07567v1,"Graph convolutional networks (GCNs) have recently enabled a popular class of
algorithms for collaborative filtering (CF). Nevertheless, the theoretical
underpinnings of their empirical successes remain elusive. In this paper, we
endeavor to obtain a better understanding of GCN-based CF methods via the lens
of graph signal processing. By identifying the critical role of smoothness, a
key concept in graph signal processing, we develop a unified graph
convolution-based framework for CF. We prove that many existing CF methods are
special cases of this framework, including the neighborhood-based methods,
low-rank matrix factorization, linear auto-encoders, and LightGCN,
corresponding to different low-pass filters. Based on our framework, we then
present a simple and computationally efficient CF baseline, which we shall
refer to as Graph Filter based Collaborative Filtering (GF-CF). Given an
implicit feedback matrix, GF-CF can be obtained in a closed form instead of
expensive training with back-propagation. Experiments will show that GF-CF
achieves competitive or better performance against deep learning-based methods
on three well-known datasets, notably with a $70\%$ performance gain over
LightGCN on the Amazon-book dataset.",True,True,"Shen, Yifei and Wu, Yongji and Zhang, Yao and Shan, Caihua and Zhang, Jun and Letaief, B. Khaled and Li, Dongsheng",2021.0,,,,
24,"Search-Based Interaction For Conversation Recommendation via Generative
  Reward Model Based Simulated User",2504.20458v1,zhang24generative,\cite{zhang24generative},Generative Verifiers: Reward Modeling as Next-Token Prediction,http://arxiv.org/abs/2408.15240v3,"Verifiers or reward models are often used to enhance the reasoning
performance of large language models (LLMs). A common approach is the Best-of-N
method, where N candidate solutions generated by the LLM are ranked by a
verifier, and the best one is selected. While LLM-based verifiers are typically
trained as discriminative classifiers to score solutions, they do not utilize
the text generation capabilities of pretrained LLMs. To overcome this
limitation, we instead propose training verifiers using the ubiquitous
next-token prediction objective, jointly on verification and solution
generation. Compared to standard verifiers, such generative verifiers (GenRM)
can benefit from several advantages of LLMs: they integrate seamlessly with
instruction tuning, enable chain-of-thought reasoning, and can utilize
additional test-time compute via majority voting for better verification. We
demonstrate that GenRM outperforms discriminative, DPO verifiers, and
LLM-as-a-Judge, resulting in large performance gains with Best-of-N, namely 5%
$\rightarrow$ 45.3% on algorithmic tasks and 73% $\rightarrow$ 93.4% on GSM8K.
In easy-to-hard generalization settings, we observe improvements of 28%
$\rightarrow$ 44.6% on MATH, and 37.9% $\rightarrow$ 53.5% on MMLU abstract
algebra. Furthermore, we find that training GenRM with synthetic verification
rationales is sufficient to pick out subtle errors on math problems. Finally,
we demonstrate that GenRM scales favorably with model size and test-time
compute.",True,True,"Zhang, Lunjun and Hosseini, Arian and Bansal, Hritik and Kazemi, Mehran and Kumar, Aviral and Agarwal, Rishabh",,,,,
25,Replication and Exploration of Generative Retrieval over Dynamic Corpora,2504.17519v1,sun2024learning,\cite{sun2024learning},Learning to Tokenize for Generative Retrieval,http://arxiv.org/abs/2304.04171v1,"Conventional document retrieval techniques are mainly based on the
index-retrieve paradigm. It is challenging to optimize pipelines based on this
paradigm in an end-to-end manner. As an alternative, generative retrieval
represents documents as identifiers (docid) and retrieves documents by
generating docids, enabling end-to-end modeling of document retrieval tasks.
However, it is an open question how one should define the document identifiers.
Current approaches to the task of defining document identifiers rely on fixed
rule-based docids, such as the title of a document or the result of clustering
BERT embeddings, which often fail to capture the complete semantic information
of a document. We propose GenRet, a document tokenization learning method to
address the challenge of defining document identifiers for generative
retrieval. GenRet learns to tokenize documents into short discrete
representations (i.e., docids) via a discrete auto-encoding approach. Three
components are included in GenRet: (i) a tokenization model that produces
docids for documents; (ii) a reconstruction model that learns to reconstruct a
document based on a docid; and (iii) a sequence-to-sequence retrieval model
that generates relevant document identifiers directly for a designated query.
By using an auto-encoding framework, GenRet learns semantic docids in a fully
end-to-end manner. We also develop a progressive training scheme to capture the
autoregressive nature of docids and to stabilize training. We conduct
experiments on the NQ320K, MS MARCO, and BEIR datasets to assess the
effectiveness of GenRet. GenRet establishes the new state-of-the-art on the
NQ320K dataset. Especially, compared to generative retrieval baselines, GenRet
can achieve significant improvements on the unseen documents. GenRet also
outperforms comparable baselines on MS MARCO and BEIR, demonstrating the
method's generalizability.",True,True,"Sun, Weiwei and Yan, Lingyong and Chen, Zheng and Wang, Shuaiqiang and Zhu, Haichao and Ren, Pengjie and Chen, Zhumin and Yin, Dawei and Rijke, Maarten and Ren, Zhaochun",2024.0,,,,Advances in Neural Information Processing Systems
26,"NLCTables: A Dataset for Marrying Natural Language Conditions with Table
  Discovery",2504.15849v1,cafarella2009data,\cite{cafarella2009data},Data integration for the relational web,,,True,False,"Cafarella, Michael J and Halevy, Alon and Khoussainova, Nodira",2009.0,,,,Proc. VLDB Endow.
27,"Unconstrained Monotonic Calibration of Predictions in Deep Ranking
  Systems",2504.14243v1,PlattScaling,\cite{PlattScaling},Probabilistic outputs for support vector machines and comparisons to regularized likelihood methods,,,True,False,"Platt, John and others",1999.0,,https://home.cs.colorado.edu/~mozer/Teaching/syllabi/6622/papers/Platt1999.pdf,,Advances in large margin classifiers
