,Game ID,points_x,points_y,match
192,183.0,99.0,-1.0,False
193,184.0,109.0,94.0,False
194,185.0,103.0,113.0,False
195,186.0,97.0,101.0,False
196,187.0,99.0,100.0,False
197,188.0,126.0,98.0,False
198,189.0,91.0,104.0,False
199,190.0,106.0,113.0,False
200,191.0,-1.0,99.0,False
201,193.0,91.0,109.0,False
202,194.0,96.0,103.0,False
203,195.0,97.0,97.0,True
204,196.0,96.0,99.0,False
205,197.0,108.0,126.0,False
206,198.0,121.0,91.0,False
207,200.0,111.0,106.0,False
208,201.0,114.0,-1.0,False
209,202.0,94.0,116.0,False
210,203.0,96.0,91.0,False
211,204.0,107.0,96.0,False
212,205.0,121.0,97.0,False
213,206.0,-1.0,96.0,False
214,207.0,109.0,108.0,False
215,208.0,91.0,121.0,False
216,209.0,106.0,119.0,False
217,210.0,85.0,111.0,False
218,212.0,106.0,114.0,False
219,213.0,94.0,94.0,True
220,215.0,116.0,96.0,False
221,216.0,91.0,107.0,False
222,217.0,114.0,121.0,False
223,218.0,104.0,-1.0,False
224,219.0,105.0,-1.0,False
225,220.0,112.0,91.0,False
226,221.0,110.0,106.0,False
227,222.0,132.0,85.0,False
228,223.0,94.0,101.0,False
229,224.0,108.0,106.0,False
230,225.0,102.0,94.0,False
231,226.0,114.0,94.0,False
232,227.0,121.0,116.0,False
233,228.0,113.0,91.0,False
234,229.0,106.0,114.0,False
235,230.0,108.0,104.0,False
236,231.0,101.0,105.0,False
237,232.0,117.0,112.0,False
238,233.0,104.0,110.0,False
239,234.0,122.0,132.0,False
240,235.0,104.0,94.0,False
241,236.0,108.0,108.0,True
242,237.0,114.0,102.0,False
243,238.0,107.0,114.0,False
244,239.0,109.0,121.0,False
245,240.0,107.0,113.0,False
246,241.0,-1.0,106.0,False
247,242.0,104.0,108.0,False
248,243.0,106.0,101.0,False
249,244.0,113.0,117.0,False
250,245.0,139.0,104.0,False
251,246.0,110.0,122.0,False
252,247.0,117.0,104.0,False
253,248.0,112.0,108.0,False
254,249.0,100.0,114.0,False
255,250.0,101.0,107.0,False
256,251.0,11.0,109.0,False
257,252.0,77.0,107.0,False
258,253.0,113.0,-1.0,False
259,254.0,117.0,104.0,False
260,256.0,111.0,106.0,False
261,257.0,89.0,113.0,False
262,258.0,105.0,139.0,False
263,259.0,96.0,110.0,False
264,260.0,107.0,117.0,False
265,261.0,103.0,-1.0,False
266,262.0,18.0,100.0,False
267,263.0,135.0,101.0,False
268,264.0,91.0,-1.0,False
269,265.0,110.0,-1.0,False
270,266.0,107.0,-1.0,False
271,268.0,106.0,117.0,False
272,269.0,106.0,-1.0,False
273,270.0,122.0,111.0,False
274,271.0,-1.0,-1.0,True
275,272.0,-1.0,105.0,False
276,273.0,20.0,96.0,False
277,275.0,105.0,107.0,False
278,276.0,125.0,103.0,False
279,277.0,117.0,-1.0,False
280,278.0,108.0,135.0,False
281,279.0,110.0,91.0,False
282,280.0,92.0,110.0,False
283,281.0,114.0,107.0,False
284,282.0,129.0,103.0,False
285,283.0,90.0,106.0,False
286,284.0,102.0,106.0,False
287,285.0,113.0,122.0,False
288,286.0,113.0,-1.0,False
289,287.0,106.0,-1.0,False
290,288.0,107.0,-1.0,False
291,289.0,110.0,108.0,False
292,291.0,-1.0,105.0,False
293,292.0,94.0,125.0,False
294,293.0,103.0,-1.0,False
295,295.0,122.0,108.0,False
296,296.0,122.0,110.0,False
297,297.0,108.0,92.0,False
298,298.0,108.0,114.0,False
299,299.0,116.0,129.0,False
300,300.0,-1.0,90.0,False
301,301.0,-1.0,102.0,False
302,302.0,-1.0,113.0,False
303,303.0,-1.0,113.0,False
304,304.0,-1.0,106.0,False
305,305.0,-1.0,107.0,False
306,306.0,-1.0,110.0,False
307,307.0,-1.0,113.0,False
308,308.0,-1.0,-1.0,True
309,309.0,-1.0,94.0,False
310,310.0,-1.0,103.0,False
311,311.0,-1.0,-1.0,True
312,312.0,-1.0,122.0,False
313,314.0,-1.0,-1.0,True
314,315.0,-1.0,108.0,False
315,316.0,-1.0,108.0,False
316,317.0,-1.0,116.0,False
317,318.0,,107.0,False
318,319.0,,99.0,False
319,320.0,,108.0,False
320,321.0,,98.0,False
321,322.0,,88.0,False
322,323.0,,101.0,False
323,324.0,,-1.0,False
324,325.0,,99.0,False
325,326.0,,111.0,False
326,327.0,,130.0,False
327,328.0,,102.0,False
328,329.0,,95.0,False
329,331.0,,-1.0,False
