,title,director_name:left,director_name:right
7,Capitalism: A Love Story,Michael Moore,Gore Verbinski
7,Capitalism: A Love Story,Michael Moore,Sam Mendes
7,Capitalism: A Love Story,Michael Moore,Sam Raimi
7,Capitalism: A Love Story,Michael Moore,Zack Snyder
7,Capitalism: A Love Story,Michael Moore,Bryan Singer
7,Capitalism: A Love Story,Michael Moore,Marc Forster
7,Capitalism: A Love Story,Michael Moore,Gore Verbinski
7,Capitalism: A Love Story,Michael Moore,Gore Verbinski
7,Capitalism: A Love Story,Michael Moore,Zack Snyder
7,Capitalism: A Love Story,Michael Moore,Andrew Adamson
7,Capitalism: A Love Story,Michael Moore,Rob Marshall
7,Capitalism: A Love Story,Michael Moore,Barry Sonnenfeld
7,Capitalism: A Love Story,Michael Moore,Peter Jackson
7,Capitalism: A Love Story,Michael Moore,Ridley Scott
7,Capitalism: A Love Story,Michael Moore,Peter Jackson
7,Capitalism: A Love Story,Michael Moore,Chris Weitz
7,Capitalism: A Love Story,Michael Moore,Peter Jackson
7,Capitalism: A Love Story,Michael Moore,James Cameron
7,Capitalism: A Love Story,Michael Moore,Peter Berg
7,Capitalism: A Love Story,Michael Moore,Sam Mendes
7,Capitalism: A Love Story,Michael Moore,Sam Raimi
7,Capitalism: A Love Story,Michael Moore,Tim Burton
7,Capitalism: A Love Story,Michael Moore,Brett Ratner
7,Capitalism: A Love Story,Michael Moore,Michael Bay
7,Capitalism: A Love Story,Michael Moore,Michael Bay
7,Capitalism: A Love Story,Michael Moore,Sam Raimi
7,Capitalism: A Love Story,Michael Moore,Martin Campbell
7,Capitalism: A Love Story,Michael Moore,McG
7,Capitalism: A Love Story,Michael Moore,James Wan
7,Capitalism: A Love Story,Michael Moore,Marc Forster
7,Capitalism: A Love Story,Michael Moore,Bryan Singer
7,Capitalism: A Love Story,Michael Moore,Bryan Singer
7,Capitalism: A Love Story,Michael Moore,Mike Newell
7,Capitalism: A Love Story,Michael Moore,Guillermo del Toro
7,Capitalism: A Love Story,Michael Moore,Michael Bay
7,Capitalism: A Love Story,Michael Moore,Steven Spielberg
7,Capitalism: A Love Story,Michael Moore,Justin Lin
7,Capitalism: A Love Story,Michael Moore,Brett Ratner
7,Capitalism: A Love Story,Michael Moore,Roland Emmerich
7,Capitalism: A Love Story,Michael Moore,Robert Zemeckis
7,Capitalism: A Love Story,Michael Moore,Lilly Wachowski
7,Capitalism: A Love Story,Michael Moore,Andrew Adamson
7,Capitalism: A Love Story,Michael Moore,Bryan Singer
7,Capitalism: A Love Story,Michael Moore,Jon Favreau
7,Capitalism: A Love Story,Michael Moore,Martin Scorsese
7,Capitalism: A Love Story,Michael Moore,Barry Sonnenfeld
7,Capitalism: A Love Story,Michael Moore,Rob Cohen
7,Capitalism: A Love Story,Michael Moore,David Ayer
7,Capitalism: A Love Story,Michael Moore,Tom Shadyac
7,Capitalism: A Love Story,Michael Moore,Doug Liman
7,Capitalism: A Love Story,Michael Moore,Kevin Reynolds
7,Capitalism: A Love Story,Michael Moore,Jon Favreau
7,Capitalism: A Love Story,Michael Moore,Jon Favreau
7,Capitalism: A Love Story,Michael Moore,Robert Zemeckis
7,Capitalism: A Love Story,Michael Moore,Roland Emmerich
7,Capitalism: A Love Story,Michael Moore,Peter Jackson
7,Capitalism: A Love Story,Michael Moore,Rob Cohen
7,Capitalism: A Love Story,Michael Moore,David Fincher
8,Ever After: A Cinderella Story,Andy Tennant,Gore Verbinski
8,Ever After: A Cinderella Story,Andy Tennant,Bryan Singer
8,Ever After: A Cinderella Story,Andy Tennant,Marc Forster
8,Ever After: A Cinderella Story,Andy Tennant,Gore Verbinski
8,Ever After: A Cinderella Story,Andy Tennant,Gore Verbinski
8,Ever After: A Cinderella Story,Andy Tennant,Andrew Adamson
8,Ever After: A Cinderella Story,Andy Tennant,Barry Sonnenfeld
8,Ever After: A Cinderella Story,Andy Tennant,Chris Weitz
8,Ever After: A Cinderella Story,Andy Tennant,Brett Ratner
8,Ever After: A Cinderella Story,Andy Tennant,Martin Campbell
8,Ever After: A Cinderella Story,Andy Tennant,McG
8,Ever After: A Cinderella Story,Andy Tennant,Marc Forster
8,Ever After: A Cinderella Story,Andy Tennant,Bryan Singer
8,Ever After: A Cinderella Story,Andy Tennant,Bryan Singer
8,Ever After: A Cinderella Story,Andy Tennant,Mike Newell
8,Ever After: A Cinderella Story,Andy Tennant,Brett Ratner
8,Ever After: A Cinderella Story,Andy Tennant,Andrew Adamson
8,Ever After: A Cinderella Story,Andy Tennant,Bryan Singer
8,Ever After: A Cinderella Story,Andy Tennant,Jon Favreau
8,Ever After: A Cinderella Story,Andy Tennant,Barry Sonnenfeld
8,Ever After: A Cinderella Story,Andy Tennant,Rob Cohen
8,Ever After: A Cinderella Story,Andy Tennant,Tom Shadyac
8,Ever After: A Cinderella Story,Andy Tennant,Kevin Reynolds
8,Ever After: A Cinderella Story,Andy Tennant,Jon Favreau
8,Ever After: A Cinderella Story,Andy Tennant,Jon Favreau
8,Ever After: A Cinderella Story,Andy Tennant,Rob Cohen
9,Unforgiven,Clint Eastwood,Gore Verbinski
9,Unforgiven,Clint Eastwood,Sam Mendes
9,Unforgiven,Clint Eastwood,Sam Raimi
9,Unforgiven,Clint Eastwood,Bryan Singer
9,Unforgiven,Clint Eastwood,Gore Verbinski
9,Unforgiven,Clint Eastwood,Gore Verbinski
9,Unforgiven,Clint Eastwood,Ridley Scott
9,Unforgiven,Clint Eastwood,Chris Weitz
9,Unforgiven,Clint Eastwood,Sam Mendes
9,Unforgiven,Clint Eastwood,Sam Raimi
9,Unforgiven,Clint Eastwood,Brett Ratner
9,Unforgiven,Clint Eastwood,Sam Raimi
9,Unforgiven,Clint Eastwood,Martin Campbell
9,Unforgiven,Clint Eastwood,Bryan Singer
9,Unforgiven,Clint Eastwood,Bryan Singer
9,Unforgiven,Clint Eastwood,Mike Newell
9,Unforgiven,Clint Eastwood,Brett Ratner
9,Unforgiven,Clint Eastwood,Robert Zemeckis
9,Unforgiven,Clint Eastwood,Bryan Singer
9,Unforgiven,Clint Eastwood,Rob Cohen
9,Unforgiven,Clint Eastwood,David Ayer
9,Unforgiven,Clint Eastwood,Kevin Reynolds
9,Unforgiven,Clint Eastwood,Robert Zemeckis
9,Unforgiven,Clint Eastwood,Rob Cohen
9,Unforgiven,Clint Eastwood,David Fincher
10,Why Did I Get Married?,Tyler Perry,Gore Verbinski
10,Why Did I Get Married?,Tyler Perry,Sam Mendes
10,Why Did I Get Married?,Tyler Perry,Sam Raimi
10,Why Did I Get Married?,Tyler Perry,Zack Snyder
10,Why Did I Get Married?,Tyler Perry,Bryan Singer
10,Why Did I Get Married?,Tyler Perry,Marc Forster
10,Why Did I Get Married?,Tyler Perry,Gore Verbinski
10,Why Did I Get Married?,Tyler Perry,Gore Verbinski
10,Why Did I Get Married?,Tyler Perry,Zack Snyder
10,Why Did I Get Married?,Tyler Perry,Andrew Adamson
10,Why Did I Get Married?,Tyler Perry,Rob Marshall
10,Why Did I Get Married?,Tyler Perry,Barry Sonnenfeld
10,Why Did I Get Married?,Tyler Perry,Chris Weitz
10,Why Did I Get Married?,Tyler Perry,Peter Berg
10,Why Did I Get Married?,Tyler Perry,Sam Mendes
10,Why Did I Get Married?,Tyler Perry,Sam Raimi
10,Why Did I Get Married?,Tyler Perry,Brett Ratner
10,Why Did I Get Married?,Tyler Perry,Michael Bay
10,Why Did I Get Married?,Tyler Perry,Michael Bay
10,Why Did I Get Married?,Tyler Perry,Sam Raimi
10,Why Did I Get Married?,Tyler Perry,Martin Campbell
10,Why Did I Get Married?,Tyler Perry,McG
10,Why Did I Get Married?,Tyler Perry,Marc Forster
10,Why Did I Get Married?,Tyler Perry,Bryan Singer
10,Why Did I Get Married?,Tyler Perry,Bryan Singer
10,Why Did I Get Married?,Tyler Perry,Mike Newell
10,Why Did I Get Married?,Tyler Perry,Michael Bay
10,Why Did I Get Married?,Tyler Perry,Justin Lin
10,Why Did I Get Married?,Tyler Perry,Brett Ratner
10,Why Did I Get Married?,Tyler Perry,Robert Zemeckis
10,Why Did I Get Married?,Tyler Perry,Lilly Wachowski
10,Why Did I Get Married?,Tyler Perry,Andrew Adamson
10,Why Did I Get Married?,Tyler Perry,Bryan Singer
10,Why Did I Get Married?,Tyler Perry,Barry Sonnenfeld
10,Why Did I Get Married?,Tyler Perry,Rob Cohen
10,Why Did I Get Married?,Tyler Perry,David Ayer
10,Why Did I Get Married?,Tyler Perry,Tom Shadyac
10,Why Did I Get Married?,Tyler Perry,Doug Liman
10,Why Did I Get Married?,Tyler Perry,Kevin Reynolds
10,Why Did I Get Married?,Tyler Perry,Robert Zemeckis
10,Why Did I Get Married?,Tyler Perry,Rob Cohen
11,The Good Girl,Miguel Arteta,Gore Verbinski
11,The Good Girl,Miguel Arteta,Sam Mendes
11,The Good Girl,Miguel Arteta,Sam Raimi
11,The Good Girl,Miguel Arteta,Zack Snyder
11,The Good Girl,Miguel Arteta,Bryan Singer
11,The Good Girl,Miguel Arteta,Marc Forster
11,The Good Girl,Miguel Arteta,Gore Verbinski
11,The Good Girl,Miguel Arteta,Gore Verbinski
11,The Good Girl,Miguel Arteta,Zack Snyder
11,The Good Girl,Miguel Arteta,Andrew Adamson
11,The Good Girl,Miguel Arteta,Rob Marshall
11,The Good Girl,Miguel Arteta,Barry Sonnenfeld
11,The Good Girl,Miguel Arteta,Peter Jackson
11,The Good Girl,Miguel Arteta,Ridley Scott
11,The Good Girl,Miguel Arteta,Peter Jackson
11,The Good Girl,Miguel Arteta,Chris Weitz
11,The Good Girl,Miguel Arteta,Peter Jackson
11,The Good Girl,Miguel Arteta,Peter Berg
11,The Good Girl,Miguel Arteta,Sam Mendes
11,The Good Girl,Miguel Arteta,Sam Raimi
11,The Good Girl,Miguel Arteta,Tim Burton
11,The Good Girl,Miguel Arteta,Brett Ratner
11,The Good Girl,Miguel Arteta,Michael Bay
11,The Good Girl,Miguel Arteta,Michael Bay
11,The Good Girl,Miguel Arteta,Sam Raimi
11,The Good Girl,Miguel Arteta,Martin Campbell
11,The Good Girl,Miguel Arteta,McG
11,The Good Girl,Miguel Arteta,James Wan
11,The Good Girl,Miguel Arteta,Marc Forster
11,The Good Girl,Miguel Arteta,Bryan Singer
11,The Good Girl,Miguel Arteta,Bryan Singer
11,The Good Girl,Miguel Arteta,Mike Newell
11,The Good Girl,Miguel Arteta,Guillermo del Toro
11,The Good Girl,Miguel Arteta,Michael Bay
11,The Good Girl,Miguel Arteta,Steven Spielberg
11,The Good Girl,Miguel Arteta,Justin Lin
11,The Good Girl,Miguel Arteta,Brett Ratner
11,The Good Girl,Miguel Arteta,Robert Zemeckis
11,The Good Girl,Miguel Arteta,Lilly Wachowski
11,The Good Girl,Miguel Arteta,Andrew Adamson
11,The Good Girl,Miguel Arteta,Bryan Singer
11,The Good Girl,Miguel Arteta,Jon Favreau
11,The Good Girl,Miguel Arteta,Martin Scorsese
11,The Good Girl,Miguel Arteta,Barry Sonnenfeld
11,The Good Girl,Miguel Arteta,Rob Cohen
11,The Good Girl,Miguel Arteta,David Ayer
11,The Good Girl,Miguel Arteta,Tom Shadyac
11,The Good Girl,Miguel Arteta,Doug Liman
11,The Good Girl,Miguel Arteta,Kevin Reynolds
11,The Good Girl,Miguel Arteta,Jon Favreau
11,The Good Girl,Miguel Arteta,Jon Favreau
11,The Good Girl,Miguel Arteta,Robert Zemeckis
11,The Good Girl,Miguel Arteta,Peter Jackson
11,The Good Girl,Miguel Arteta,Rob Cohen
11,The Good Girl,Miguel Arteta,David Fincher
12,Knocked Up,Judd Apatow,Gore Verbinski
12,Knocked Up,Judd Apatow,Gore Verbinski
12,Knocked Up,Judd Apatow,Gore Verbinski
12,Knocked Up,Judd Apatow,Barry Sonnenfeld
12,Knocked Up,Judd Apatow,Chris Weitz
12,Knocked Up,Judd Apatow,Peter Berg
12,Knocked Up,Judd Apatow,Brett Ratner
12,Knocked Up,Judd Apatow,McG
12,Knocked Up,Judd Apatow,Brett Ratner
12,Knocked Up,Judd Apatow,Jon Favreau
12,Knocked Up,Judd Apatow,Barry Sonnenfeld
12,Knocked Up,Judd Apatow,Tom Shadyac
12,Knocked Up,Judd Apatow,Jon Favreau
12,Knocked Up,Judd Apatow,Jon Favreau
13,The Transporter,Louis Leterrier,James Cameron
13,The Transporter,Louis Leterrier,Gore Verbinski
13,The Transporter,Louis Leterrier,Sam Mendes
13,The Transporter,Louis Leterrier,Sam Raimi
13,The Transporter,Louis Leterrier,Bryan Singer
13,The Transporter,Louis Leterrier,Marc Forster
13,The Transporter,Louis Leterrier,Gore Verbinski
13,The Transporter,Louis Leterrier,Gore Verbinski
13,The Transporter,Louis Leterrier,Andrew Adamson
13,The Transporter,Louis Leterrier,Rob Marshall
13,The Transporter,Louis Leterrier,Barry Sonnenfeld
13,The Transporter,Louis Leterrier,Peter Jackson
13,The Transporter,Louis Leterrier,Ridley Scott
13,The Transporter,Louis Leterrier,Peter Jackson
13,The Transporter,Louis Leterrier,Chris Weitz
13,The Transporter,Louis Leterrier,Peter Jackson
13,The Transporter,Louis Leterrier,James Cameron
13,The Transporter,Louis Leterrier,Peter Berg
13,The Transporter,Louis Leterrier,Sam Mendes
13,The Transporter,Louis Leterrier,Sam Raimi
13,The Transporter,Louis Leterrier,Brett Ratner
13,The Transporter,Louis Leterrier,Michael Bay
13,The Transporter,Louis Leterrier,Michael Bay
13,The Transporter,Louis Leterrier,Sam Raimi
13,The Transporter,Louis Leterrier,Martin Campbell
13,The Transporter,Louis Leterrier,McG
13,The Transporter,Louis Leterrier,James Wan
13,The Transporter,Louis Leterrier,Marc Forster
13,The Transporter,Louis Leterrier,Bryan Singer
13,The Transporter,Louis Leterrier,Bryan Singer
13,The Transporter,Louis Leterrier,Mike Newell
13,The Transporter,Louis Leterrier,Michael Bay
13,The Transporter,Louis Leterrier,Justin Lin
13,The Transporter,Louis Leterrier,Brett Ratner
13,The Transporter,Louis Leterrier,Lilly Wachowski
13,The Transporter,Louis Leterrier,Andrew Adamson
13,The Transporter,Louis Leterrier,Bryan Singer
13,The Transporter,Louis Leterrier,Barry Sonnenfeld
13,The Transporter,Louis Leterrier,Rob Cohen
13,The Transporter,Louis Leterrier,David Ayer
13,The Transporter,Louis Leterrier,Tom Shadyac
13,The Transporter,Louis Leterrier,Doug Liman
13,The Transporter,Louis Leterrier,Kevin Reynolds
13,The Transporter,Louis Leterrier,Peter Jackson
13,The Transporter,Louis Leterrier,Rob Cohen
14,Hannah Montana: The Movie,Peter Chelsom,Gore Verbinski
14,Hannah Montana: The Movie,Peter Chelsom,Marc Forster
14,Hannah Montana: The Movie,Peter Chelsom,Gore Verbinski
14,Hannah Montana: The Movie,Peter Chelsom,Gore Verbinski
14,Hannah Montana: The Movie,Peter Chelsom,Andrew Adamson
14,Hannah Montana: The Movie,Peter Chelsom,Rob Marshall
14,Hannah Montana: The Movie,Peter Chelsom,Barry Sonnenfeld
14,Hannah Montana: The Movie,Peter Chelsom,Chris Weitz
14,Hannah Montana: The Movie,Peter Chelsom,Peter Berg
14,Hannah Montana: The Movie,Peter Chelsom,Brett Ratner
14,Hannah Montana: The Movie,Peter Chelsom,Michael Bay
14,Hannah Montana: The Movie,Peter Chelsom,Michael Bay
14,Hannah Montana: The Movie,Peter Chelsom,Martin Campbell
14,Hannah Montana: The Movie,Peter Chelsom,McG
14,Hannah Montana: The Movie,Peter Chelsom,Marc Forster
14,Hannah Montana: The Movie,Peter Chelsom,Mike Newell
14,Hannah Montana: The Movie,Peter Chelsom,Michael Bay
14,Hannah Montana: The Movie,Peter Chelsom,Justin Lin
14,Hannah Montana: The Movie,Peter Chelsom,Brett Ratner
14,Hannah Montana: The Movie,Peter Chelsom,Roland Emmerich
14,Hannah Montana: The Movie,Peter Chelsom,Robert Zemeckis
14,Hannah Montana: The Movie,Peter Chelsom,Andrew Adamson
14,Hannah Montana: The Movie,Peter Chelsom,Jon Favreau
14,Hannah Montana: The Movie,Peter Chelsom,Barry Sonnenfeld
14,Hannah Montana: The Movie,Peter Chelsom,Rob Cohen
14,Hannah Montana: The Movie,Peter Chelsom,David Ayer
14,Hannah Montana: The Movie,Peter Chelsom,Tom Shadyac
14,Hannah Montana: The Movie,Peter Chelsom,Doug Liman
14,Hannah Montana: The Movie,Peter Chelsom,Kevin Reynolds
