"Game ID","name","Points","Assists","Steals","Total rebounds","Blocks"
"35","shabazz napier","five","four","null","null","null"
"35","shawne williams","14","null","null","five","null"
"35","trevor ariza","19","five","null","null","null"
"36","darren collison","21","six","null","null","null"
"36","demarcus cousins","36","null","null","13","null"
"36","russell westbrook","null","nine","null","11","null"
"37",".","null","null","null","null","null"
"37","adreian payne","null","null","null","three","null"
"37","eric bledsoe","18","nine","null","null","null"
"37","justin hamilton","15","null","null","three","two"
"37","kevin martin","16","null","null","null","null"
"37","marcus thornton","14","null","null","four","null"
"37","markieff morris","24","two","null","three","null"
"37","warren","17","null","null","null","null"
"37","wiggins","10","null","null","null","null"
"38","alec burks","null","null","null","null","two"
"38","derrick favors","20","null","three","12","two"
"38","nerlens noel","eight","null","null","null","null"
"38","rodney hood","null","null","null","null","null"
"39","anthony morrow","15","null","null","null","null"
"39","joffrey lauvergne","16","null","null","null","null"
"39","marc gasol","31","eight","two","four","one"
"39","mike conley","18","two","three","one","null"
"39","russell westbrook","19","12","null","13","null"
"39","steven adams","16","null","null","12","null"
"40","demarcus cousins","null","null","null","null","null"
"40","kyle lowry","null","null","null","null","null"
"40","rudy gay","null","null","null","null","null"
"40","valan","null","null","null","null","null"
"41","alex len","11","null","null","11","two"
"41","archie goodwin","12","null","null","null","null"
"41","brook lopez","19","null","null","six","one"
"41","isaiah whitehead","11","three","two","four","one"
"41","jeremy lin","13","five","null","three","null"
"41","justin hamilton","10","null","null","one","null"
"41","leandro barbosa","11","one","one","six","one"
"41","marquese chriss","23","one","two","11","one"
"41","mcdaniels","16","one","two","eight","one"
"41","quincy acy","12","null","null","null","one"
"41","rondae hollis - jefferson","five","two","two","16","one"
"41","trevor booker","14","one","null","eight","one"
"41","tyler ulis","10","12","null","null","null"
"42","demarcus cousins","22","12","null","12","null"
"42","devin booker","33","null","null","null","null"
"42","eric bledsoe","20","null","null","null","null"
"42","ty lawson","18","null","null","null","null"
"43","deandre jordan","10","null","null","17","null"
"43","griffin","24","five","null","10","null"
"43","jamal crawford","24","five","null","null","null"
"43","jimmy butler","22","eight","null","six","null"
"43","joakim noah","null","six","null","16","null"
"43","nikola mirotic","11","null","null","seven","null"
"44","bojan bogdanovic","11","two","null","five","null"
"44","brandan wright","17","null","null","three","null"
"44","james ennis","17","five","null","three","null"
"44","jamychal green","10","null","null","six","null"
"44","lopez","null","null","null","null","null"
"44","marc gasol","19","eight","one","nine","one"
"44","mike conley","32","six","one","one","one"
"44","rondae hollis - jefferson","13","two","two","three","null"
"44","sean kilpatrick","15","three","one","six","null"
"44","spencer dinwiddie","null","five","null","three","null"
"44","tony allen","null","null","null","null","null"
"44","trevor booker","null","null","a","four","null"
"44","vince carter","14","one","two","three","null"
"45","clint capela","12","two","one","two","null"
"45","dion waiters","23","seven","null","nine","five"
"45","eric gordon","null","two","one","null","null"
"45","goran dragic","21","five","null","one","null"
"45","harden","17","one","null","six","a"
"45","hassan whiteside","23","seven","null","14","five"
"45","rodney mcgruder","11","two","two","one","null"
"45","ryan anderson","17","one","null","null","null"
"45","tyler johnson","16","four","null","seven","null"
"46","andre drummond","13","null","null","17","null"
"46","anthony davis","33","three","null","14","null"
"46","jon leuer","22","null","three","seven","null"
"46","jrue holiday","22","five","null","four","null"
"46","tobias harris","15","null","null","six","null"
"47","anthony davis","24","null","a","12","two"
"47","arron afflalo","38","null","null","null","null"
"47","eric gordon","11","six","null","six","null"
"47","jusuf nurkic","15","null","null","nine","two"
"47","kenneth faried","14","null","two","seven","a"
"47","ryan anderson","null","six","null","seven","null"
"47","ty lawson","five","13","null","null","null"
"47","tyreke evans","25","null","a","six","two"
"48","julius randle","null","null","null","14","null"
"48","larry nance jr.","12","null","null","nine","null"
"49","alex len","13","two","null","eight","one"
"49","clint capela","nine","two","three","five","a"
"49","devin booker","18","two","null","one","null"
"49","harden","19","five","two","six","one"
"49","jared dudley","12","two","one","null","null"
"49","leandro barbosa","12","two","one","three","one"
"49","marquese chriss","seven","three","null","six","null"
"49","ryan anderson","16","one","one","four","one"
"49","sam dekker","14","one","null","four","one"
"49","t.","14","null","three","five","null"
"49","trevor ariza","nine","two","three","five","null"
"49","tyler ulis","13","six","one","two","null"
"49","warren","14","null","three","five","one"
"50","cj mccollum","28","null","null","null","null"
"50","d ’ angelo russell","21","two","null","three","null"
"50","damian lillard","36","null","null","null","null"
"50","ed davis","null","null","null","eight","null"
"50","jordan clarkson","null","null","null","null","null"
"50","julius randle","11","null","null","nine","null"
"50","kobe bryant","nine","null","null","nine","null"
"50","lou williams","26","null","null","null","null"
"50","mason plumlee","13","null","null","eight","null"
"50","noah venloe","11","null","null","six","null"
"51","demarre carroll","nine","null","null","five","null"
"51","jeff teague","26","six","null","null","null"
"52","11","null","null","null","null","null"
"52","22","null","six","null","null","null"
"52","anthony","15","null","a","six","a"
"52","c. j. mccollum","16","five","null","five","a"
"52","courtney lee","null","null","null","nine","null"
"52","damian lillard","22","six","two","five","null"
"52","derrick rose","18","five","two","four","a"
"52","ed davis","14","null","null","10","null"
"52","evan turner","11","null","null","null","null"
"52","harkless","15","null","a","eight","a"
"52","kristaps porzingis","31","five","two","nine","a"
"52","mindaugus kuzminskas","10","an","a","three","null"
"53","27","null","null","null","null","null"
"53","derrick rose","null","null","null","null","null"
"53","dwyane wade","35","null","null","null","null"
"53","jimmy butler","null","null","null","null","null"
"53","kristaps porzingis","27","null","null","null","null"
"53","mirotic","null","null","null","null","null"
"54","anthony","null","five","null","six","null"
"54","derrick williams","24","null","null","seven","null"
"54","greg monroe","22","four","null","14","null"
"54","kristaps porzingus","16","null","null","five","null"
"55","bismack biyombo","null","null","null","three","null"
"55","corey joseph","19","four","null","three","null"
"55","demar derozan","null","null","a","11","three"
"55","evan fournier","17","four","a","three","three"
"55","jason smith","16","four","null","five","a"
"55","jonas valanciunas","null","two","a","nine","three"
"55","kyle lowry","24","seven","a","eight","a"
"55","luis scola","19","four","three","three","null"
"55","nikola vucevic","17","four","a","11","three"
"55","patrick patterson","null","null","null","null","null"
"55","tobias harris","16","three","a","null","null"
"55","victor oladipo","27","three","a","three","null"
"56","dwyane wade","null","null","null","null","null"
"56","isaiah thomas","25","null","null","null","null"
"56","jimmy butler","24","null","null","null","null"
"56","rajon rondo","null","null","null","null","null"
"57","james harden","28","null","null","null","null"
"57","josh smith","18","null","null","null","null"
"57","monta ellis","33","null","null","null","null"
"57","rajon rondo","9","7","null","5","null"
"58","jamal murray","24","null","null","null","null"
"58","jimmy butler","35","five","null","eight","null"
"58","jusuf nurkic","10","null","null","eight","null"
"58","robin lopez","10","null","null","eight","six"
"58","wilson chandler","16","null","null","nine","null"
"59","al jefferson","21","null","null","10","null"
"59","dwyane wade","null","null","null","null","null"
"59","hassan whiteside","17","null","null","seven","null"
"59","josh richardson","18","null","null","null","null"
"59","kemba walker","null","seven","null","null","null"
"59","luol deng","22","null","null","null","null"
"59","nicolas batum","19","seven","null","null","null"
"60","blake griffin","14","two","null","five","one"
"60","chris paul","14","two","two","five","one"
"60","deandre jordan","14","two","one","five","null"
"60","isaiah thomas","14","two","null","five","null"
"60","j.","null","null","null","five","null"
"60","kelly olynyk","14","two","one","five","null"
"60","redick","14","two","null","five","null"
"60","tyler zeller","14","two","null","five","null"
"61","anthony davis","24","three","two","null","null"
"61","cousins","null","null","three","null","null"
"61","eric gordon","12","null","null","null","null"
"61","jrue holiday","19","six","null","three","two"
"61","lou williams","14","null","null","null","null"
"61","solomon hill","30","seven","three","six","null"
"61","tim frazier","14","six","null","five","null"
"62","derrick rose","10","11","null","null","null"
"62","evan fournier","14","three","null","three","null"
"62","jimmy butler","18","five","six","null","null"
"62","joakim noah","18","null","two","nine","null"
"62","nikola vucevic","14","null","null","seven","null"
"62","pau gasol","25","null","null","15","null"
"62","tobias harris","15","null","three","eight","null"
"63","cody zeller","13","null","null","null","null"
"63","doug","15","null","null","null","null"
"63","frank kaminsky","13","null","null","null","null"
"63","kemba walker","20","10","a","11","a"
"63","mcdermott","15","null","null","null","null"
"63","michael kidd - gilchrist","12","null","null","nine","four"
"63","nicolas batum","null","10","a","11","a"
"63","nikola mirotic","11","null","null","10","null"
"63","rajon rondo","seven","10","two","nine","null"
"63","taj gibson","10","null","null","null","null"
"64","20","null","null","null","null","null"
"64","al horford","16","null","null","10","null"
"64","devin booker","34","two","two","five","null"
"64","jeff teague","20","null","null","null","null"
"64","kent bazemore","17","five","five","nine","null"
"64","price","14","null","null","null","null"
"64","ronnie","14","null","null","null","null"
"65","andrew wiggins","23","four","null","three","null"
"65","caris lavert","11","null","two","four","null"
"65","sean kilpatrick","14","null","null","null","null"
"65","shabazz muhammad","18","null","null","null","null"
"65","zach lavine","20","two","two","six","null"
"66","andre iguodala","22","null","null","null","null"
"66","curry","23","null","null","null","null"
"66","dwight howard","19","null","null","seven","null"
"66","james harden","18","10","seven","seven","null"
"66","klay thompson","23","null","null","null","null"
"66","michael beasley","17","null","null","null","null"
"67","kevin love","22","null","null","null","three"
"67","lebron james","36","four","null","six","null"
"67","paul george","32","six","null","11","null"
"68","anthony davis","19","null","null","null","null"
"68","buddy hield","11","null","null","five","null"
"68","eric gordon","29","null","null","null","null"
"68","harden","29","13","null","11","null"
"68","olajuw","29","13","null","11","null"
"68","terrence jones","16","null","null","eight","null"
"68","trevor ariza","20","one","three","five","null"
"71","anthony","28","four","null","null","null"
"71","barnes","15","null","null","seven","null"
"71","new","null","null","null","null","null"
"72","blake","26","null","null","null","null"
"72","chris bosh","34","null","null","seven","null"
"72","chris paul","23","nine","null","null","null"
"72","deng","10","null","null","null","null"
"72","dwyane wade","34","10","null","null","null"
"72","hassan whiteside","26","null","two","16","two"
"72","redick","14","null","null","null","null"
"73","chris paul","19","18","null","six","null"
"73","deandre jordan","seven","null","null","18","null"
"73","goran dragic","24","five","null","five","null"
"73","hassan whiteside","15","null","null","13","null"
"73","j.","25","null","null","null","null"
"73","james johnson","null","four","null","13","null"
"73","marreese speights","19","null","null","null","null"
"73","redick","25","null","null","seven","null"
"73","tyler","24","four","null","13","null"
"74","john","null","null","null","null","null"
"74","kenneth faried","nine","null","null","three","null"
"74","kris humphries","20","null","null","null","null"
"74","nene","eight","null","null","null","null"
"74","ty lawson","14","null","three","null","null"
"74","wilson chandler","20","null","null","null","null"
"75","beal","24","four","null","three","null"
"75","bradley","null","four","null","null","null"
"75","bradley beal","24","four","null","three","null"
"75","cousins","29","four","null","10","four"
"75","darren collison","13","10","null","null","null"
"75","gay","15","null","null","four","null"
"75","john wall","seven","four","null","four","null"
"75","omri casspi","13","null","null","null","null"
"75","rondo","13","10","null","null","four"
"76","kawhi leonard","41","null","null","null","null"
"77","giannis antetokounmp","30","six","two","four","one"
"77","ja","29","five","two","null","one"
"77","kevin durant","33","five","two","six","null"
"78","chris paul","null","14","null","null","null"
"78","deandre jordan","null","null","null","13","null"
"78","isiah thomas","24","null","null","null","null"
"79","durant","26","10","null","five","null"
"79","enes kanter","21","null","null","eight","null"
"79","kenneth faried","25","null","null","11","null"
"79","russell westbrook","26","12","null","nine","null"
"79","will barton","19","five","null","five","null"
"80","bojan bogdanovic","21","five","null","four","null"
"80","brook lopez","16","null","null","null","null"
"80","chase budinger","18","null","null","null","null"
"80","jarrett jack","16","five","null","null","null"
"80","joe johnson","14","null","null","five","null"
"80","justin hamilton","15","null","null","six","null"
"80","kevin martin","20","six","null","null","null"
"80","thaddeus young","14","null","2","5","null"
"80","zach lavine","20","six","null","null","null"
"81","kemba walker","31","null","null","null","null"
"81","kevin love","36","null","null","null","null"
"81","kyrie irving","36","null","null","null","null"
"81","lebron james","19","null","null","null","null"
"81","marvin williams","31","nine","null","null","null"
"81","michael kidd - gilchrist","11","null","null","10","null"
"81","nicolas batum","31","nine","null","15","null"
"82","mike conley","null","two","three","four","null"
"82","spencer hawes","14","null","null","10","null"
"83","gordon hayward","22","two","two","five","one"
"83","marc gasol","17","null","null","null","null"
"83","mike conley","19","nine","one","two","null"
"83","rudy gobert","three","two","three","13","one"
"83","trey lyles","11","null","null","null","one"
"83","zach randolph","13","null","null","11","null"
"84","dwyane wade","31","five","null","five","null"
"84","lebron james","30","eight","null","four","null"
"85","aaron gordon","34","null","six","11","null"
"85","cousins","null","null","null","null","null"
"85","darren collison","null","null","null","null","null"
"85","dem","null","null","null","null","null"
"85","elf","null","null","null","null","null"
"85","evan","34","null","six","null","null"
"85","fournier","34","null","six","11","null"
"85","kosta koufos","19","null","null","null","null"
"85","nikola vu","null","null","null","null","null"
"85","rajon rondo","16","14","null","five","null"
"85","rudy gay","null","null","null","null","null"
"85","victor ol","34","null","six","11","null"
"86",". smith","14","three","null","three","null"
"86","avery bradley","null","null","null","null","one"
"86","cleveland","20","27","two","11","one"
"86","isaiah thomas","27","four","null","three","null"
"86","j.","14","null","null","three","one"
"86","jae crowder","null","null","null","null","one"
"86","jared sullinger","17","null","null","13","one"
"86","kyrie irving","20","four","null","three","null"
"86","lebron james","28","eight","two","11","one"
"87","caldwell - pope","five","null","null","null","null"
"87","goran dragic","12","four","null","null","null"
"87","jennings","19","seven","null","null","null"
"87","josh smith","five","null","null","null","null"
"87","monroe","18","seven","null","12","null"
"87","morris","10","four","null","null","null"
"87","phoenix","18","four","null","null","null"
"87","tucker","16","null","null","null","null"
"89","beal","21","null","null","null","null"
"89","brandan wright","14","null","null","six","null"
"89","ellis","34","null","null","null","null"
"89","marcin gortat","17","six","null","null","null"
"89","mont","34","null","null","null","null"
"89","tyson","14","null","null","16","null"
"90","amir johnson","five","null","null","null","null"
"90","isaiah thomas","28","six","one","four","two"
"90","jeff teague","13","null","null","null","null"
"90","jonas jerebko","16","null","null","10","null"
"90","korver","10","null","null","null","null"
"90","marcus smart","20","five","two","eight","null"
"90","paul millsap","45","three","two","13","null"
"91","aaron gordon","20","eight","null","null","null"
"91","brandon jennings","20","null","null","null","null"
"91","curry","27","three","null","13","null"
"91","draymond green","one","10","null","nine","null"
"91","fournier","20","eight","null","null","null"
"91","klay thompson","27","null","null","null","null"
"91","victor oladipo","19","eight","null","nine","null"
"92","andre drummond","21","null","null","18","null"
"92","andrea bargnani","null","null","null","null","null"
"92","brook lopez","27","null","null","five","null"
"92","ersan ilyasova","null","null","null","null","null"
"92","jacksom","19","six","null","null","null"
"92","kentavious caldwell - pope","16","null","null","null","null"
"92","reggie jackson","null","null","null","null","null"
"92","wayne ellington","11","null","null","null","null"
"93","ben mclemore","18","null","null","four","null"
"93","marc gasol","18","five","null","six","null"
"93","reggie evans","17","null","null","null","null"
"93","rudy gay","20","null","null","four","null"
"93","tony allen","13","null","four","null","null"
"93","zach randolph","22","null","null","12","null"
"94","chris paul","23","nine","two","five","one"
"94","danilo gallinari","null","null","null","null","null"
"94","deandre jordan","14","two","null","three","three"
"94","erick green","11","null","null","null","null"
"94","j.","null","null","null","null","null"
"94","j. j. hickson","seven","null","null","six","null"
"94","jameer nelson","11","null","null","null","null"
"94","jusuf nurkic","null","null","null","null","null"
"94","kenneth faried","10","three","null","14","null"
"94","matt barnes","null","null","null","null","null"
"94","randy foye","null","null","null","null","null"
"94","redick","null","null","two","five","one"
"94","will barton","19","null","null","null","null"
"94","wilson chandler","17","null","null","null","null"
"95","carmelo anthony","33","four","null","six","null"
"95","jameer nelson","16","12","null","null","null"
"95","kyle","16","null","null","six","four"
"95","nikola jokic","40","five","two","nine","null"
"95","will barton","15","null","null","10","null"
"95","wilson chandler","19","three","null","four","null"
"96","giannis antetokounmpo","23","five","two","eight","two"
"96","jamal","18","null","null","null","null"
"96","john henson","16","null","null","five","four"
"96","kenneth faried","19","null","null","11","null"
"96","parker","27","four","null","11","null"
"96","wilson","23","null","null","null","null"
"97","clint capela","13","null","null","10","null"
"97","dwight powell","eight","two","two","six","null"
"97","eric gordon","18","three","null","null","null"
"97","harrison barnes","20","null","null","null","null"
"97","trevor ariza","17","null","null","seven","null"
"97","wesley matthews","26","two","null","three","null"
"98","andrew wiggins","eight","three","null","three","two"
"98","dario saric","null","three","null","seven","two"
"98","dieng","10","three","a","nine","two"
"98","ersan ilyasova","19","an","a","five","a"
"98","gorgui","10","two","a","nine","two"
"98","joel embiid","25","three","null","eight","two"
"98","karl - anthony towns","10","two","a","nine","two"
"98","nerlens noel","eight","null","null","seven","null"
"98","noel","25","three","null","seven","two"
"98","ricky rubio","five","five","null","three","two"
"98","robert covington","13","two","null","10","a"
"98","shabazz muhammad","10","three","a","five","two"
"98","zach lavine","28","three","null","three","two"
"99","brook lopez","27","null","null","seven","null"
"99","devin harris","11","one","one","two","a"
"99","dirk nowitzki","23","null","null","nine","null"
"99","harrison barnes","19","two","null","six","null"
"99","isaiah whitehead","10","two","null","two","null"
"99","j. j. barea","20","seven","two","one","null"
"99","jefferson","null","two","null","nine","a"
"99","quincy acy","null","null","null","three","null"
"99","randy foye","11","two","one","three","null"
"99","rondae hollis - jefferson","six","two","null","nine","a"
"99","spencer dinwiddie","18","null","one","null","null"
"99","wesley matthews","15","three","one","five","null"
"99","yogi ferrell","eight","five","three","two","a"
